migration_time;num_of_mig
300,10;368
600,10;263
900,10;205
1200,10;165
1500,10;147
1800,10;117
2100,10;105
2400,10;99
2700,10;86
3000,10;75
3300,10;85
3600,10;75
3900,10;115
4200,10;109
4500,10;120
4800,10;115
5100,10;91
5400,10;97
5700,10;139
6000,10;123
6300,10;127
6600,10;153
6900,10;136
7200,10;137
7500,10;121
7800,10;94
8100,10;101
8400,10;90
8700,10;116
9000,10;135
9300,10;123
9600,10;119
9900,10;72
10200,10;100
10500,10;132
10800,10;112
11100,10;113
11400,10;124
11700,10;87
12000,10;96
12300,10;115
12600,10;103
12900,10;118
13200,10;120
13500,10;97
13800,10;103
14100,10;119
14400,10;106
14700,10;105
15000,10;118
15300,10;149
15600,10;97
15900,10;105
16200,10;121
16500,10;97
16800,10;128
17100,10;114
17400,10;106
17700,10;129
18000,10;103
18300,10;99
18600,10;110
18900,10;51
19200,10;90
19500,10;105
19800,10;106
20100,10;129
20400,10;155
20700,10;156
21000,10;155
21300,10;137
21600,10;129
21900,10;107
22200,10;84
22500,10;121
22800,10;93
23100,10;77
23400,10;125
23700,10;115
24000,10;100
24300,10;108
24600,10;99
24900,10;82
25200,10;110
25500,10;113
25800,10;114
26100,10;114
26400,10;105
26700,10;63
27000,10;101
27300,10;117
27600,10;97
27900,10;137
28200,10;126
28500,10;121
28800,10;119
29100,10;93
29400,10;127
29700,10;108
30000,10;133
30300,10;113
30600,10;100
30900,10;128
31200,10;119
31500,10;132
31800,10;146
32100,10;115
32400,10;116
32700,10;84
33000,10;95
33300,10;94
33600,10;106
33900,10;95
34200,10;120
34500,10;126
34800,10;113
35100,10;107
35400,10;90
35700,10;107
36000,10;142
36300,10;114
36600,10;150
36900,10;146
37200,10;125
37500,10;132
37800,10;121
38100,10;122
38400,10;94
38700,10;122
39000,10;144
39300,10;112
39600,10;142
39900,10;132
40200,10;91
40500,10;97
40800,10;104
41100,10;94
41400,10;83
41700,10;105
42000,10;106
42300,10;111
42600,10;142
42900,10;126
43200,10;139
43500,10;149
43800,10;85
44100,10;110
44400,10;85
44700,10;106
45000,10;87
45300,10;99
45600,10;98
45900,10;100
46200,10;124
46500,10;135
46800,10;123
47100,10;90
47400,10;99
47700,10;94
48000,10;95
48300,10;88
48600,10;112
48900,10;103
49200,10;96
49500,10;131
49800,10;87
50100,10;132
50400,10;106
50700,10;96
51000,10;107
51300,10;101
51600,10;110
51900,10;126
52200,10;120
52500,10;121
52800,10;137
53100,10;151
53400,10;142
53700,10;145
54000,10;95
54300,10;110
54600,10;91
54900,10;111
55200,10;128
55500,10;108
55800,10;81
56100,10;114
56400,10;139
56700,10;101
57000,10;142
57300,10;120
57600,10;122
57900,10;112
58200,10;118
58500,10;106
58800,10;103
59100,10;125
59400,10;125
59700,10;118
60000,10;115
60300,10;115
60600,10;95
60900,10;96
61200,10;70
61500,10;98
61800,10;97
62100,10;125
62400,10;112
62700,10;103
63000,10;121
63300,10;132
63600,10;110
63900,10;93
64200,10;148
64500,10;122
64800,10;100
65100,10;135
65400,10;95
65700,10;140
66000,10;110
66300,10;121
66600,10;125
66900,10;75
67200,10;113
67500,10;108
67800,10;77
68100,10;78
68400,10;109
68700,10;129
69000,10;126
69300,10;105
69600,10;87
69900,10;125
70200,10;87
70500,10;126
70800,10;110
71100,10;103
71400,10;135
71700,10;109
72000,10;133
72300,10;131
72600,10;88
72900,10;94
73200,10;108
73500,10;98
73800,10;90
74100,10;126
74400,10;114
74700,10;119
75000,10;133
75300,10;123
75600,10;96
75900,10;97
76200,10;98
76500,10;89
76800,10;105
77100,10;50
77400,10;75
77700,10;71
78000,10;131
78300,10;80
78600,10;126
78900,10;120
79200,10;92
79500,10;95
79800,10;114
80100,10;78
80400,10;84
80700,10;134
81000,10;111
81300,10;96
81600,10;94
81900,10;183
82200,10;90
82500,10;69
82800,10;92
83100,10;90
83400,10;101
83700,10;88
84000,10;77
84300,10;70
84600,10;79
84900,10;89
85200,10;101
85500,10;92
85800,10;89
86100,10;95
