time;num_of_active_hosts_new
300,10;800
600,10;368
900,10;261
1200,10;202
1500,10;165
1800,10;136
2100,10;117
2400,10;102
2700,10;90
3000,10;81
3300,10;73
3600,10;67
3900,10;60
4200,10;52
4500,10;51
4800,10;50
5100,10;49
5400,10;48
5700,10;48
6000,10;47
6300,10;61
6600,10;60
6900,10;56
7200,10;53
7500,10;52
7800,10;52
8100,10;52
8400,10;52
8700,10;51
9000,10;51
9300,10;49
9600,10;48
9900,10;46
10200,10;46
10500,10;46
10800,10;46
11100,10;43
11400,10;55
11700,10;55
12000,10;54
12300,10;53
12600,10;52
12900,10;50
13200,10;50
13500,10;47
13800,10;47
14100,10;47
14400,10;45
14700,10;69
15000,10;64
15300,10;61
15600,10;58
15900,10;55
16200,10;54
16500,10;53
16800,10;52
17100,10;51
17400,10;50
17700,10;50
18000,10;50
18300,10;50
18600,10;49
18900,10;49
19200,10;49
19500,10;49
19800,10;69
20100,10;65
20400,10;63
20700,10;61
21000,10;59
21300,10;58
21600,10;54
21900,10;53
22200,10;51
22500,10;51
22800,10;50
23100,10;50
23400,10;50
23700,10;50
24000,10;50
24300,10;50
24600,10;49
24900,10;49
25200,10;48
25500,10;46
25800,10;59
26100,10;56
26400,10;56
26700,10;54
27000,10;54
27300,10;53
27600,10;53
27900,10;51
28200,10;51
28500,10;75
28800,10;69
29100,10;66
29400,10;64
29700,10;63
30000,10;63
30300,10;61
30600,10;60
30900,10;58
31200,10;58
31500,10;57
31800,10;53
32100,10;52
32400,10;51
32700,10;50
33000,10;50
33300,10;50
33600,10;50
33900,10;51
34200,10;51
34500,10;51
34800,10;50
35100,10;48
35400,10;46
35700,10;46
36000,10;72
36300,10;63
36600,10;61
36900,10;59
37200,10;55
37500,10;55
37800,10;54
38100,10;53
38400,10;53
38700,10;53
39000,10;53
39300,10;52
39600,10;52
39900,10;52
40200,10;51
40500,10;51
40800,10;51
41100,10;51
41400,10;51
41700,10;51
42000,10;64
42300,10;63
42600,10;63
42900,10;58
43200,10;56
43500,10;56
43800,10;52
44100,10;52
44400,10;50
44700,10;50
45000,10;48
45300,10;48
45600,10;47
45900,10;54
46200,10;54
46500,10;52
46800,10;52
47100,10;49
47400,10;49
47700,10;49
48000,10;48
48300,10;48
48600,10;48
48900,10;55
49200,10;55
49500,10;55
49800,10;52
50100,10;52
50400,10;52
50700,10;51
51000,10;50
51300,10;50
51600,10;50
51900,10;49
52200,10;48
52500,10;69
52800,10;65
53100,10;65
53400,10;62
53700,10;62
54000,10;61
54300,10;61
54600,10;58
54900,10;57
55200,10;55
55500,10;54
55800,10;53
56100,10;53
56400,10;53
56700,10;52
57000,10;50
57300,10;59
57600,10;57
57900,10;53
58200,10;53
58500,10;53
58800,10;53
59100,10;53
59400,10;52
59700,10;51
60000,10;51
60300,10;50
60600,10;50
60900,10;50
61200,10;49
61500,10;49
61800,10;48
62100,10;48
62400,10;47
62700,10;61
63000,10;61
63300,10;61
63600,10;57
63900,10;54
64200,10;53
64500,10;52
64800,10;52
65100,10;52
65400,10;51
65700,10;51
66000,10;51
66300,10;51
66600,10;51
66900,10;49
67200,10;49
67500,10;48
67800,10;47
68100,10;47
68400,10;46
68700,10;54
69000,10;54
69300,10;51
69600,10;49
69900,10;47
70200,10;44
70500,10;44
70800,10;69
71100,10;59
71400,10;58
71700,10;56
72000,10;53
72300,10;50
72600,10;49
72900,10;47
73200,10;46
73500,10;46
73800,10;60
74100,10;60
74400,10;55
74700,10;53
75000,10;52
75300,10;50
75600,10;48
75900,10;48
76200,10;45
76500,10;44
76800,10;43
77100,10;43
77400,10;40
77700,10;59
78000,10;54
78300,10;52
78600,10;51
78900,10;49
79200,10;47
79500,10;46
79800,10;45
80100,10;43
80400,10;43
80700,10;43
81000,10;70
81300,10;56
81600,10;54
81900,10;53
82200,10;50
82500,10;43
82800,10;42
83100,10;42
83400,10;42
83700,10;40
84000,10;39
84300,10;39
84600,10;39
84900,10;39
85200,10;39
85500,10;39
85800,10;39
86100,10;39
