migration_time;num_of_mig
300,10;458
600,10;324
900,10;259
1200,10;200
1500,10;162
1800,10;144
2100,10;129
2400,10;142
2700,10;110
3000,10;125
3300,10;141
3600,10;161
3900,10;110
4200,10;173
4500,10;189
4800,10;168
5100,10;126
5400,10;124
5700,10;125
6000,10;147
6300,10;299
6600,10;186
6900,10;134
7200,10;217
7500,10;145
7800,10;150
8100,10;119
8400,10;139
8700,10;113
9000,10;111
9300,10;147
9600,10;305
9900,10;223
10200,10;136
10500,10;242
10800,10;224
11100,10;115
11400,10;259
11700,10;253
12000,10;142
12300,10;283
12600,10;240
12900,10;131
13200,10;115
13500,10;117
13800,10;120
14100,10;329
14400,10;228
14700,10;156
15000,10;157
15300,10;132
15600,10;374
15900,10;179
16200,10;135
16500,10;264
16800,10;221
17100,10;125
17400,10;168
17700,10;159
18000,10;150
18300,10;124
18600,10;116
18900,10;273
19200,10;208
19500,10;119
19800,10;190
20100,10;157
20400,10;144
20700,10;153
21000,10;327
21300,10;245
21600,10;160
21900,10;119
22200,10;84
22500,10;213
22800,10;129
23100,10;114
23400,10;93
23700,10;330
24000,10;278
24300,10;145
24600,10;140
24900,10;112
25200,10;149
25500,10;140
25800,10;115
26100,10;136
26400,10;349
26700,10;270
27000,10;162
27300,10;116
27600,10;197
27900,10;122
28200,10;146
28500,10;388
28800,10;295
29100,10;169
29400,10;156
29700,10;169
30000,10;149
30300,10;100
30600,10;164
30900,10;159
31200,10;128
31500,10;144
31800,10;122
32100,10;345
32400,10;238
32700,10;141
33000,10;113
33300,10;275
33600,10;219
33900,10;133
34200,10;116
34500,10;110
34800,10;302
35100,10;242
35400,10;152
35700,10;110
36000,10;155
36300,10;137
36600,10;143
36900,10;125
37200,10;128
37500,10;179
37800,10;155
38100,10;134
38400,10;131
38700,10;125
39000,10;226
39300,10;148
39600,10;122
39900,10;137
40200,10;264
40500,10;222
40800,10;138
41100,10;127
41400,10;216
41700,10;198
42000,10;200
42300,10;173
42600,10;134
42900,10;137
43200,10;189
43500,10;177
43800,10;120
44100,10;235
44400,10;200
44700,10;131
45000,10;137
45300,10;174
45600,10;141
45900,10;132
46200,10;122
46500,10;137
46800,10;247
47100,10;223
47400,10;121
47700,10;121
48000,10;99
48300,10;109
48600,10;109
48900,10;222
49200,10;187
49500,10;198
49800,10;175
50100,10;119
50400,10;124
50700,10;109
51000,10;104
51300,10;241
51600,10;215
51900,10;107
52200,10;139
52500,10;210
52800,10;156
53100,10;141
53400,10;103
53700,10;102
54000,10;131
54300,10;176
54600,10;146
54900,10;127
55200,10;122
55500,10;126
55800,10;118
56100,10;133
56400,10;134
56700,10;169
57000,10;124
57300,10;107
57600,10;122
57900,10;182
58200,10;137
58500,10;127
58800,10;137
59100,10;130
59400,10;92
59700,10;105
60000,10;118
60300,10;113
60600,10;326
60900,10;255
61200,10;151
61500,10;140
61800,10;126
62100,10;142
62400,10;121
62700,10;95
63000,10;122
63300,10;243
63600,10;178
63900,10;124
64200,10;107
64500,10;287
64800,10;219
65100,10;129
65400,10;243
65700,10;210
66000,10;113
66300,10;153
66600,10;320
66900,10;221
67200,10;161
67500,10;97
67800,10;104
68100,10;114
68400,10;132
68700,10;133
69000,10;136
69300,10;117
69600,10;115
69900,10;103
70200,10;102
70500,10;103
70800,10;268
71100,10;174
71400,10;135
71700,10;123
72000,10;231
72300,10;135
72600,10;137
72900,10;131
73200,10;99
73500,10;259
73800,10;243
74100,10;153
74400,10;151
74700,10;111
75000,10;107
75300,10;105
75600,10;88
75900,10;264
76200,10;224
76500,10;98
76800,10;130
77100,10;431
77400,10;227
77700,10;174
78000,10;132
78300,10;187
78600,10;108
78900,10;113
79200,10;97
79500,10;94
79800,10;120
80100,10;204
80400,10;164
80700,10;135
81000,10;125
81300,10;120
81600,10;104
81900,10;252
82200,10;255
82500,10;86
82800,10;117
83100,10;91
83400,10;98
83700,10;334
84000,10;239
84300,10;187
84600,10;110
84900,10;106
85200,10;89
85500,10;207
85800,10;155
86100,10;132
