migration_time;num_of_mig_cum
300,10;458
600,10;782
900,10;1041
1200,10;1241
1500,10;1403
1800,10;1547
2100,10;1676
2400,10;1818
2700,10;1928
3000,10;2053
3300,10;2194
3600,10;2355
3900,10;2465
4200,10;2638
4500,10;2827
4800,10;2995
5100,10;3121
5400,10;3245
5700,10;3370
6000,10;3517
6300,10;3816
6600,10;4002
6900,10;4136
7200,10;4353
7500,10;4498
7800,10;4648
8100,10;4767
8400,10;4906
8700,10;5019
9000,10;5130
9300,10;5277
9600,10;5582
9900,10;5805
10200,10;5941
10500,10;6183
10800,10;6407
11100,10;6522
11400,10;6781
11700,10;7034
12000,10;7176
12300,10;7459
12600,10;7699
12900,10;7830
13200,10;7945
13500,10;8062
13800,10;8182
14100,10;8511
14400,10;8739
14700,10;8895
15000,10;9052
15300,10;9184
15600,10;9558
15900,10;9737
16200,10;9872
16500,10;10136
16800,10;10357
17100,10;10482
17400,10;10650
17700,10;10809
18000,10;10959
18300,10;11083
18600,10;11199
18900,10;11472
19200,10;11680
19500,10;11799
19800,10;11989
20100,10;12146
20400,10;12290
20700,10;12443
21000,10;12770
21300,10;13015
21600,10;13175
21900,10;13294
22200,10;13378
22500,10;13591
22800,10;13720
23100,10;13834
23400,10;13927
23700,10;14257
24000,10;14535
24300,10;14680
24600,10;14820
24900,10;14932
25200,10;15081
25500,10;15221
25800,10;15336
26100,10;15472
26400,10;15821
26700,10;16091
27000,10;16253
27300,10;16369
27600,10;16566
27900,10;16688
28200,10;16834
28500,10;17222
28800,10;17517
29100,10;17686
29400,10;17842
29700,10;18011
30000,10;18160
30300,10;18260
30600,10;18424
30900,10;18583
31200,10;18711
31500,10;18855
31800,10;18977
32100,10;19322
32400,10;19560
32700,10;19701
33000,10;19814
33300,10;20089
33600,10;20308
33900,10;20441
34200,10;20557
34500,10;20667
34800,10;20969
35100,10;21211
35400,10;21363
35700,10;21473
36000,10;21628
36300,10;21765
36600,10;21908
36900,10;22033
37200,10;22161
37500,10;22340
37800,10;22495
38100,10;22629
38400,10;22760
38700,10;22885
39000,10;23111
39300,10;23259
39600,10;23381
39900,10;23518
40200,10;23782
40500,10;24004
40800,10;24142
41100,10;24269
41400,10;24485
41700,10;24683
42000,10;24883
42300,10;25056
42600,10;25190
42900,10;25327
43200,10;25516
43500,10;25693
43800,10;25813
44100,10;26048
44400,10;26248
44700,10;26379
45000,10;26516
45300,10;26690
45600,10;26831
45900,10;26963
46200,10;27085
46500,10;27222
46800,10;27469
47100,10;27692
47400,10;27813
47700,10;27934
48000,10;28033
48300,10;28142
48600,10;28251
48900,10;28473
49200,10;28660
49500,10;28858
49800,10;29033
50100,10;29152
50400,10;29276
50700,10;29385
51000,10;29489
51300,10;29730
51600,10;29945
51900,10;30052
52200,10;30191
52500,10;30401
52800,10;30557
53100,10;30698
53400,10;30801
53700,10;30903
54000,10;31034
54300,10;31210
54600,10;31356
54900,10;31483
55200,10;31605
55500,10;31731
55800,10;31849
56100,10;31982
56400,10;32116
56700,10;32285
57000,10;32409
57300,10;32516
57600,10;32638
57900,10;32820
58200,10;32957
58500,10;33084
58800,10;33221
59100,10;33351
59400,10;33443
59700,10;33548
60000,10;33666
60300,10;33779
60600,10;34105
60900,10;34360
61200,10;34511
61500,10;34651
61800,10;34777
62100,10;34919
62400,10;35040
62700,10;35135
63000,10;35257
63300,10;35500
63600,10;35678
63900,10;35802
64200,10;35909
64500,10;36196
64800,10;36415
65100,10;36544
65400,10;36787
65700,10;36997
66000,10;37110
66300,10;37263
66600,10;37583
66900,10;37804
67200,10;37965
67500,10;38062
67800,10;38166
68100,10;38280
68400,10;38412
68700,10;38545
69000,10;38681
69300,10;38798
69600,10;38913
69900,10;39016
70200,10;39118
70500,10;39221
70800,10;39489
71100,10;39663
71400,10;39798
71700,10;39921
72000,10;40152
72300,10;40287
72600,10;40424
72900,10;40555
73200,10;40654
73500,10;40913
73800,10;41156
74100,10;41309
74400,10;41460
74700,10;41571
75000,10;41678
75300,10;41783
75600,10;41871
75900,10;42135
76200,10;42359
76500,10;42457
76800,10;42587
77100,10;43018
77400,10;43245
77700,10;43419
78000,10;43551
78300,10;43738
78600,10;43846
78900,10;43959
79200,10;44056
79500,10;44150
79800,10;44270
80100,10;44474
80400,10;44638
80700,10;44773
81000,10;44898
81300,10;45018
81600,10;45122
81900,10;45374
82200,10;45629
82500,10;45715
82800,10;45832
83100,10;45923
83400,10;46021
83700,10;46355
84000,10;46594
84300,10;46781
84600,10;46891
84900,10;46997
85200,10;47086
85500,10;47293
85800,10;47448
86100,10;47580
