time;num_of_active_hosts_new
300,10;800
600,10;434
900,10;294
1200,10;216
1500,10;170
1800,10;140
2100,10;118
2400,10;106
2700,10;88
3000,10;83
3300,10;72
3600,10;72
3900,10;57
4200,10;57
4500,10;58
4800,10;58
5100,10;51
5400,10;51
5700,10;52
6000,10;52
6300,10;77
6600,10;59
6900,10;50
7200,10;64
7500,10;56
7800,10;55
8100,10;55
8400,10;55
8700,10;53
9000,10;52
9300,10;52
9600,10;84
9900,10;61
10200,10;49
10500,10;73
10800,10;59
11100,10;47
11400,10;79
11700,10;63
12000,10;48
12300,10;83
12600,10;62
12900,10;48
13200,10;48
13500,10;48
13800,10;47
14100,10;86
14400,10;63
14700,10;52
15000,10;50
15300,10;47
15600,10;93
15900,10;56
16200,10;48
16500,10;76
16800,10;60
17100,10;52
17400,10;52
17700,10;65
18000,10;57
18300,10;54
18600,10;48
18900,10;80
19200,10;59
19500,10;52
19800,10;66
20100,10;54
20400,10;53
20700,10;50
21000,10;95
21300,10;69
21600,10;54
21900,10;54
22200,10;47
22500,10;67
22800,10;57
23100,10;54
23400,10;49
23700,10;91
24000,10;65
24300,10;56
24600,10;55
24900,10;55
25200,10;53
25500,10;52
25800,10;50
26100,10;49
26400,10;107
26700,10;76
27000,10;58
27300,10;52
27600,10;64
27900,10;52
28200,10;52
28500,10;112
28800,10;79
29100,10;61
29400,10;55
29700,10;55
30000,10;55
30300,10;52
30600,10;68
30900,10;59
31200,10;52
31500,10;52
31800,10;49
32100,10;91
32400,10;65
32700,10;58
33000,10;49
33300,10;80
33600,10;64
33900,10;57
34200,10;54
34500,10;49
34800,10;84
35100,10;63
35400,10;53
35700,10;51
36000,10;63
36300,10;51
36600,10;50
36900,10;53
37200,10;50
37500,10;64
37800,10;55
38100,10;55
38400,10;52
38700,10;50
39000,10;74
39300,10;61
39600,10;58
39900,10;52
40200,10;80
40500,10;63
40800,10;54
41100,10;52
41400,10;76
41700,10;57
42000,10;73
42300,10;58
42600,10;53
42900,10;51
43200,10;66
43500,10;58
43800,10;49
44100,10;75
44400,10;60
44700,10;54
45000,10;52
45300,10;65
45600,10;57
45900,10;55
46200,10;55
46500,10;52
46800,10;85
47100,10;66
47400,10;53
47700,10;53
48000,10;53
48300,10;53
48600,10;52
48900,10;71
49200,10;56
49500,10;62
49800,10;61
50100,10;56
50400,10;55
50700,10;54
51000,10;52
51300,10;82
51600,10;62
51900,10;55
52200,10;54
52500,10;72
52800,10;55
53100,10;55
53400,10;53
53700,10;50
54000,10;50
54300,10;57
54600,10;54
54900,10;52
55200,10;52
55500,10;52
55800,10;52
56100,10;52
56400,10;52
56700,10;65
57000,10;53
57300,10;51
57600,10;49
57900,10;67
58200,10;59
58500,10;55
58800,10;54
59100,10;53
59400,10;51
59700,10;49
60000,10;49
60300,10;49
60600,10;96
60900,10;69
61200,10;52
61500,10;52
61800,10;51
62100,10;51
62400,10;51
62700,10;51
63000,10;50
63300,10;78
63600,10;59
63900,10;50
64200,10;50
64500,10;81
64800,10;59
65100,10;50
65400,10;80
65700,10;62
66000,10;51
66300,10;51
66600,10;98
66900,10;69
67200,10;54
67500,10;50
67800,10;49
68100,10;49
68400,10;49
68700,10;49
69000,10;49
69300,10;47
69600,10;52
69900,10;48
70200,10;46
70500,10;46
70800,10;75
71100,10;57
71400,10;50
71700,10;48
72000,10;64
72300,10;47
72600,10;55
72900,10;50
73200,10;44
73500,10;81
73800,10;65
74100,10;50
74400,10;50
74700,10;49
75000,10;48
75300,10;48
75600,10;47
75900,10;73
76200,10;54
76500,10;43
76800,10;43
77100,10;105
77400,10;58
77700,10;50
78000,10;44
78300,10;58
78600,10;42
78900,10;46
79200,10;45
79500,10;44
79800,10;44
80100,10;60
80400,10;47
80700,10;47
81000,10;45
81300,10;44
81600,10;40
81900,10;85
82200,10;72
82500,10;45
82800,10;45
83100,10;45
83400,10;40
83700,10;96
84000,10;72
84300,10;55
84600,10;43
84900,10;43
85200,10;42
85500,10;58
85800,10;45
86100,10;45
