time;avg_utilisation
0,00;0,0000
300,10;0,0920
600,10;0,7146
900,10;0,7316
1200,10;0,6586
1500,10;0,7205
1800,10;0,6666
2100,10;0,6871
2400,10;0,6696
2700,10;0,6952
3000,10;0,6541
3300,10;0,7058
3600,10;0,6455
3900,10;0,7328
4200,10;0,6407
4500,10;0,6588
4800,10;0,6251
5100,10;0,6946
5400,10;0,7250
5700,10;0,6826
6000,10;0,7193
6300,10;0,6607
6600,10;0,6783
6900,10;0,6648
7200,10;0,6944
7500,10;0,6669
7800,10;0,7195
8100,10;0,6625
8400,10;0,6560
8700,10;0,6519
9000,10;0,7285
9300,10;0,7106
9600,10;0,6292
9900,10;0,6716
10200,10;0,7077
10500,10;0,6863
10800,10;0,6260
11100,10;0,7219
11400,10;0,7228
11700,10;0,6627
12000,10;0,6911
12300,10;0,6744
12600,10;0,6788
12900,10;0,6801
13200,10;0,6835
13500,10;0,6851
13800,10;0,7144
14100,10;0,6955
14400,10;0,7038
14700,10;0,6565
15000,10;0,6891
15300,10;0,7231
15600,10;0,6089
15900,10;0,6709
16200,10;0,7042
16500,10;0,6766
16800,10;0,7032
17100,10;0,6977
17400,10;0,6751
17700,10;0,6770
18000,10;0,6733
18300,10;0,6706
18600,10;0,6897
18900,10;0,6535
19200,10;0,7383
19500,10;0,7412
19800,10;0,6450
20100,10;0,6826
20400,10;0,6671
20700,10;0,7285
21000,10;0,6670
21300,10;0,6634
21600,10;0,7012
21900,10;0,6531
22200,10;0,7482
22500,10;0,7078
22800,10;0,6870
23100,10;0,6662
23400,10;0,7719
23700,10;0,6560
24000,10;0,7103
24300,10;0,6918
24600,10;0,6558
24900,10;0,6870
25200,10;0,6589
25500,10;0,6790
25800,10;0,6588
26100,10;0,7149
26400,10;0,6518
26700,10;0,6890
27000,10;0,6624
27300,10;0,7014
27600,10;0,6516
27900,10;0,7231
28200,10;0,7405
28500,10;0,6451
28800,10;0,6409
29100,10;0,6318
29400,10;0,6928
29700,10;0,6819
30000,10;0,7035
30300,10;0,7196
30600,10;0,6474
30900,10;0,6605
31200,10;0,6774
31500,10;0,6511
31800,10;0,7854
32100,10;0,6893
32400,10;0,7569
32700,10;0,6723
33000,10;0,7111
33300,10;0,6638
33600,10;0,6692
33900,10;0,6481
34200,10;0,6236
34500,10;0,7064
34800,10;0,6858
35100,10;0,7085
35400,10;0,6956
35700,10;0,7163
36000,10;0,6223
36300,10;0,6851
36600,10;0,7346
36900,10;0,6911
37200,10;0,7106
37500,10;0,7017
37800,10;0,7048
38100,10;0,6998
38400,10;0,6810
38700,10;0,6808
39000,10;0,6575
39300,10;0,6859
39600,10;0,6443
39900,10;0,7199
40200,10;0,7263
40500,10;0,6762
40800,10;0,6820
41100,10;0,6927
41400,10;0,6527
41700,10;0,7121
42000,10;0,6689
42300,10;0,7218
42600,10;0,6923
42900,10;0,7072
43200,10;0,7056
43500,10;0,6767
43800,10;0,6952
44100,10;0,6797
44400,10;0,6875
44700,10;0,6877
45000,10;0,7342
45300,10;0,6923
45600,10;0,6902
45900,10;0,6773
46200,10;0,6439
46500,10;0,7160
46800,10;0,6625
47100,10;0,6952
47400,10;0,7128
47700,10;0,6878
48000,10;0,6806
48300,10;0,6690
48600,10;0,6744
48900,10;0,6182
49200,10;0,7466
49500,10;0,7182
49800,10;0,6665
50100,10;0,6679
50400,10;0,6715
50700,10;0,6778
51000,10;0,7300
51300,10;0,6867
51600,10;0,6643
51900,10;0,6834
52200,10;0,7227
52500,10;0,6536
52800,10;0,7045
53100,10;0,6864
53400,10;0,6531
53700,10;0,6903
54000,10;0,6353
54300,10;0,6923
54600,10;0,6708
54900,10;0,6607
55200,10;0,6615
55500,10;0,6748
55800,10;0,6719
56100,10;0,6872
56400,10;0,7000
56700,10;0,6192
57000,10;0,7220
57300,10;0,6676
57600,10;0,6871
57900,10;0,6932
58200,10;0,6769
58500,10;0,6657
58800,10;0,6651
59100,10;0,6536
59400,10;0,6718
59700,10;0,7020
60000,10;0,6446
60300,10;0,7138
60600,10;0,6750
60900,10;0,6730
61200,10;0,6723
61500,10;0,6851
61800,10;0,6860
62100,10;0,6670
62400,10;0,6821
62700,10;0,6662
63000,10;0,7062
63300,10;0,6435
63600,10;0,6668
63900,10;0,6655
64200,10;0,7029
64500,10;0,6482
64800,10;0,6592
65100,10;0,7094
65400,10;0,6598
65700,10;0,6792
66000,10;0,6712
66300,10;0,6822
66600,10;0,6041
66900,10;0,6847
67200,10;0,7333
67500,10;0,6970
67800,10;0,6721
68100,10;0,6689
68400,10;0,6555
68700,10;0,6833
69000,10;0,6298
69300,10;0,6823
69600,10;0,6540
69900,10;0,6740
70200,10;0,7019
70500,10;0,7473
70800,10;0,6493
71100,10;0,6962
71400,10;0,6483
71700,10;0,7284
72000,10;0,6434
72300,10;0,7276
72600,10;0,6831
72900,10;0,6617
73200,10;0,7648
73500,10;0,6931
73800,10;0,6426
74100,10;0,6789
74400,10;0,6608
74700,10;0,6664
75000,10;0,6636
75300,10;0,6670
75600,10;0,7442
75900,10;0,6222
76200,10;0,7148
76500,10;0,6496
76800,10;0,7569
77100,10;0,6038
77400,10;0,8540
77700,10;0,6482
78000,10;0,7496
78300,10;0,6588
78600,10;0,7521
78900,10;0,7276
79200,10;0,6751
79500,10;0,6786
79800,10;0,6720
80100,10;0,6722
80400,10;0,6848
80700,10;0,7015
81000,10;0,6119
81300,10;0,6553
81600,10;0,7359
81900,10;0,7524
82200,10;0,6384
82500,10;0,7191
82800,10;0,7373
83100,10;0,6640
83400,10;0,7322
83700,10;0,6679
84000,10;0,6914
84300,10;0,6628
84600,10;0,7110
84900,10;0,6694
85200,10;0,7133
85500,10;0,6345
85800,10;0,7423
86100,10;0,7329
