time;num_of_active_hosts
300,10;412
600,10;47
900,10;50
1200,10;54
1500,10;50
1800,10;55
2100,10;53
2400,10;52
2700,10;50
3000,10;51
3300,10;49
3600,10;51
3900,10;47
4200,10;53
4500,10;53
4800,10;53
5100,10;45
5400,10;43
5700,10;46
6000,10;46
6300,10;49
6600,10;47
6900,10;45
7200,10;46
7500,10;49
7800,10;48
8100,10;51
8400,10;50
8700,10;48
9000,10;44
9300,10;47
9600,10;50
9900,10;45
10200,10;44
10500,10;46
10800,10;46
11100,10;42
11400,10;45
11700,10;47
12000,10;46
12300,10;47
12600,10;45
12900,10;45
13200,10;44
13500,10;44
13800,10;44
14100,10;45
14400,10;47
14700,10;48
15000,10;45
15300,10;45
15600,10;48
15900,10;43
16200,10;43
16500,10;45
16800,10;45
17100,10;47
17400,10;48
17700,10;48
18000,10;48
18300,10;47
18600,10;47
18900,10;48
19200,10;44
19500,10;47
19800,10;50
20100,10;47
20400,10;47
20700,10;45
21000,10;50
21300,10;49
21600,10;47
21900,10;48
22200,10;43
22500,10;48
22800,10;50
23100,10;48
23400,10;44
23700,10;50
24000,10;47
24300,10;50
24600,10;51
24900,10;49
25200,10;50
25500,10;48
25800,10;48
26100,10;47
26400,10;50
26700,10;48
27000,10;49
27300,10;48
27600,10;49
27900,10;46
28200,10;50
28500,10;54
28800,10;54
29100,10;51
29400,10;46
29700,10;47
30000,10;47
30300,10;47
30600,10;49
30900,10;48
31200,10;47
31500,10;45
31800,10;40
32100,10;46
32400,10;44
32700,10;49
33000,10;47
33300,10;50
33600,10;50
33900,10;50
34200,10;49
34500,10;45
34800,10;46
35100,10;45
35400,10;46
35700,10;48
36000,10;52
36300,10;46
36600,10;45
36900,10;47
37200,10;46
37500,10;47
37800,10;47
38100,10;47
38400,10;47
38700,10;48
39000,10;49
39300,10;49
39600,10;50
39900,10;46
40200,10;48
40500,10;51
40800,10;50
41100,10;50
41400,10;51
41700,10;48
42000,10;50
42300,10;46
42600,10;47
42900,10;46
43200,10;48
43500,10;49
43800,10;47
44100,10;49
44400,10;48
44700,10;47
45000,10;46
45300,10;49
45600,10;50
45900,10;51
46200,10;50
46500,10;47
46800,10;51
47100,10;49
47400,10;48
47700,10;50
48000,10;50
48300,10;51
48600,10;52
48900,10;53
49200,10;44
49500,10;49
49800,10;51
50100,10;49
50400,10;50
50700,10;48
51000,10;47
51300,10;50
51600,10;51
51900,10;49
52200,10;48
52500,10;51
52800,10;48
53100,10;49
53400,10;51
53700,10;50
54000,10;53
54300,10;49
54600,10;50
54900,10;51
55200,10;51
55500,10;50
55800,10;50
56100,10;49
56400,10;50
56700,10;53
57000,10;46
57300,10;49
57600,10;48
57900,10;49
58200,10;51
58500,10;51
58800,10;50
59100,10;49
59400,10;48
59700,10;46
60000,10;50
60300,10;47
60600,10;51
60900,10;48
61200,10;48
61500,10;47
61800,10;48
62100,10;49
62400,10;48
62700,10;49
63000,10;49
63300,10;50
63600,10;47
63900,10;47
64200,10;47
64500,10;50
64800,10;47
65100,10;46
65400,10;50
65700,10;48
66000,10;48
66300,10;48
66600,10;50
66900,10;42
67200,10;41
67500,10;45
67800,10;46
68100,10;45
68400,10;46
68700,10;45
69000,10;47
69300,10;44
69600,10;45
69900,10;43
70200,10;41
70500,10;41
70800,10;46
71100,10;44
71400,10;46
71700,10;42
72000,10;45
72300,10;41
72600,10;44
72900,10;43
73200,10;40
73500,10;46
73800,10;47
74100,10;44
74400,10;43
74700,10;43
75000,10;43
75300,10;43
75600,10;41
75900,10;46
76200,10;39
76500,10;40
76800,10;39
77100,10;44
77400,10;34
77700,10;43
78000,10;38
78300,10;40
78600,10;37
78900,10;41
79200,10;43
79500,10;43
79800,10;43
80100,10;43
80400,10;42
80700,10;43
81000,10;46
81300,10;40
81600,10;38
81900,10;40
82200,10;44
82500,10;38
82800,10;39
83100,10;42
83400,10;39
83700,10;41
84000,10;40
84300,10;39
84600,10;38
84900,10;40
85200,10;40
85500,10;42
85800,10;36
86100,10;38
