migration_time;num_of_mig
300,10;838
600,10;119
900,10;96
1200,10;79
1500,10;60
1800,10;60
2100,10;90
2400,10;65
2700,10;70
3000,10;57
3300,10;60
3600,10;70
3900,10;119
4200,10;68
4500,10;62
4800,10;58
5100,10;51
5400,10;53
5700,10;49
6000,10;38
6300,10;55
6600,10;47
6900,10;55
7200,10;64
7500,10;58
7800,10;72
8100,10;37
8400,10;64
8700,10;45
9000,10;53
9300,10;74
9600,10;47
9900,10;34
10200,10;47
10500,10;50
10800,10;41
11100,10;51
11400,10;63
11700,10;40
12000,10;55
12300,10;34
12600,10;33
12900,10;39
13200,10;56
13500,10;46
13800,10;80
14100,10;54
14400,10;42
14700,10;52
15000,10;37
15300,10;33
15600,10;33
15900,10;75
16200,10;69
16500,10;37
16800,10;47
17100,10;46
17400,10;42
17700,10;36
18000,10;32
18300,10;30
18600,10;41
18900,10;34
19200,10;36
19500,10;33
19800,10;36
20100,10;44
20400,10;37
20700,10;33
21000,10;33
21300,10;25
21600,10;58
21900,10;38
22200,10;44
22500,10;56
22800,10;36
23100,10;44
23400,10;47
23700,10;27
24000,10;34
24300,10;38
24600,10;35
24900,10;40
25200,10;36
25500,10;46
25800,10;34
26100,10;41
26400,10;62
26700,10;58
27000,10;45
27300,10;35
27600,10;37
27900,10;54
28200,10;57
28500,10;53
28800,10;54
29100,10;32
29400,10;28
29700,10;37
30000,10;64
30300,10;42
30600,10;35
30900,10;35
31200,10;52
31500,10;32
31800,10;49
32100,10;48
32400,10;38
32700,10;38
33000,10;47
33300,10;31
33600,10;50
33900,10;50
34200,10;29
34500,10;34
34800,10;51
35100,10;45
35400,10;37
35700,10;68
36000,10;44
36300,10;28
36600,10;60
36900,10;49
37200,10;38
37500,10;24
37800,10;36
38100,10;35
38400,10;54
38700,10;41
39000,10;46
39300,10;46
39600,10;42
39900,10;45
40200,10;67
40500,10;50
40800,10;40
41100,10;36
41400,10;68
41700,10;73
42000,10;46
42300,10;63
42600,10;35
42900,10;36
43200,10;60
43500,10;42
43800,10;34
44100,10;33
44400,10;42
44700,10;55
45000,10;59
45300,10;42
45600,10;37
45900,10;31
46200,10;34
46500,10;30
46800,10;35
47100,10;38
47400,10;29
47700,10;43
48000,10;39
48300,10;44
48600,10;34
48900,10;38
49200,10;33
49500,10;41
49800,10;32
50100,10;41
50400,10;49
50700,10;32
51000,10;43
51300,10;30
51600,10;45
51900,10;49
52200,10;30
52500,10;41
52800,10;34
53100,10;31
53400,10;45
53700,10;28
54000,10;29
54300,10;50
54600,10;42
54900,10;41
55200,10;31
55500,10;32
55800,10;36
56100,10;30
56400,10;29
56700,10;36
57000,10;27
57300,10;34
57600,10;49
57900,10;43
58200,10;28
58500,10;44
58800,10;34
59100,10;24
59400,10;42
59700,10;24
60000,10;34
60300,10;28
60600,10;36
60900,10;29
61200,10;39
61500,10;55
61800,10;44
62100,10;30
62400,10;45
62700,10;39
63000,10;30
63300,10;30
63600,10;24
63900,10;46
64200,10;44
64500,10;39
64800,10;34
65100,10;57
65400,10;41
65700,10;43
66000,10;34
66300,10;37
66600,10;40
66900,10;27
67200,10;41
67500,10;39
67800,10;26
68100,10;44
68400,10;31
68700,10;45
69000,10;42
69300,10;52
69600,10;29
69900,10;23
70200,10;32
70500,10;88
70800,10;73
71100,10;39
71400,10;41
71700,10;34
72000,10;40
72300,10;53
72600,10;35
72900,10;28
73200,10;52
73500,10;29
73800,10;32
74100,10;32
74400,10;42
74700,10;31
75000,10;34
75300,10;24
75600,10;32
75900,10;36
76200,10;26
76500,10;26
76800,10;65
77100,10;55
77400,10;49
77700,10;30
78000,10;38
78300,10;39
78600,10;30
78900,10;45
79200,10;27
79500,10;32
79800,10;23
80100,10;23
80400,10;38
80700,10;28
81000,10;31
81300,10;23
81600,10;36
81900,10;35
82200,10;35
82500,10;35
82800,10;44
83100,10;30
83400,10;32
83700,10;33
84000,10;31
84300,10;34
84600,10;31
84900,10;29
85200,10;29
85500,10;28
85800,10;34
86100,10;35
