time;num_of_active_hosts_new
300,10;800
600,10;134
900,10;67
1200,10;67
1500,10;60
1800,10;61
2100,10;61
2400,10;61
2700,10;57
3000,10;59
3300,10;55
3600,10;59
3900,10;55
4200,10;55
4500,10;59
4800,10;58
5100,10;54
5400,10;53
5700,10;52
6000,10;52
6300,10;53
6600,10;53
6900,10;53
7200,10;51
7500,10;61
7800,10;58
8100,10;58
8400,10;54
8700,10;54
9000,10;52
9300,10;56
9600,10;58
9900,10;54
10200,10;52
10500,10;52
10800,10;51
11100,10;47
11400,10;49
11700,10;57
12000,10;50
12300,10;54
12600,10;52
12900,10;47
13200,10;46
13500,10;49
13800,10;47
14100,10;48
14400,10;52
14700,10;59
15000,10;55
15300,10;51
15600,10;57
15900,10;48
16200,10;48
16500,10;50
16800,10;50
17100,10;52
17400,10;52
17700,10;53
18000,10;52
18300,10;51
18600,10;50
18900,10;53
19200,10;51
19500,10;54
19800,10;54
20100,10;51
20400,10;51
20700,10;50
21000,10;55
21300,10;54
21600,10;52
21900,10;52
22200,10;51
22500,10;51
22800,10;62
23100,10;57
23400,10;51
23700,10;62
24000,10;56
24300,10;56
24600,10;56
24900,10;55
25200,10;54
25500,10;54
25800,10;54
26100,10;52
26400,10;52
26700,10;51
27000,10;62
27300,10;57
27600,10;57
27900,10;51
28200,10;51
28500,10;70
28800,10;64
29100,10;59
29400,10;51
29700,10;55
30000,10;53
30300,10;53
30600,10;70
30900,10;61
31200,10;53
31500,10;53
31800,10;48
32100,10;54
32400,10;51
32700,10;69
33000,10;58
33300,10;55
33600,10;55
33900,10;54
34200,10;54
34500,10;51
34800,10;55
35100,10;54
35400,10;54
35700,10;54
36000,10;54
36300,10;50
36600,10;49
36900,10;50
37200,10;52
37500,10;53
37800,10;53
38100,10;52
38400,10;52
38700,10;52
39000,10;51
39300,10;53
39600,10;52
39900,10;54
40200,10;54
40500,10;58
40800,10;56
41100,10;55
41400,10;54
41700,10;53
42000,10;55
42300,10;54
42600,10;51
42900,10;50
43200,10;51
43500,10;51
43800,10;52
44100,10;52
44400,10;52
44700,10;52
45000,10;52
45300,10;52
45600,10;52
45900,10;56
46200,10;55
46500,10;50
46800,10;60
47100,10;55
47400,10;54
47700,10;53
48000,10;54
48300,10;54
48600,10;53
48900,10;58
49200,10;53
49500,10;53
49800,10;53
50100,10;55
50400,10;55
50700,10;54
51000,10;54
51300,10;54
51600,10;54
51900,10;56
52200,10;54
52500,10;55
52800,10;53
53100,10;54
53400,10;53
53700,10;51
54000,10;51
54300,10;52
54600,10;60
54900,10;58
55200,10;56
55500,10;55
55800,10;55
56100,10;54
56400,10;55
56700,10;55
57000,10;53
57300,10;53
57600,10;52
57900,10;52
58200,10;55
58500,10;54
58800,10;55
59100,10;54
59400,10;52
59700,10;52
60000,10;52
60300,10;52
60600,10;58
60900,10;55
61200,10;51
61500,10;50
61800,10;50
62100,10;50
62400,10;49
62700,10;56
63000,10;53
63300,10;53
63600,10;52
63900,10;49
64200,10;49
64500,10;57
64800,10;52
65100,10;51
65400,10;56
65700,10;53
66000,10;52
66300,10;50
66600,10;55
66900,10;52
67200,10;46
67500,10;48
67800,10;53
68100,10;52
68400,10;50
68700,10;49
69000,10;49
69300,10;49
69600,10;49
69900,10;47
70200,10;48
70500,10;47
70800,10;53
71100,10;49
71400,10;49
71700,10;49
72000,10;49
72300,10;45
72600,10;49
72900,10;47
73200,10;44
73500,10;61
73800,10;58
74100,10;52
74400,10;46
74700,10;44
75000,10;44
75300,10;44
75600,10;45
75900,10;53
76200,10;47
76500,10;42
76800,10;41
77100,10;79
77400,10;48
77700,10;48
78000,10;43
78300,10;42
78600,10;40
78900,10;43
79200,10;43
79500,10;41
79800,10;48
80100,10;44
80400,10;44
80700,10;43
81000,10;44
81300,10;42
81600,10;39
81900,10;46
82200,10;46
82500,10;42
82800,10;41
83100,10;43
83400,10;43
83700,10;49
84000,10;43
84300,10;43
84600,10;40
84900,10;40
85200,10;40
85500,10;40
85800,10;41
86100,10;41
