migration_time;num_of_mig
300,10;882
600,10;171
900,10;104
1200,10;122
1500,10;102
1800,10;126
2100,10;106
2400,10;112
2700,10;99
3000,10;97
3300,10;94
3600,10;117
3900,10;110
4200,10;105
4500,10;113
4800,10;65
5100,10;92
5400,10;83
5700,10;67
6000,10;87
6300,10;89
6600,10;57
6900,10;112
7200,10;86
7500,10;100
7800,10;72
8100,10;77
8400,10;69
8700,10;57
9000,10;82
9300,10;85
9600,10;105
9900,10;74
10200,10;91
10500,10;64
10800,10;68
11100,10;67
11400,10;67
11700,10;87
12000,10;65
12300,10;61
12600,10;53
12900,10;49
13200,10;74
13500,10;56
13800,10;62
14100,10;52
14400,10;94
14700,10;66
15000,10;60
15300,10;81
15600,10;108
15900,10;65
16200,10;75
16500,10;65
16800,10;60
17100,10;68
17400,10;63
17700,10;54
18000,10;52
18300,10;86
18600,10;67
18900,10;53
19200,10;60
19500,10;75
19800,10;84
20100,10;59
20400,10;57
20700,10;64
21000,10;73
21300,10;86
21600,10;67
21900,10;50
22200,10;76
22500,10;77
22800,10;45
23100,10;55
23400,10;68
23700,10;69
24000,10;69
24300,10;57
24600,10;71
24900,10;62
25200,10;55
25500,10;54
25800,10;66
26100,10;71
26400,10;66
26700,10;52
27000,10;55
27300,10;56
27600,10;54
27900,10;64
28200,10;85
28500,10;87
28800,10;51
29100,10;58
29400,10;64
29700,10;60
30000,10;45
30300,10;52
30600,10;67
30900,10;66
31200,10;67
31500,10;98
31800,10;66
32100,10;88
32400,10;79
32700,10;68
33000,10;68
33300,10;53
33600,10;58
33900,10;71
34200,10;67
34500,10;81
34800,10;80
35100,10;71
35400,10;82
35700,10;81
36000,10;89
36300,10;65
36600,10;71
36900,10;75
37200,10;55
37500,10;63
37800,10;64
38100,10;62
38400,10;70
38700,10;59
39000,10;45
39300,10;64
39600,10;85
39900,10;65
40200,10;95
40500,10;79
40800,10;59
41100,10;64
41400,10;74
41700,10;59
42000,10;68
42300,10;79
42600,10;58
42900,10;54
43200,10;74
43500,10;65
43800,10;62
44100,10;72
44400,10;64
44700,10;73
45000,10;81
45300,10;71
45600,10;58
45900,10;70
46200,10;61
46500,10;67
46800,10;95
47100,10;64
47400,10;62
47700,10;70
48000,10;71
48300,10;78
48600,10;72
48900,10;80
49200,10;62
49500,10;71
49800,10;87
50100,10;66
50400,10;80
50700,10;80
51000,10;68
51300,10;80
51600,10;65
51900,10;51
52200,10;91
52500,10;59
52800,10;69
53100,10;77
53400,10;62
53700,10;75
54000,10;63
54300,10;73
54600,10;71
54900,10;65
55200,10;65
55500,10;51
55800,10;51
56100,10;80
56400,10;84
56700,10;88
57000,10;73
57300,10;67
57600,10;57
57900,10;73
58200,10;69
58500,10;69
58800,10;56
59100,10;67
59400,10;57
59700,10;60
60000,10;66
60300,10;83
60600,10;74
60900,10;58
61200,10;72
61500,10;81
61800,10;73
62100,10;94
62400,10;75
62700,10;68
63000,10;65
63300,10;52
63600,10;53
63900,10;61
64200,10;76
64500,10;80
64800,10;53
65100,10;75
65400,10;65
65700,10;54
66000,10;65
66300,10;53
66600,10;85
66900,10;69
67200,10;66
67500,10;62
67800,10;51
68100,10;61
68400,10;79
68700,10;59
69000,10;65
69300,10;70
69600,10;62
69900,10;70
70200,10;60
70500,10;67
70800,10;85
71100,10;65
71400,10;59
71700,10;57
72000,10;54
72300,10;70
72600,10;59
72900,10;55
73200,10;55
73500,10;79
73800,10;69
74100,10;61
74400,10;83
74700,10;76
75000,10;72
75300,10;66
75600,10;67
75900,10;70
76200,10;59
76500,10;54
76800,10;73
77100,10;86
77400,10;86
77700,10;87
78000,10;53
78300,10;61
78600,10;49
78900,10;52
79200,10;54
79500,10;63
79800,10;52
80100,10;41
80400,10;52
80700,10;62
81000,10;62
81300,10;49
81600,10;52
81900,10;76
82200,10;58
82500,10;64
82800,10;72
83100,10;77
83400,10;66
83700,10;67
84000,10;68
84300,10;69
84600,10;46
84900,10;62
85200,10;62
85500,10;54
85800,10;60
86100,10;44
