time;num_of_active_hosts_new
300,10;800
600,10;47
900,10;50
1200,10;53
1500,10;51
1800,10;53
2100,10;52
2400,10;53
2700,10;50
3000,10;50
3300,10;49
3600,10;50
3900,10;47
4200,10;51
4500,10;50
4800,10;50
5100,10;46
5400,10;45
5700,10;47
6000,10;47
6300,10;50
6600,10;48
6900,10;46
7200,10;47
7500,10;50
7800,10;50
8100,10;52
8400,10;50
8700,10;48
9000,10;46
9300,10;50
9600,10;51
9900,10;46
10200,10;45
10500,10;46
10800,10;48
11100,10;42
11400,10;45
11700,10;47
12000,10;46
12300,10;45
12600,10;46
12900,10;42
13200,10;41
13500,10;43
13800,10;42
14100,10;43
14400,10;45
14700,10;47
15000,10;46
15300,10;44
15600,10;48
15900,10;41
16200,10;41
16500,10;44
16800,10;45
17100,10;47
17400,10;46
17700,10;47
18000,10;46
18300,10;47
18600,10;45
18900,10;47
19200,10;46
19500,10;48
19800,10;50
20100,10;46
20400,10;45
20700,10;46
21000,10;49
21300,10;48
21600,10;48
21900,10;49
22200,10;43
22500,10;47
22800,10;49
23100,10;48
23400,10;44
23700,10;49
24000,10;48
24300,10;49
24600,10;50
24900,10;49
25200,10;49
25500,10;47
25800,10;47
26100,10;45
26400,10;48
26700,10;45
27000,10;46
27300,10;48
27600,10;48
27900,10;44
28200,10;48
28500,10;53
28800,10;52
29100,10;49
29400,10;46
29700,10;48
30000,10;48
30300,10;47
30600,10;48
30900,10;47
31200,10;47
31500,10;46
31800,10;44
32100,10;50
32400,10;45
32700,10;51
33000,10;49
33300,10;49
33600,10;50
33900,10;50
34200,10;50
34500,10;46
34800,10;49
35100,10;50
35400,10;48
35700,10;50
36000,10;53
36300,10;49
36600,10;46
36900,10;50
37200,10;48
37500,10;49
37800,10;48
38100,10;50
38400,10;49
38700,10;48
39000,10;49
39300,10;48
39600,10;50
39900,10;46
40200,10;49
40500,10;51
40800,10;50
41100,10;49
41400,10;52
41700,10;47
42000,10;50
42300,10;50
42600,10;50
42900,10;47
43200,10;49
43500,10;50
43800,10;48
44100,10;48
44400,10;49
44700,10;47
45000,10;49
45300,10;51
45600,10;52
45900,10;51
46200,10;53
46500,10;47
46800,10;51
47100,10;52
47400,10;51
47700,10;50
48000,10;52
48300,10;52
48600,10;51
48900,10;52
49200,10;46
49500,10;48
49800,10;52
50100,10;52
50400,10;51
50700,10;52
51000,10;48
51300,10;52
51600,10;51
51900,10;51
52200,10;51
52500,10;54
52800,10;48
53100,10;50
53400,10;52
53700,10;50
54000,10;53
54300,10;50
54600,10;52
54900,10;52
55200,10;51
55500,10;51
55800,10;50
56100,10;49
56400,10;51
56700,10;53
57000,10;48
57300,10;50
57600,10;49
57900,10;48
58200,10;52
58500,10;50
58800,10;49
59100,10;50
59400,10;47
59700,10;47
60000,10;49
60300,10;47
60600,10;51
60900,10;51
61200,10;47
61500,10;49
61800,10;50
62100,10;49
62400,10;49
62700,10;49
63000,10;48
63300,10;51
63600,10;46
63900,10;46
64200,10;47
64500,10;51
64800,10;48
65100,10;46
65400,10;50
65700,10;47
66000,10;49
66300,10;48
66600,10;49
66900,10;45
67200,10;43
67500,10;45
67800,10;47
68100,10;45
68400,10;45
68700,10;46
69000,10;46
69300,10;45
69600,10;46
69900,10;43
70200,10;43
70500,10;43
70800,10;46
71100,10;42
71400,10;46
71700,10;44
72000,10;44
72300,10;43
72600,10;45
72900,10;44
73200,10;42
73500,10;45
73800,10;48
74100,10;48
74400,10;44
74700,10;43
75000,10;44
75300,10;43
75600,10;42
75900,10;47
76200,10;41
76500,10;41
76800,10;37
77100,10;44
77400,10;38
77700,10;45
78000,10;36
78300,10;41
78600,10;38
78900,10;39
79200,10;42
79500,10;41
79800,10;42
80100,10;41
80400,10;41
80700,10;41
81000,10;44
81300,10;39
81600,10;37
81900,10;39
82200,10;44
82500,10;37
82800,10;39
83100,10;41
83400,10;39
83700,10;41
84000,10;41
84300,10;41
84600,10;35
84900,10;37
85200,10;37
85500,10;41
85800,10;38
86100,10;40
