time;num_of_active_hosts_new
300,10;800
600,10;54
900,10;56
1200,10;59
1500,10;59
1800,10;58
2100,10;57
2400,10;59
2700,10;55
3000,10;56
3300,10;53
3600,10;54
3900,10;51
4200,10;54
4500,10;55
4800,10;54
5100,10;52
5400,10;48
5700,10;50
6000,10;50
6300,10;53
6600,10;50
6900,10;49
7200,10;48
7500,10;52
7800,10;50
8100,10;53
8400,10;51
8700,10;51
9000,10;48
9300,10;51
9600,10;52
9900,10;48
10200,10;45
10500,10;46
10800,10;47
11100,10;45
11400,10;47
11700,10;49
12000,10;47
12300,10;47
12600,10;48
12900,10;45
13200,10;45
13500,10;45
13800,10;45
14100,10;45
14400,10;47
14700,10;50
15000,10;48
15300,10;45
15600,10;50
15900,10;42
16200,10;44
16500,10;47
16800,10;47
17100,10;48
17400,10;49
17700,10;49
18000,10;49
18300,10;49
18600,10;48
18900,10;49
19200,10;46
19500,10;48
19800,10;51
20100,10;46
20400,10;47
20700,10;45
21000,10;47
21300,10;49
21600,10;48
21900,10;50
22200,10;46
22500,10;49
22800,10;50
23100,10;49
23400,10;46
23700,10;52
24000,10;49
24300,10;48
24600,10;51
24900,10;49
25200,10;51
25500,10;49
25800,10;49
26100,10;44
26400,10;50
26700,10;48
27000,10;49
27300,10;50
27600,10;50
27900,10;47
28200,10;50
28500,10;55
28800,10;52
29100,10;52
29400,10;48
29700,10;49
30000,10;47
30300,10;50
30600,10;51
30900,10;48
31200,10;48
31500,10;49
31800,10;44
32100,10;48
32400,10;47
32700,10;52
33000,10;48
33300,10;49
33600,10;50
33900,10;53
34200,10;48
34500,10;46
34800,10;48
35100,10;47
35400,10;49
35700,10;48
36000,10;53
36300,10;47
36600,10;46
36900,10;50
37200,10;50
37500,10;50
37800,10;49
38100,10;49
38400,10;50
38700,10;48
39000,10;49
39300,10;48
39600,10;50
39900,10;48
40200,10;49
40500,10;52
40800,10;49
41100,10;48
41400,10;51
41700,10;48
42000,10;50
42300,10;47
42600,10;50
42900,10;47
43200,10;48
43500,10;49
43800,10;48
44100,10;49
44400,10;46
44700,10;47
45000,10;48
45300,10;49
45600,10;49
45900,10;52
46200,10;51
46500,10;47
46800,10;50
47100,10;49
47400,10;51
47700,10;51
48000,10;52
48300,10;50
48600,10;51
48900,10;53
49200,10;47
49500,10;50
49800,10;51
50100,10;51
50400,10;49
50700,10;50
51000,10;49
51300,10;51
51600,10;48
51900,10;50
52200,10;49
52500,10;52
52800,10;50
53100,10;52
53400,10;48
53700,10;49
54000,10;50
54300,10;48
54600,10;49
54900,10;49
55200,10;49
55500,10;49
55800,10;50
56100,10;51
56400,10;50
56700,10;52
57000,10;47
57300,10;49
57600,10;48
57900,10;49
58200,10;50
58500,10;49
58800,10;50
59100,10;50
59400,10;47
59700,10;45
60000,10;47
60300,10;47
60600,10;49
60900,10;49
61200,10;47
61500,10;47
61800,10;47
62100,10;46
62400,10;47
62700,10;48
63000,10;46
63300,10;48
63600,10;46
63900,10;45
64200,10;45
64500,10;48
64800,10;45
65100,10;44
65400,10;49
65700,10;47
66000,10;49
66300,10;48
66600,10;49
66900,10;46
67200,10;42
67500,10;45
67800,10;48
68100,10;47
68400,10;46
68700,10;45
69000,10;43
69300,10;42
69600,10;44
69900,10;43
70200,10;43
70500,10;44
70800,10;46
71100,10;43
71400,10;46
71700,10;42
72000,10;44
72300,10;41
72600,10;44
72900,10;40
73200,10;39
73500,10;44
73800,10;45
74100,10;43
74400,10;42
74700,10;40
75000,10;41
75300,10;42
75600,10;40
75900,10;46
76200,10;39
76500,10;37
76800,10;38
77100,10;43
77400,10;37
77700,10;45
78000,10;39
78300,10;42
78600,10;37
78900,10;39
79200,10;42
79500,10;40
79800,10;40
80100,10;41
80400,10;40
80700,10;40
81000,10;42
81300,10;40
81600,10;38
81900,10;40
82200,10;43
82500,10;39
82800,10;39
83100,10;40
83400,10;41
83700,10;42
84000,10;40
84300,10;40
84600,10;36
84900,10;38
85200,10;38
85500,10;40
85800,10;38
86100,10;41
