migration_time;num_of_mig_cum
300,10;368
600,10;631
900,10;836
1200,10;1001
1500,10;1148
1800,10;1265
2100,10;1370
2400,10;1468
2700,10;1567
3000,10;1667
3300,10;1765
3600,10;1857
3900,10;1952
4200,10;2054
4500,10;2161
4800,10;2260
5100,10;2379
5400,10;2480
5700,10;2565
6000,10;2666
6300,10;2750
6600,10;2854
6900,10;2929
7200,10;3043
7500,10;3153
7800,10;3257
8100,10;3326
8400,10;3411
8700,10;3478
9000,10;3565
9300,10;3667
9600,10;3792
9900,10;3910
10200,10;4031
10500,10;4148
10800,10;4266
11100,10;4332
11400,10;4406
11700,10;4484
12000,10;4567
12300,10;4700
12600,10;4808
12900,10;4908
13200,10;5039
13500,10;5145
13800,10;5268
14100,10;5359
14400,10;5443
14700,10;5598
15000,10;5689
15300,10;5799
15600,10;5901
15900,10;6010
16200,10;6136
16500,10;6233
16800,10;6305
17100,10;6388
17400,10;6465
17700,10;6568
18000,10;6673
18300,10;6757
18600,10;6829
18900,10;6948
19200,10;7022
19500,10;7091
19800,10;7194
20100,10;7275
20400,10;7369
20700,10;7462
21000,10;7580
21300,10;7705
21600,10;7822
21900,10;7896
22200,10;7971
22500,10;8087
22800,10;8165
23100,10;8227
23400,10;8306
23700,10;8430
24000,10;8501
24300,10;8572
24600,10;8692
24900,10;8782
25200,10;8851
25500,10;8943
25800,10;9029
26100,10;9119
26400,10;9215
26700,10;9294
27000,10;9406
27300,10;9483
27600,10;9566
27900,10;9673
28200,10;9784
28500,10;9930
28800,10;10046
29100,10;10151
29400,10;10278
29700,10;10383
30000,10;10504
30300,10;10617
30600,10;10736
30900,10;10814
31200,10;10925
31500,10;11015
31800,10;11117
32100,10;11229
32400,10;11347
32700,10;11470
33000,10;11577
33300,10;11730
33600,10;11841
33900,10;11959
34200,10;12062
34500,10;12149
34800,10;12216
35100,10;12292
35400,10;12373
35700,10;12454
36000,10;12530
36300,10;12630
36600,10;12721
36900,10;12794
37200,10;12871
37500,10;12947
37800,10;13022
38100,10;13116
38400,10;13197
38700,10;13276
39000,10;13400
39300,10;13506
39600,10;13628
39900,10;13709
40200,10;13791
40500,10;13872
40800,10;13962
41100,10;14078
41400,10;14169
41700,10;14277
42000,10;14346
42300,10;14442
42600,10;14507
42900,10;14576
43200,10;14661
43500,10;14750
43800,10;14864
44100,10;14940
44400,10;15036
44700,10;15129
45000,10;15210
45300,10;15286
45600,10;15378
45900,10;15443
46200,10;15561
46500,10;15664
46800,10;15753
47100,10;15813
47400,10;15900
47700,10;15994
48000,10;16103
48300,10;16165
48600,10;16251
48900,10;16350
49200,10;16446
49500,10;16530
49800,10;16643
50100,10;16732
50400,10;16816
50700,10;16930
51000,10;17020
51300,10;17102
51600,10;17164
51900,10;17255
52200,10;17321
52500,10;17401
52800,10;17453
53100,10;17549
53400,10;17625
53700,10;17720
54000,10;17817
54300,10;17927
54600,10;18020
54900,10;18092
55200,10;18214
55500,10;18321
55800,10;18420
56100,10;18512
56400,10;18604
56700,10;18702
57000,10;18779
57300,10;18859
57600,10;18932
57900,10;19004
58200,10;19096
58500,10;19181
58800,10;19267
59100,10;19378
59400,10;19456
59700,10;19539
60000,10;19632
60300,10;19711
60600,10;19769
60900,10;19845
61200,10;19919
61500,10;20011
61800,10;20119
62100,10;20210
62400,10;20312
62700,10;20412
63000,10;20487
63300,10;20579
63600,10;20646
63900,10;20712
64200,10;20801
64500,10;20885
64800,10;20954
65100,10;21036
65400,10;21117
65700,10;21222
66000,10;21300
66300,10;21391
66600,10;21480
66900,10;21561
67200,10;21670
67500,10;21746
67800,10;21822
68100,10;21920
68400,10;22012
68700,10;22095
69000,10;22169
69300,10;22253
69600,10;22293
69900,10;22357
70200,10;22427
70500,10;22509
70800,10;22586
71100,10;22663
71400,10;22756
71700,10;22865
72000,10;22958
72300,10;23038
72600,10;23165
72900,10;23238
73200,10;23296
73500,10;23372
73800,10;23459
74100,10;23567
74400,10;23660
74700,10;23736
75000,10;23804
75300,10;23869
75600,10;23948
75900,10;24071
76200,10;24172
76500,10;24252
76800,10;24344
77100,10;24405
77400,10;24462
77700,10;24573
78000,10;24644
78300,10;24731
78600,10;24802
78900,10;24867
79200,10;24931
79500,10;25027
79800,10;25105
80100,10;25181
80400,10;25262
80700,10;25328
81000,10;25410
81300,10;25481
81600,10;25534
81900,10;25641
82200,10;25731
82500,10;25835
82800,10;25917
83100,10;26007
83400,10;26107
83700,10;26193
84000,10;26263
84300,10;26332
84600,10;26403
84900,10;26485
85200,10;26567
85500,10;26623
85800,10;26690
86100,10;26774
