migration_time;num_of_mig
300,10;591
600,10;303
900,10;220
1200,10;182
1500,10;150
1800,10;126
2100,10;114
2400,10;94
2700,10;85
3000,10;91
3300,10;70
3600,10;65
3900,10;73
4200,10;60
4500,10;66
4800,10;72
5100,10;64
5400,10;65
5700,10;67
6000,10;77
6300,10;63
6600,10;76
6900,10;77
7200,10;92
7500,10;85
7800,10;96
8100,10;65
8400,10;74
8700,10;69
9000,10;96
9300,10;105
9600,10;64
9900,10;60
10200,10;64
10500,10;61
10800,10;87
11100,10;78
11400,10;87
11700,10;58
12000,10;76
12300,10;106
12600,10;50
12900,10;76
13200,10;65
13500,10;84
13800,10;68
14100,10;65
14400,10;96
14700,10;88
15000,10;94
15300,10;95
15600,10;50
15900,10;64
16200,10;46
16500,10;79
16800,10;67
17100,10;66
17400,10;75
17700,10;79
18000,10;75
18300,10;78
18600,10;64
18900,10;52
19200,10;82
19500,10;81
19800,10;75
20100,10;60
20400,10;70
20700,10;65
21000,10;86
21300,10;103
21600,10;75
21900,10;69
22200,10;80
22500,10;63
22800,10;55
23100,10;52
23400,10;99
23700,10;65
24000,10;61
24300,10;73
24600,10;65
24900,10;84
25200,10;64
25500,10;69
25800,10;56
26100,10;84
26400,10;61
26700,10;61
27000,10;67
27300,10;69
27600,10;73
27900,10;58
28200,10;83
28500,10;77
28800,10;70
29100,10;98
29400,10;90
29700,10;85
30000,10;96
30300,10;77
30600,10;74
30900,10;67
31200,10;71
31500,10;71
31800,10;95
32100,10;66
32400,10;86
32700,10;50
33000,10;53
33300,10;68
33600,10;73
33900,10;67
34200,10;51
34500,10;74
34800,10;67
35100,10;83
35400,10;57
35700,10;82
36000,10;73
36300,10;85
36600,10;67
36900,10;64
37200,10;68
37500,10;58
37800,10;70
38100,10;57
38400,10;75
38700,10;102
39000,10;80
39300,10;55
39600,10;44
39900,10;55
40200,10;77
40500,10;77
40800,10;64
41100,10;82
41400,10;69
41700,10;94
42000,10;73
42300,10;102
42600,10;80
42900,10;98
43200,10;96
43500,10;71
43800,10;103
44100,10;66
44400,10;79
44700,10;67
45000,10;68
45300,10;86
45600,10;66
45900,10;82
46200,10;57
46500,10;75
46800,10;95
47100,10;102
47400,10;71
47700,10;73
48000,10;71
48300,10;79
48600,10;67
48900,10;73
49200,10;79
49500,10;68
49800,10;49
50100,10;76
50400,10;77
50700,10;95
51000,10;73
51300,10;77
51600,10;64
51900,10;70
52200,10;99
52500,10;64
52800,10;56
53100,10;76
53400,10;63
53700,10;82
54000,10;86
54300,10;67
54600,10;49
54900,10;58
55200,10;73
55500,10;58
55800,10;92
56100,10;69
56400,10;68
56700,10;73
57000,10;65
57300,10;62
57600,10;83
57900,10;84
58200,10;75
58500,10;56
58800,10;59
59100,10;81
59400,10;85
59700,10;78
60000,10;81
60300,10;105
60600,10;60
60900,10;55
61200,10;69
61500,10;67
61800,10;73
62100,10;73
62400,10;85
62700,10;71
63000,10;80
63300,10;43
63600,10;61
63900,10;64
64200,10;90
64500,10;52
64800,10;57
65100,10;65
65400,10;74
65700,10;60
66000,10;60
66300,10;77
66600,10;57
66900,10;45
67200,10;68
67500,10;56
67800,10;81
68100,10;81
68400,10;64
68700,10;88
69000,10;53
69300,10;77
69600,10;53
69900,10;55
70200,10;75
70500,10;85
70800,10;77
71100,10;81
71400,10;66
71700,10;77
72000,10;53
72300,10;91
72600,10;66
72900,10;67
73200,10;87
73500,10;87
73800,10;89
74100,10;68
74400,10;53
74700,10;60
75000,10;67
75300,10;61
75600,10;85
75900,10;57
76200,10;53
76500,10;42
76800,10;99
77100,10;59
77400,10;59
77700,10;72
78000,10;55
78300,10;64
78600,10;97
78900,10;86
79200,10;48
79500,10;72
79800,10;56
80100,10;51
80400,10;55
80700,10;75
81000,10;54
81300,10;40
81600,10;68
81900,10;63
82200,10;58
82500,10;57
82800,10;80
83100,10;84
83400,10;67
83700,10;60
84000,10;77
84300,10;67
84600,10;86
84900,10;60
85200,10;61
85500,10;41
85800,10;86
86100,10;89
