time;num_of_active_hosts
300,10;776
600,10;321
900,10;220
1200,10;167
1500,10;131
1800,10;108
2100,10;94
2400,10;82
2700,10;76
3000,10;76
3300,10;71
3600,10;63
3900,10;63
4200,10;63
4500,10;63
4800,10;63
5100,10;62
5400,10;59
5700,10;58
6000,10;59
6300,10;59
6600,10;59
6900,10;59
7200,10;59
7500,10;59
7800,10;59
8100,10;58
8400,10;58
8700,10;58
9000,10;58
9300,10;58
9600,10;58
9900,10;58
10200,10;58
10500,10;58
10800,10;56
11100,10;54
11400,10;54
11700,10;54
12000,10;54
12300,10;53
12600,10;52
12900,10;52
13200,10;52
13500,10;51
13800,10;50
14100,10;50
14400,10;50
14700,10;50
15000,10;48
15300,10;46
15600,10;45
15900,10;45
16200,10;45
16500,10;45
16800,10;45
17100,10;45
17400,10;45
17700,10;45
18000,10;45
18300,10;45
18600,10;45
18900,10;45
19200,10;45
19500,10;45
19800,10;54
20100,10;54
20400,10;54
20700,10;54
21000,10;54
21300,10;52
21600,10;50
21900,10;49
22200,10;49
22500,10;49
22800,10;49
23100,10;49
23400,10;49
23700,10;48
24000,10;47
24300,10;47
24600,10;47
24900,10;47
25200,10;47
25500,10;47
25800,10;47
26100,10;47
26400,10;46
26700,10;45
27000,10;45
27300,10;45
27600,10;45
27900,10;44
28200,10;44
28500,10;76
28800,10;76
29100,10;73
29400,10;59
29700,10;58
30000,10;57
30300,10;55
30600,10;54
30900,10;53
31200,10;52
31500,10;52
31800,10;51
32100,10;50
32400,10;50
32700,10;50
33000,10;50
33300,10;50
33600,10;50
33900,10;49
34200,10;48
34500,10;48
34800,10;48
35100,10;47
35400,10;47
35700,10;47
36000,10;47
36300,10;45
36600,10;44
36900,10;44
37200,10;43
37500,10;45
37800,10;45
38100,10;45
38400,10;45
38700,10;45
39000,10;44
39300,10;43
39600,10;43
39900,10;43
40200,10;43
40500,10;70
40800,10;70
41100,10;70
41400,10;70
41700,10;67
42000,10;66
42300,10;66
42600,10;65
42900,10;63
43200,10;62
43500,10;62
43800,10;61
44100,10;58
44400,10;58
44700,10;58
45000,10;58
45300,10;58
45600,10;58
45900,10;58
46200,10;56
46500,10;56
46800,10;56
47100,10;54
47400,10;52
47700,10;52
48000,10;52
48300,10;52
48600,10;51
48900,10;51
49200,10;50
49500,10;50
49800,10;50
50100,10;50
50400,10;50
50700,10;50
51000,10;50
51300,10;49
51600,10;48
51900,10;48
52200,10;47
52500,10;46
52800,10;46
53100,10;46
53400,10;46
53700,10;45
54000,10;45
54300,10;44
54600,10;43
54900,10;43
55200,10;48
55500,10;48
55800,10;48
56100,10;46
56400,10;46
56700,10;45
57000,10;43
57300,10;43
57600,10;42
57900,10;54
58200,10;53
58500,10;53
58800,10;53
59100,10;53
59400,10;51
59700,10;50
60000,10;49
60300,10;49
60600,10;48
60900,10;48
61200,10;48
61500,10;48
61800,10;48
62100,10;48
62400,10;48
62700,10;47
63000,10;46
63300,10;46
63600,10;46
63900,10;46
64200,10;46
64500,10;45
64800,10;45
65100,10;45
65400,10;45
65700,10;44
66000,10;44
66300,10;44
66600,10;44
66900,10;44
67200,10;44
67500,10;44
67800,10;44
68100,10;44
68400,10;44
68700,10;44
69000,10;44
69300,10;44
69600,10;42
69900,10;42
70200,10;42
70500,10;42
70800,10;41
71100,10;40
71400,10;55
71700,10;53
72000,10;52
72300,10;45
72600,10;44
72900,10;44
73200,10;43
73500,10;42
73800,10;45
74100,10;45
74400,10;45
74700,10;45
75000,10;45
75300,10;45
75600,10;45
75900,10;44
76200,10;43
76500,10;43
76800,10;43
77100,10;42
77400,10;42
77700,10;42
78000,10;41
78300,10;41
78600,10;40
78900,10;40
79200,10;40
79500,10;40
79800,10;39
80100,10;38
80400,10;38
80700,10;38
81000,10;39
81300,10;38
81600,10;38
81900,10;38
82200,10;44
82500,10;43
82800,10;43
83100,10;43
83400,10;41
83700,10;41
84000,10;41
84300,10;39
84600,10;39
84900,10;39
85200,10;39
85500,10;39
85800,10;39
86100,10;39
