migration_time;num_of_mig
300,10;838
600,10;138
900,10;90
1200,10;64
1500,10;63
1800,10;67
2100,10;58
2400,10;53
2700,10;63
3000,10;60
3300,10;63
3600,10;51
3900,10;70
4200,10;59
4500,10;45
4800,10;53
5100,10;53
5400,10;57
5700,10;56
6000,10;51
6300,10;46
6600,10;52
6900,10;49
7200,10;69
7500,10;51
7800,10;53
8100,10;40
8400,10;55
8700,10;42
9000,10;48
9300,10;43
9600,10;47
9900,10;53
10200,10;37
10500,10;35
10800,10;40
11100,10;49
11400,10;59
11700,10;46
12000,10;60
12300,10;47
12600,10;37
12900,10;32
13200,10;31
13500,10;49
13800,10;59
14100,10;56
14400,10;41
14700,10;37
15000,10;31
15300,10;41
15600,10;44
15900,10;64
16200,10;45
16500,10;56
16800,10;55
17100,10;36
17400,10;55
17700,10;36
18000,10;51
18300,10;34
18600,10;35
18900,10;36
19200,10;38
19500,10;44
19800,10;43
20100,10;31
20400,10;21
20700,10;42
21000,10;49
21300,10;32
21600,10;56
21900,10;49
22200,10;47
22500,10;47
22800,10;36
23100,10;34
23400,10;51
23700,10;35
24000,10;42
24300,10;55
24600,10;45
24900,10;33
25200,10;35
25500,10;46
25800,10;50
26100,10;45
26400,10;36
26700,10;52
27000,10;35
27300,10;44
27600,10;45
27900,10;43
28200,10;49
28500,10;46
28800,10;46
29100,10;38
29400,10;44
29700,10;33
30000,10;32
30300,10;25
30600,10;29
30900,10;41
31200,10;30
31500,10;50
31800,10;41
32100,10;48
32400,10;42
32700,10;41
33000,10;53
33300,10;34
33600,10;40
33900,10;38
34200,10;24
34500,10;45
34800,10;39
35100,10;40
35400,10;40
35700,10;44
36000,10;35
36300,10;37
36600,10;41
36900,10;46
37200,10;55
37500,10;44
37800,10;33
38100,10;25
38400,10;30
38700,10;39
39000,10;45
39300,10;35
39600,10;35
39900,10;33
40200,10;48
40500,10;35
40800,10;35
41100,10;39
41400,10;36
41700,10;45
42000,10;57
42300,10;37
42600,10;31
42900,10;40
43200,10;40
43500,10;42
43800,10;39
44100,10;41
44400,10;42
44700,10;40
45000,10;35
45300,10;41
45600,10;43
45900,10;38
46200,10;33
46500,10;42
46800,10;37
47100,10;35
47400,10;36
47700,10;26
48000,10;33
48300,10;31
48600,10;54
48900,10;36
49200,10;41
49500,10;43
49800,10;35
50100,10;36
50400,10;51
50700,10;43
51000,10;46
51300,10;40
51600,10;36
51900,10;36
52200,10;40
52500,10;45
52800,10;48
53100,10;31
53400,10;31
53700,10;37
54000,10;46
54300,10;46
54600,10;38
54900,10;33
55200,10;40
55500,10;42
55800,10;35
56100,10;32
56400,10;37
56700,10;41
57000,10;32
57300,10;35
57600,10;34
57900,10;41
58200,10;51
58500,10;34
58800,10;40
59100,10;42
59400,10;27
59700,10;36
60000,10;32
60300,10;44
60600,10;48
60900,10;44
61200,10;37
61500,10;31
61800,10;41
62100,10;43
62400,10;34
62700,10;51
63000,10;44
63300,10;37
63600,10;34
63900,10;38
64200,10;47
64500,10;33
64800,10;30
65100,10;42
65400,10;47
65700,10;40
66000,10;28
66300,10;37
66600,10;49
66900,10;40
67200,10;31
67500,10;51
67800,10;37
68100,10;44
68400,10;38
68700,10;40
69000,10;38
69300,10;36
69600,10;33
69900,10;36
70200,10;28
70500,10;45
70800,10;43
71100,10;36
71400,10;44
71700,10;38
72000,10;33
72300,10;28
72600,10;25
72900,10;40
73200,10;34
73500,10;31
73800,10;33
74100,10;37
74400,10;38
74700,10;36
75000,10;35
75300,10;40
75600,10;41
75900,10;34
76200,10;39
76500,10;25
76800,10;70
77100,10;64
77400,10;56
77700,10;59
78000,10;34
78300,10;37
78600,10;30
78900,10;36
79200,10;30
79500,10;27
79800,10;37
80100,10;38
80400,10;29
80700,10;38
81000,10;44
81300,10;33
81600,10;34
81900,10;42
82200,10;35
82500,10;43
82800,10;37
83100,10;32
83400,10;27
83700,10;37
84000,10;27
84300,10;66
84600,10;30
84900,10;33
85200,10;37
85500,10;39
85800,10;35
86100,10;33
