migration_time;num_of_mig_cum
300,10;368
600,10;631
900,10;836
1200,10;1001
1500,10;1148
1800,10;1265
2100,10;1370
2400,10;1468
2700,10;1567
3000,10;1667
3300,10;1762
3600,10;1863
3900,10;1981
4200,10;2062
4500,10;2146
4800,10;2223
5100,10;2316
5400,10;2376
5700,10;2466
6000,10;2539
6300,10;2685
6600,10;2777
6900,10;2875
7200,10;2941
7500,10;3026
7800,10;3119
8100,10;3173
8400,10;3234
8700,10;3325
9000,10;3392
9300,10;3458
9600,10;3544
9900,10;3612
10200,10;3676
10500,10;3746
10800,10;3825
11100,10;3877
11400,10;3934
11700,10;4048
12000,10;4123
12300,10;4211
12600,10;4292
12900,10;4354
13200,10;4447
13500,10;4521
13800,10;4599
14100,10;4680
14400,10;4750
14700,10;4811
15000,10;4898
15300,10;4984
15600,10;5052
15900,10;5115
16200,10;5176
16500,10;5283
16800,10;5366
17100,10;5441
17400,10;5531
17700,10;5602
18000,10;5700
18300,10;5767
18600,10;5821
18900,10;5907
19200,10;5961
19500,10;6042
19800,10;6129
20100,10;6167
20400,10;6236
20700,10;6304
21000,10;6381
21300,10;6443
21600,10;6542
21900,10;6624
22200,10;6668
22500,10;6726
22800,10;6807
23100,10;6883
23400,10;6953
23700,10;7036
24000,10;7089
24300,10;7172
24600,10;7233
24900,10;7309
25200,10;7406
25500,10;7481
25800,10;7554
26100,10;7636
26400,10;7725
26700,10;7821
27000,10;7897
27300,10;7984
27600,10;8052
27900,10;8118
28200,10;8204
28500,10;8295
28800,10;8363
29100,10;8467
29400,10;8558
29700,10;8652
30000,10;8737
30300,10;8840
30600,10;8914
30900,10;8963
31200,10;9013
31500,10;9117
31800,10;9208
32100,10;9322
32400,10;9387
32700,10;9480
33000,10;9573
33300,10;9640
33600,10;9711
33900,10;9766
34200,10;9866
34500,10;9931
34800,10;10019
35100,10;10082
35400,10;10158
35700,10;10229
36000,10;10312
36300,10;10385
36600,10;10465
36900,10;10588
37200,10;10715
37500,10;10822
37800,10;10880
38100,10;10954
38400,10;11008
38700,10;11081
39000,10;11167
39300,10;11216
39600,10;11333
39900,10;11408
40200,10;11491
40500,10;11574
40800,10;11634
41100,10;11693
41400,10;11759
41700,10;11810
42000,10;11915
42300,10;11971
42600,10;12028
42900,10;12111
43200,10;12184
43500,10;12276
43800,10;12363
44100,10;12440
44400,10;12522
44700,10;12584
45000,10;12651
45300,10;12733
45600,10;12806
45900,10;12889
46200,10;12987
46500,10;13055
46800,10;13169
47100,10;13249
47400,10;13318
47700,10;13383
48000,10;13462
48300,10;13534
48600,10;13585
48900,10;13649
49200,10;13724
49500,10;13782
49800,10;13890
50100,10;13961
50400,10;14034
50700,10;14098
51000,10;14152
51300,10;14235
51600,10;14311
51900,10;14367
52200,10;14440
52500,10;14513
52800,10;14591
53100,10;14649
53400,10;14718
53700,10;14789
54000,10;14860
54300,10;14939
54600,10;15000
54900,10;15052
55200,10;15117
55500,10;15188
55800,10;15260
56100,10;15333
56400,10;15403
56700,10;15483
57000,10;15567
57300,10;15661
57600,10;15751
57900,10;15833
58200,10;15920
58500,10;16017
58800,10;16134
59100,10;16196
59400,10;16245
59700,10;16306
60000,10;16386
60300,10;16450
60600,10;16526
60900,10;16611
61200,10;16704
61500,10;16796
61800,10;16851
62100,10;16911
62400,10;16974
62700,10;17071
63000,10;17148
63300,10;17235
63600,10;17282
63900,10;17339
64200,10;17397
64500,10;17469
64800,10;17527
65100,10;17575
65400,10;17667
65700,10;17734
66000,10;17821
66300,10;17883
66600,10;17974
66900,10;18038
67200,10;18078
67500,10;18137
67800,10;18215
68100,10;18295
68400,10;18372
68700,10;18457
69000,10;18532
69300,10;18623
69600,10;18758
69900,10;18827
70200,10;18898
70500,10;18976
70800,10;19066
71100,10;19132
71400,10;19209
71700,10;19294
72000,10;19346
72300,10;19400
72600,10;19497
72900,10;19587
73200,10;19656
73500,10;19737
73800,10;19830
74100,10;19920
74400,10;20002
74700,10;20055
75000,10;20142
75300,10;20205
75600,10;20259
75900,10;20340
76200,10;20404
76500,10;20458
76800,10;20534
77100,10;20616
77400,10;20670
77700,10;20795
78000,10;20867
78300,10;20934
78600,10;20991
78900,10;21034
79200,10;21100
79500,10;21136
79800,10;21227
80100,10;21273
80400,10;21334
80700,10;21366
81000,10;21421
81300,10;21484
81600,10;21555
81900,10;21615
82200,10;21718
82500,10;21760
82800,10;21795
83100,10;21843
83400,10;21895
83700,10;21959
84000,10;22037
84300,10;22091
84600,10;22172
84900,10;22237
85200,10;22309
85500,10;22394
85800,10;22462
86100,10;22546
