time;num_of_active_hosts_new
300,10;800
600,10;368
900,10;261
1200,10;202
1500,10;165
1800,10;136
2100,10;117
2400,10;102
2700,10;90
3000,10;79
3300,10;69
3600,10;61
3900,10;53
4200,10;53
4500,10;51
4800,10;53
5100,10;51
5400,10;48
5700,10;48
6000,10;46
6300,10;59
6600,10;54
6900,10;52
7200,10;49
7500,10;56
7800,10;54
8100,10;52
8400,10;52
8700,10;51
9000,10;49
9300,10;58
9600,10;57
9900,10;51
10200,10;49
10500,10;53
10800,10;51
11100,10;48
11400,10;48
11700,10;55
12000,10;52
12300,10;51
12600,10;49
12900,10;48
13200,10;48
13500,10;46
13800,10;49
14100,10;48
14400,10;48
14700,10;54
15000,10;53
15300,10;51
15600,10;50
15900,10;44
16200,10;43
16500,10;56
16800,10;51
17100,10;50
17400,10;49
17700,10;47
18000,10;46
18300,10;57
18600,10;54
18900,10;53
19200,10;51
19500,10;51
19800,10;50
20100,10;46
20400,10;46
20700,10;46
21000,10;55
21300,10;54
21600,10;54
21900,10;51
22200,10;49
22500,10;49
22800,10;52
23100,10;51
23400,10;48
23700,10;59
24000,10;52
24300,10;51
24600,10;49
24900,10;47
25200,10;55
25500,10;52
25800,10;51
26100,10;49
26400,10;55
26700,10;53
27000,10;52
27300,10;51
27600,10;51
27900,10;51
28200,10;51
28500,10;71
28800,10;58
29100,10;56
29400,10;52
29700,10;50
30000,10;49
30300,10;54
30600,10;52
30900,10;51
31200,10;49
31500,10;49
31800,10;46
32100,10;62
32400,10;57
32700,10;57
33000,10;55
33300,10;53
33600,10;54
33900,10;53
34200,10;53
34500,10;50
34800,10;54
35100,10;53
35400,10;52
35700,10;51
36000,10;61
36300,10;51
36600,10;49
36900,10;60
37200,10;57
37500,10;55
37800,10;52
38100,10;51
38400,10;50
38700,10;48
39000,10;55
39300,10;54
39600,10;54
39900,10;53
40200,10;50
40500,10;57
40800,10;53
41100,10;52
41400,10;52
41700,10;50
42000,10;59
42300,10;53
42600,10;53
42900,10;51
43200,10;49
43500,10;58
43800,10;56
44100,10;54
44400,10;53
44700,10;51
45000,10;51
45300,10;51
45600,10;57
45900,10;57
46200,10;55
46500,10;51
46800,10;61
47100,10;56
47400,10;54
47700,10;53
48000,10;51
48300,10;51
48600,10;54
48900,10;54
49200,10;53
49500,10;51
49800,10;58
50100,10;57
50400,10;54
50700,10;53
51000,10;52
51300,10;52
51600,10;50
51900,10;57
52200,10;56
52500,10;54
52800,10;52
53100,10;55
53400,10;55
53700,10;54
54000,10;54
54300,10;54
54600,10;53
54900,10;49
55200,10;55
55500,10;54
55800,10;53
56100,10;52
56400,10;52
56700,10;58
57000,10;55
57300,10;54
57600,10;53
57900,10;51
58200,10;61
58500,10;61
58800,10;58
59100,10;55
59400,10;53
59700,10;53
60000,10;52
60300,10;50
60600,10;58
60900,10;57
61200,10;54
61500,10;52
61800,10;50
62100,10;50
62400,10;49
62700,10;53
63000,10;52
63300,10;52
63600,10;48
63900,10;48
64200,10;48
64500,10;60
64800,10;57
65100,10;53
65400,10;53
65700,10;51
66000,10;50
66300,10;50
66600,10;54
66900,10;50
67200,10;46
67500,10;46
67800,10;51
68100,10;48
68400,10;48
68700,10;46
69000,10;49
69300,10;47
69600,10;51
69900,10;47
70200,10;46
70500,10;45
70800,10;53
71100,10;50
71400,10;49
71700,10;46
72000,10;52
72300,10;47
72600,10;47
72900,10;46
73200,10;45
73500,10;56
73800,10;52
74100,10;48
74400,10;45
74700,10;45
75000,10;45
75300,10;44
75600,10;44
75900,10;50
76200,10;45
76500,10;43
76800,10;43
77100,10;53
77400,10;40
77700,10;57
78000,10;47
78300,10;46
78600,10;43
78900,10;42
79200,10;48
79500,10;46
79800,10;46
80100,10;44
80400,10;43
80700,10;46
81000,10;46
81300,10;46
81600,10;44
81900,10;44
82200,10;52
82500,10;40
82800,10;40
83100,10;44
83400,10;43
83700,10;42
84000,10;42
84300,10;41
84600,10;41
84900,10;39
85200,10;39
85500,10;48
85800,10;43
86100,10;41
