migration_time;num_of_mig
300,10;458
600,10;324
900,10;259
1200,10;200
1500,10;164
1800,10;145
2100,10;120
2400,10;123
2700,10;96
3000,10;97
3300,10;117
3600,10;91
3900,10;87
4200,10;146
4500,10;109
4800,10;121
5100,10;144
5400,10;104
5700,10;206
6000,10;106
6300,10;196
6600,10;107
6900,10;130
7200,10;58
7500,10;155
7800,10;101
8100,10;177
8400,10;113
8700,10;120
9000,10;89
9300,10;153
9600,10;142
9900,10;92
10200,10;129
10500,10;85
10800,10;126
11100,10;70
11400,10;151
11700,10;159
12000,10;89
12300,10;120
12600,10;87
12900,10;117
13200,10;125
13500,10;95
13800,10;76
14100,10;93
14400,10;125
14700,10;169
15000,10;127
15300,10;119
15600,10;207
15900,10;94
16200,10;81
16500,10;145
16800,10;109
17100,10;112
17400,10;80
17700,10;112
18000,10;88
18300,10;95
18600,10;79
18900,10;134
19200,10;71
19500,10;123
19800,10;134
20100,10;105
20400,10;142
20700,10;90
21000,10;121
21300,10;85
21600,10;98
21900,10;131
22200,10;93
22500,10;126
22800,10;130
23100,10;91
23400,10;50
23700,10;199
24000,10;86
24300,10;98
24600,10;132
24900,10;85
25200,10;91
25500,10;128
25800,10;137
26100,10;88
26400,10;160
26700,10;117
27000,10;89
27300,10;74
27600,10;104
27900,10;85
28200,10;170
28500,10;133
28800,10;83
29100,10;149
29400,10;120
29700,10;111
30000,10;75
30300,10;93
30600,10;146
30900,10;108
31200,10;105
31500,10;100
31800,10;85
32100,10;191
32400,10;107
32700,10;117
33000,10;95
33300,10;124
33600,10;82
33900,10;127
34200,10;99
34500,10;51
34800,10;194
35100,10;104
35400,10;91
35700,10;114
36000,10;144
36300,10;106
36600,10;100
36900,10;85
37200,10;86
37500,10;103
37800,10;90
38100,10;94
38400,10;96
38700,10;82
39000,10;115
39300,10;79
39600,10;93
39900,10;98
40200,10;119
40500,10;123
40800,10;77
41100,10;83
41400,10;97
41700,10;78
42000,10;168
42300,10;101
42600,10;100
42900,10;93
43200,10;105
43500,10;152
43800,10;100
44100,10;85
44400,10;137
44700,10;93
45000,10;105
45300,10;103
45600,10;119
45900,10;138
46200,10;110
46500,10;88
46800,10;111
47100,10;87
47400,10;93
47700,10;90
48000,10;123
48300,10;81
48600,10;122
48900,10;102
49200,10;72
49500,10;83
49800,10;139
50100,10;84
50400,10;80
50700,10;123
51000,10;67
51300,10;127
51600,10;121
51900,10;130
52200,10;82
52500,10;160
52800,10;97
53100,10;100
53400,10;93
53700,10;95
54000,10;109
54300,10;103
54600,10;132
54900,10;88
55200,10;98
55500,10;109
55800,10;112
56100,10;95
56400,10;123
56700,10;119
57000,10;102
57300,10;117
57600,10;90
57900,10;77
58200,10;130
58500,10;135
58800,10;103
59100,10;90
59400,10;107
59700,10;87
60000,10;77
60300,10;68
60600,10;94
60900,10;102
61200,10;109
61500,10;98
61800,10;106
62100,10;129
62400,10;70
62700,10;134
63000,10;69
63300,10;111
63600,10;77
63900,10;68
64200,10;60
64500,10;151
64800,10;86
65100,10;77
65400,10;76
65700,10;97
66000,10;110
66300,10;94
66600,10;132
66900,10;72
67200,10;113
67500,10;91
67800,10;98
68100,10;112
68400,10;97
68700,10;130
69000,10;143
69300,10;82
69600,10;92
69900,10;70
70200,10;85
70500,10;79
70800,10;197
71100,10;120
71400,10;162
71700,10;95
72000,10;86
72300,10;106
72600,10;109
72900,10;106
73200,10;63
73500,10;162
73800,10;153
74100,10;140
74400,10;83
74700,10;73
75000,10;121
75300,10;115
75600,10;83
75900,10;145
76200,10;83
76500,10;97
76800,10;68
77100,10;248
77400,10;85
77700,10;326
78000,10;114
78300,10;153
78600,10;64
78900,10;149
79200,10;81
79500,10;87
79800,10;94
80100,10;141
80400,10;69
80700,10;52
81000,10;157
81300,10;99
81600,10;67
81900,10;165
82200,10;132
82500,10;95
82800,10;98
83100,10;167
83400,10;81
83700,10;140
84000,10;101
84300,10;101
84600,10;44
84900,10;132
85200,10;88
85500,10;168
85800,10;80
86100,10;128
