migration_time;num_of_mig_cum
300,10;591
600,10;894
900,10;1114
1200,10;1296
1500,10;1446
1800,10;1570
2100,10;1680
2400,10;1772
2700,10;1854
3000,10;1924
3300,10;1993
3600,10;2065
3900,10;2126
4200,10;2181
4500,10;2239
4800,10;2289
5100,10;2356
5400,10;2405
5700,10;2447
6000,10;2505
6300,10;2557
6600,10;2622
6900,10;2678
7200,10;2733
7500,10;2802
7800,10;2863
8100,10;2910
8400,10;2959
8700,10;2985
9000,10;3050
9300,10;3124
9600,10;3182
9900,10;3231
10200,10;3282
10500,10;3338
10800,10;3391
11100,10;3444
11400,10;3516
11700,10;3565
12000,10;3628
12300,10;3680
12600,10;3750
12900,10;3801
13200,10;3847
13500,10;3905
13800,10;3968
14100,10;4022
14400,10;4088
14700,10;4149
15000,10;4224
15300,10;4297
15600,10;4342
15900,10;4415
16200,10;4475
16500,10;4510
16800,10;4576
17100,10;4642
17400,10;4742
17700,10;4821
18000,10;4885
18300,10;4941
18600,10;5018
18900,10;5078
19200,10;5164
19500,10;5225
19800,10;5270
20100,10;5314
20400,10;5357
20700,10;5403
21000,10;5440
21300,10;5493
21600,10;5549
21900,10;5587
22200,10;5639
22500,10;5695
22800,10;5751
23100,10;5798
23400,10;5857
23700,10;5896
24000,10;5962
24300,10;6001
24600,10;6052
24900,10;6111
25200,10;6153
25500,10;6223
25800,10;6283
26100,10;6348
26400,10;6399
26700,10;6497
27000,10;6551
27300,10;6602
27600,10;6660
27900,10;6716
28200,10;6789
28500,10;6833
28800,10;6905
29100,10;6951
29400,10;7005
29700,10;7059
30000,10;7116
30300,10;7189
30600,10;7234
30900,10;7288
31200,10;7340
31500,10;7382
31800,10;7449
32100,10;7506
32400,10;7563
32700,10;7634
33000,10;7701
33300,10;7758
33600,10;7817
33900,10;7879
34200,10;7966
34500,10;8016
34800,10;8062
35100,10;8130
35400,10;8187
35700,10;8252
36000,10;8306
36300,10;8381
36600,10;8469
36900,10;8518
37200,10;8558
37500,10;8598
37800,10;8627
38100,10;8664
38400,10;8713
38700,10;8769
39000,10;8813
39300,10;8855
39600,10;8916
39900,10;8991
40200,10;9075
40500,10;9138
40800,10;9204
41100,10;9285
41400,10;9329
41700,10;9400
42000,10;9455
42300,10;9501
42600,10;9555
42900,10;9614
43200,10;9661
43500,10;9704
43800,10;9748
44100,10;9811
44400,10;9859
44700,10;9894
45000,10;9944
45300,10;9998
45600,10;10075
45900,10;10112
46200,10;10173
46500,10;10227
46800,10;10296
47100,10;10370
47400,10;10418
47700,10;10475
48000,10;10531
48300,10;10593
48600,10;10641
48900,10;10705
49200,10;10758
49500,10;10826
49800,10;10885
50100,10;10932
50400,10;10993
50700,10;11036
51000,10;11080
51300,10;11160
51600,10;11199
51900,10;11228
52200,10;11282
52500,10;11333
52800,10;11400
53100,10;11447
53400,10;11489
53700,10;11544
54000,10;11590
54300,10;11647
54600,10;11697
54900,10;11754
55200,10;11803
55500,10;11849
55800,10;11887
56100,10;11941
56400,10;12015
56700,10;12061
57000,10;12100
57300,10;12130
57600,10;12173
57900,10;12225
58200,10;12285
58500,10;12318
58800,10;12374
59100,10;12419
59400,10;12475
59700,10;12545
60000,10;12608
60300,10;12669
60600,10;12725
60900,10;12779
61200,10;12814
61500,10;12866
61800,10;12917
62100,10;12975
62400,10;13019
62700,10;13091
63000,10;13138
63300,10;13179
63600,10;13232
63900,10;13263
64200,10;13306
64500,10;13360
64800,10;13423
65100,10;13478
65400,10;13542
65700,10;13613
66000,10;13653
66300,10;13718
66600,10;13781
66900,10;13855
67200,10;13916
67500,10;13969
67800,10;14000
68100,10;14035
68400,10;14084
68700,10;14132
69000,10;14190
69300,10;14233
69600,10;14262
69900,10;14290
70200,10;14343
70500,10;14394
70800,10;14453
71100,10;14522
71400,10;14561
71700,10;14622
72000,10;14669
72300,10;14714
72600,10;14780
72900,10;14839
73200,10;14918
73500,10;14969
73800,10;15024
74100,10;15074
74400,10;15126
74700,10;15167
75000,10;15217
75300,10;15290
75600,10;15350
75900,10;15407
76200,10;15443
76500,10;15470
76800,10;15541
77100,10;15598
77400,10;15664
77700,10;15708
78000,10;15772
78300,10;15801
78600,10;15838
78900,10;15907
79200,10;15945
79500,10;15990
79800,10;16034
80100,10;16069
80400,10;16116
80700,10;16173
81000,10;16203
81300,10;16245
81600,10;16299
81900,10;16347
82200,10;16405
82500,10;16442
82800,10;16488
83100,10;16523
83400,10;16556
83700,10;16612
84000,10;16666
84300,10;16705
84600,10;16752
84900,10;16804
85200,10;16867
85500,10;16909
85800,10;16956
86100,10;17001
