migration_time;num_of_mig
300,10;832
600,10;492
900,10;202
1200,10;209
1500,10;224
1800,10;193
2100,10;151
2400,10;159
2700,10;191
3000,10;196
3300,10;157
3600,10;138
3900,10;154
4200,10;248
4500,10;201
4800,10;180
5100,10;125
5400,10;123
5700,10;114
6000,10;110
6300,10;119
6600,10;117
6900,10;154
7200,10;113
7500,10;137
7800,10;155
8100,10;99
8400,10;88
8700,10;88
9000,10;89
9300,10;69
9600,10;95
9900,10;99
10200,10;96
10500,10;119
10800,10;136
11100,10;91
11400,10;104
11700,10;125
12000,10;133
12300,10;120
12600,10;85
12900,10;127
13200,10;92
13500,10;95
13800,10;85
14100,10;107
14400,10;133
14700,10;109
15000,10;100
15300,10;112
15600,10;105
15900,10;89
16200,10;122
16500,10;96
16800,10;107
17100,10;102
17400,10;98
17700,10;91
18000,10;91
18300,10;93
18600,10;76
18900,10;83
19200,10;101
19500,10;121
19800,10;145
20100,10;78
20400,10;60
20700,10;75
21000,10;58
21300,10;75
21600,10;93
21900,10;101
22200,10;111
22500,10;109
22800,10;132
23100,10;92
23400,10;84
23700,10;112
24000,10;111
24300,10;107
24600,10;120
24900,10;100
25200,10;89
25500,10;93
25800,10;84
26100,10;107
26400,10;126
26700,10;98
27000,10;112
27300,10;84
27600,10;105
27900,10;102
28200,10;139
28500,10;222
28800,10;126
29100,10;102
29400,10;107
29700,10;98
30000,10;85
30300,10;84
30600,10;90
30900,10;89
31200,10;74
31500,10;93
31800,10;97
32100,10;106
32400,10;100
32700,10;99
33000,10;87
33300,10;122
33600,10;99
33900,10;65
34200,10;87
34500,10;70
34800,10;100
35100,10;86
35400,10;89
35700,10;75
36000,10;73
36300,10;93
36600,10;99
36900,10;78
37200,10;109
37500,10;90
37800,10;84
38100,10;87
38400,10;80
38700,10;78
39000,10;79
39300,10;67
39600,10;72
39900,10;86
40200,10;94
40500,10;70
40800,10;71
41100,10;88
41400,10;117
41700,10;92
42000,10;81
42300,10;108
42600,10;91
42900,10;90
43200,10;87
43500,10;104
43800,10;95
44100,10;82
44400,10;82
44700,10;90
45000,10;116
45300,10;145
45600,10;131
45900,10;100
46200,10;91
46500,10;88
46800,10;105
47100,10;72
47400,10;90
47700,10;70
48000,10;81
48300,10;80
48600,10;66
48900,10;78
49200,10;74
49500,10;101
49800,10;83
50100,10;107
50400,10;89
50700,10;65
51000,10;70
51300,10;81
51600,10;68
51900,10;84
52200,10;61
52500,10;77
52800,10;93
53100,10;100
53400,10;83
53700,10;86
54000,10;112
54300,10;119
54600,10;87
54900,10;98
55200,10;115
55500,10;85
55800,10;80
56100,10;96
56400,10;108
56700,10;104
57000,10;93
57300,10;96
57600,10;74
57900,10;67
58200,10;61
58500,10;102
58800,10;77
59100,10;88
59400,10;85
59700,10;93
60000,10;82
60300,10;102
60600,10;82
60900,10;80
61200,10;85
61500,10;100
61800,10;98
62100,10;91
62400,10;131
62700,10;123
63000,10;90
63300,10;94
63600,10;94
63900,10;88
64200,10;110
64500,10;131
64800,10;125
65100,10;102
65400,10;79
65700,10;99
66000,10;98
66300,10;124
66600,10;111
66900,10;75
67200,10;67
67500,10;95
67800,10;108
68100,10;95
68400,10;100
68700,10;126
69000,10;91
69300,10;80
69600,10;92
69900,10;61
70200,10;74
70500,10;89
70800,10;99
71100,10;125
71400,10;94
71700,10;85
72000,10;71
72300,10;88
72600,10;70
72900,10;75
73200,10;88
73500,10;109
73800,10;103
74100,10;88
74400,10;132
74700,10;99
75000,10;89
75300,10;79
75600,10;109
75900,10;167
76200,10;117
76500,10;113
76800,10;105
77100,10;141
77400,10;113
77700,10;99
78000,10;88
78300,10;78
78600,10;75
78900,10;103
79200,10;106
79500,10;105
79800,10;91
80100,10;73
80400,10;67
80700,10;83
81000,10;91
81300,10;125
81600,10;101
81900,10;104
82200,10;127
82500,10;75
82800,10;77
83100,10;69
83400,10;85
83700,10;83
84000,10;83
84300,10;88
84600,10;80
84900,10;73
85200,10;102
85500,10;61
85800,10;99
86100,10;91
