migration_time;num_of_mig_cum
300,10;882
600,10;1100
900,10;1277
1200,10;1392
1500,10;1571
1800,10;1776
2100,10;1928
2400,10;2049
2700,10;2173
3000,10;2274
3300,10;2437
3600,10;2546
3900,10;2716
4200,10;2842
4500,10;2939
4800,10;3010
5100,10;3073
5400,10;3163
5700,10;3272
6000,10;3367
6300,10;3472
6600,10;3573
6900,10;3667
7200,10;3782
7500,10;3889
7800,10;3998
8100,10;4087
8400,10;4174
8700,10;4246
9000,10;4345
9300,10;4424
9600,10;4517
9900,10;4606
10200,10;4687
10500,10;4783
10800,10;4864
11100,10;4962
11400,10;5044
11700,10;5143
12000,10;5244
12300,10;5339
12600,10;5411
12900,10;5486
13200,10;5581
13500,10;5679
13800,10;5758
14100,10;5854
14400,10;5940
14700,10;6016
15000,10;6078
15300,10;6161
15600,10;6248
15900,10;6328
16200,10;6400
16500,10;6473
16800,10;6542
17100,10;6626
17400,10;6703
17700,10;6786
18000,10;6873
18300,10;6942
18600,10;7042
18900,10;7121
19200,10;7196
19500,10;7285
19800,10;7376
20100,10;7447
20400,10;7550
20700,10;7623
21000,10;7691
21300,10;7749
21600,10;7841
21900,10;7931
22200,10;8016
22500,10;8084
22800,10;8148
23100,10;8221
23400,10;8300
23700,10;8396
24000,10;8487
24300,10;8578
24600,10;8666
24900,10;8747
25200,10;8812
25500,10;8884
25800,10;8965
26100,10;9045
26400,10;9117
26700,10;9178
27000,10;9266
27300,10;9354
27600,10;9425
27900,10;9508
28200,10;9610
28500,10;9717
28800,10;9804
29100,10;9885
29400,10;9964
29700,10;10053
30000,10;10137
30300,10;10209
30600,10;10291
30900,10;10374
31200,10;10463
31500,10;10555
31800,10;10650
32100,10;10740
32400,10;10843
32700,10;10938
33000,10;11006
33300,10;11076
33600,10;11191
33900,10;11258
34200,10;11303
34500,10;11371
34800,10;11457
35100,10;11531
35400,10;11617
35700,10;11710
36000,10;11808
36300,10;11897
36600,10;12003
36900,10;12080
37200,10;12174
37500,10;12249
37800,10;12313
38100,10;12387
38400,10;12458
38700,10;12548
39000,10;12634
39300,10;12733
39600,10;12831
39900,10;12920
40200,10;13008
40500,10;13092
40800,10;13167
41100,10;13261
41400,10;13336
41700,10;13410
42000,10;13486
42300,10;13568
42600,10;13637
42900,10;13708
43200,10;13785
43500,10;13866
43800,10;13913
44100,10;13967
44400,10;14048
44700,10;14102
45000,10;14171
45300,10;14253
45600,10;14342
45900,10;14432
46200,10;14500
46500,10;14589
46800,10;14668
47100,10;14761
47400,10;14844
47700,10;14936
48000,10;15009
48300,10;15079
48600,10;15154
48900,10;15236
49200,10;15335
49500,10;15426
49800,10;15512
50100,10;15575
50400,10;15643
50700,10;15701
51000,10;15782
51300,10;15883
51600,10;15971
51900,10;16041
52200,10;16121
52500,10;16211
52800,10;16303
53100,10;16400
53400,10;16473
53700,10;16571
54000,10;16657
54300,10;16773
54600,10;16853
54900,10;16941
55200,10;17029
55500,10;17116
55800,10;17223
56100,10;17303
56400,10;17387
56700,10;17444
57000,10;17508
57300,10;17604
57600,10;17698
57900,10;17772
58200,10;17836
58500,10;17928
58800,10;18014
59100,10;18110
59400,10;18185
59700,10;18260
60000,10;18337
60300,10;18427
60600,10;18501
60900,10;18587
61200,10;18694
61500,10;18774
61800,10;18842
62100,10;18928
62400,10;19025
62700,10;19100
63000,10;19194
63300,10;19260
63600,10;19332
63900,10;19409
64200,10;19483
64500,10;19567
64800,10;19627
65100,10;19689
65400,10;19783
65700,10;19858
66000,10;19958
66300,10;20043
66600,10;20133
66900,10;20222
67200,10;20320
67500,10;20410
67800,10;20482
68100,10;20559
68400,10;20643
68700,10;20744
69000,10;20830
69300,10;20907
69600,10;20971
69900,10;21042
70200,10;21118
70500,10;21225
70800,10;21305
71100,10;21392
71400,10;21484
71700,10;21560
72000,10;21617
72300,10;21695
72600,10;21771
72900,10;21845
73200,10;21917
73500,10;21981
73800,10;22068
74100,10;22149
74400,10;22254
74700,10;22335
75000,10;22406
75300,10;22480
75600,10;22562
75900,10;22649
76200,10;22707
76500,10;22781
76800,10;22858
77100,10;22974
77400,10;23098
77700,10;23205
78000,10;23286
78300,10;23365
78600,10;23448
78900,10;23540
79200,10;23608
79500,10;23677
79800,10;23745
80100,10;23803
80400,10;23862
80700,10;23951
81000,10;24035
81300,10;24111
81600,10;24191
81900,10;24266
82200,10;24357
82500,10;24434
82800,10;24510
83100,10;24613
83400,10;24692
83700,10;24750
84000,10;24829
84300,10;24915
84600,10;25000
84900,10;25078
85200,10;25160
85500,10;25229
85800,10;25315
86100,10;25406
