time;num_of_active_hosts_new
300,10;800
600,10;54
900,10;55
1200,10;58
1500,10;55
1800,10;58
2100,10;58
2400,10;56
2700,10;54
3000,10;55
3300,10;51
3600,10;54
3900,10;51
4200,10;53
4500,10;55
4800,10;53
5100,10;51
5400,10;47
5700,10;50
6000,10;50
6300,10;52
6600,10;51
6900,10;46
7200,10;46
7500,10;51
7800,10;51
8100,10;53
8400,10;52
8700,10;50
9000,10;48
9300,10;51
9600,10;52
9900,10;47
10200,10;44
10500,10;48
10800,10;46
11100,10;43
11400,10;47
11700,10;48
12000,10;47
12300,10;47
12600,10;45
12900,10;43
13200,10;45
13500,10;43
13800,10;43
14100,10;45
14400,10;47
14700,10;48
15000,10;46
15300,10;46
15600,10;50
15900,10;42
16200,10;42
16500,10;45
16800,10;45
17100,10;48
17400,10;50
17700,10;48
18000,10;48
18300,10;48
18600,10;47
18900,10;48
19200,10;46
19500,10;49
19800,10;52
20100,10;44
20400,10;45
20700,10;47
21000,10;50
21300,10;48
21600,10;48
21900,10;47
22200,10;44
22500,10;47
22800,10;49
23100,10;48
23400,10;46
23700,10;51
24000,10;48
24300,10;49
24600,10;50
24900,10;49
25200,10;49
25500,10;45
25800,10;47
26100,10;45
26400,10;50
26700,10;44
27000,10;45
27300,10;47
27600,10;48
27900,10;44
28200,10;47
28500,10;52
28800,10;49
29100,10;48
29400,10;47
29700,10;47
30000,10;47
30300,10;46
30600,10;48
30900,10;46
31200,10;47
31500,10;47
31800,10;42
32100,10;47
32400,10;46
32700,10;51
33000,10;48
33300,10;48
33600,10;50
33900,10;51
34200,10;48
34500,10;45
34800,10;48
35100,10;49
35400,10;48
35700,10;48
36000,10;52
36300,10;47
36600,10;45
36900,10;49
37200,10;48
37500,10;48
37800,10;49
38100,10;49
38400,10;48
38700,10;47
39000,10;49
39300,10;49
39600,10;48
39900,10;46
40200,10;47
40500,10;49
40800,10;50
41100,10;49
41400,10;51
41700,10;48
42000,10;52
42300,10;48
42600,10;50
42900,10;47
43200,10;47
43500,10;49
43800,10;47
44100,10;46
44400,10;46
44700,10;45
45000,10;45
45300,10;49
45600,10;50
45900,10;50
46200,10;50
46500,10;46
46800,10;49
47100,10;50
47400,10;49
47700,10;47
48000,10;50
48300,10;48
48600,10;48
48900,10;51
49200,10;45
49500,10;46
49800,10;50
50100,10;47
50400,10;48
50700,10;47
51000,10;45
51300,10;48
51600,10;47
51900,10;47
52200,10;46
52500,10;51
52800,10;48
53100,10;49
53400,10;47
53700,10;48
54000,10;49
54300,10;46
54600,10;49
54900,10;47
55200,10;47
55500,10;46
55800,10;47
56100,10;48
56400,10;47
56700,10;50
57000,10;46
57300,10;49
57600,10;47
57900,10;46
58200,10;50
58500,10;48
58800,10;49
59100,10;47
59400,10;45
59700,10;44
60000,10;46
60300,10;47
60600,10;48
60900,10;47
61200,10;48
61500,10;46
61800,10;46
62100,10;47
62400,10;47
62700,10;46
63000,10;43
63300,10;47
63600,10;45
63900,10;44
64200,10;43
64500,10;46
64800,10;46
65100,10;42
65400,10;48
65700,10;48
66000,10;46
66300,10;46
66600,10;47
66900,10;43
67200,10;40
67500,10;44
67800,10;44
68100,10;45
68400,10;43
68700,10;44
69000,10;44
69300,10;43
69600,10;42
69900,10;42
70200,10;42
70500,10;40
70800,10;45
71100,10;44
71400,10;45
71700,10;44
72000,10;44
72300,10;41
72600,10;44
72900,10;40
73200,10;40
73500,10;44
73800,10;44
74100,10;44
74400,10;42
74700,10;39
75000,10;41
75300,10;41
75600,10;40
75900,10;43
76200,10;40
76500,10;38
76800,10;38
77100,10;43
77400,10;37
77700,10;44
78000,10;39
78300,10;39
78600,10;37
78900,10;38
79200,10;42
79500,10;40
79800,10;42
80100,10;43
80400,10;41
80700,10;40
81000,10;44
81300,10;39
81600,10;37
81900,10;41
82200,10;44
82500,10;38
82800,10;39
83100,10;42
83400,10;39
83700,10;41
84000,10;40
84300,10;40
84600,10;35
84900,10;37
85200,10;36
85500,10;39
85800,10;35
86100,10;38
