migration_time;num_of_mig_cum
300,10;368
600,10;631
900,10;836
1200,10;1001
1500,10;1148
1800,10;1265
2100,10;1370
2400,10;1469
2700,10;1556
3000,10;1650
3300,10;1736
3600,10;1815
3900,10;1918
4200,10;2034
4500,10;2140
4800,10;2303
5100,10;2402
5400,10;2531
5700,10;2673
6000,10;2795
6300,10;2914
6600,10;3024
6900,10;3122
7200,10;3259
7500,10;3384
7800,10;3497
8100,10;3600
8400,10;3725
8700,10;3838
9000,10;3938
9300,10;4055
9600,10;4140
9900,10;4208
10200,10;4315
10500,10;4420
10800,10;4502
11100,10;4590
11400,10;4718
11700,10;4880
12000,10;5033
12300,10;5189
12600,10;5314
12900,10;5408
13200,10;5497
13500,10;5608
13800,10;5715
14100,10;5837
14400,10;5959
14700,10;6094
15000,10;6214
15300,10;6317
15600,10;6383
15900,10;6456
16200,10;6541
16500,10;6686
16800,10;6833
17100,10;6956
17400,10;7061
17700,10;7177
18000,10;7290
18300,10;7426
18600,10;7534
18900,10;7618
19200,10;7749
19500,10;7873
19800,10;7997
20100,10;8110
20400,10;8224
20700,10;8329
21000,10;8425
21300,10;8536
21600,10;8642
21900,10;8756
22200,10;8881
22500,10;9002
22800,10;9076
23100,10;9158
23400,10;9277
23700,10;9369
24000,10;9466
24300,10;9575
24600,10;9666
24900,10;9775
25200,10;9896
25500,10;10015
25800,10;10099
26100,10;10185
26400,10;10271
26700,10;10375
27000,10;10479
27300,10;10588
27600,10;10676
27900,10;10780
28200,10;10939
28500,10;11101
28800,10;11213
29100,10;11331
29400,10;11455
29700,10;11587
30000,10;11702
30300,10;11816
30600,10;11940
30900,10;12058
31200,10;12177
31500,10;12291
31800,10;12409
32100,10;12502
32400,10;12624
32700,10;12741
33000,10;12881
33300,10;13004
33600,10;13137
33900,10;13271
34200,10;13425
34500,10;13585
34800,10;13742
35100,10;13856
35400,10;13944
35700,10;14025
36000,10;14124
36300,10;14242
36600,10;14358
36900,10;14474
37200,10;14576
37500,10;14692
37800,10;14782
38100,10;14881
38400,10;14995
38700,10;15120
39000,10;15224
39300,10;15303
39600,10;15404
39900,10;15520
40200,10;15641
40500,10;15749
40800,10;15884
41100,10;15991
41400,10;16082
41700,10;16172
42000,10;16302
42300,10;16383
42600,10;16499
42900,10;16624
43200,10;16721
43500,10;16814
43800,10;16893
44100,10;16998
44400,10;17081
44700,10;17153
45000,10;17255
45300,10;17360
45600,10;17490
45900,10;17617
46200,10;17741
46500,10;17883
46800,10;18013
47100,10;18107
47400,10;18204
47700,10;18310
48000,10;18446
48300,10;18555
48600,10;18665
48900,10;18760
49200,10;18863
49500,10;18986
49800,10;19086
50100,10;19183
50400,10;19270
50700,10;19368
51000,10;19498
51300,10;19598
51600,10;19689
51900,10;19762
52200,10;19851
52500,10;19954
52800,10;20044
53100,10;20142
53400,10;20213
53700,10;20301
54000,10;20378
54300,10;20481
54600,10;20561
54900,10;20647
55200,10;20745
55500,10;20865
55800,10;20977
56100,10;21098
56400,10;21224
56700,10;21336
57000,10;21435
57300,10;21529
57600,10;21641
57900,10;21748
58200,10;21848
58500,10;21952
58800,10;22058
59100,10;22156
59400,10;22267
59700,10;22370
60000,10;22489
60300,10;22603
60600,10;22729
60900,10;22827
61200,10;22923
61500,10;23090
61800,10;23213
62100,10;23329
62400,10;23445
62700,10;23561
63000,10;23683
63300,10;23791
63600,10;23888
63900,10;24011
64200,10;24113
64500,10;24221
64800,10;24321
65100,10;24419
65400,10;24526
65700,10;24604
66000,10;24700
66300,10;24823
66600,10;24913
66900,10;24997
67200,10;25061
67500,10;25149
67800,10;25247
68100,10;25370
68400,10;25487
68700,10;25617
69000,10;25722
69300,10;25814
69600,10;25909
69900,10;25997
70200,10;26124
70500,10;26239
70800,10;26356
71100,10;26485
71400,10;26596
71700,10;26696
72000,10;26779
72300,10;26879
72600,10;26980
72900,10;27080
73200,10;27200
73500,10;27292
73800,10;27367
74100,10;27459
74400,10;27537
74700,10;27609
75000,10;27690
75300,10;27749
75600,10;27823
75900,10;27897
76200,10;27970
76500,10;28065
76800,10;28187
77100,10;28260
77400,10;28378
77700,10;28451
78000,10;28534
78300,10;28626
78600,10;28711
78900,10;28795
79200,10;28869
79500,10;28935
79800,10;29017
80100,10;29085
80400,10;29164
80700,10;29225
81000,10;29326
81300,10;29426
81600,10;29543
81900,10;29651
82200,10;29725
82500,10;29791
82800,10;29883
83100,10;29969
83400,10;30060
83700,10;30155
84000,10;30240
84300,10;30332
84600,10;30416
84900,10;30493
85200,10;30591
85500,10;30663
85800,10;30775
86100,10;30904
