time;num_of_active_hosts_new
300,10;800
600,10;434
900,10;294
1200,10;216
1500,10;170
1800,10;141
2100,10;118
2400,10;102
2700,10;87
3000,10;78
3300,10;70
3600,10;61
3900,10;61
4200,10;60
4500,10;53
4800,10;53
5100,10;51
5400,10;49
5700,10;67
6000,10;54
6300,10;54
6600,10;53
6900,10;52
7200,10;48
7500,10;127
7800,10;99
8100,10;70
8400,10;55
8700,10;55
9000,10;52
9300,10;86
9600,10;68
9900,10;51
10200,10;51
10500,10;51
10800,10;51
11100,10;49
11400,10;81
11700,10;63
12000,10;48
12300,10;76
12600,10;60
12900,10;48
13200,10;52
13500,10;46
13800,10;46
14100,10;76
14400,10;60
14700,10;53
15000,10;51
15300,10;48
15600,10;76
15900,10;57
16200,10;49
16500,10;61
16800,10;51
17100,10;80
17400,10;63
17700,10;52
18000,10;52
18300,10;52
18600,10;52
18900,10;51
19200,10;49
19500,10;81
19800,10;63
20100,10;51
20400,10;50
20700,10;50
21000,10;98
21300,10;74
21600,10;58
21900,10;53
22200,10;50
22500,10;52
22800,10;79
23100,10;61
23400,10;51
23700,10;73
24000,10;58
24300,10;56
24600,10;53
24900,10;52
25200,10;70
25500,10;57
25800,10;55
26100,10;55
26400,10;55
26700,10;51
27000,10;74
27300,10;60
27600,10;56
27900,10;49
28200,10;76
28500,10;65
28800,10;54
29100,10;53
29400,10;52
29700,10;51
30000,10;50
30300,10;76
30600,10;62
30900,10;50
31200,10;61
31500,10;54
31800,10;45
32100,10;105
32400,10;81
32700,10;63
33000,10;53
33300,10;67
33600,10;57
33900,10;55
34200,10;53
34500,10;49
34800,10;83
35100,10;61
35400,10;52
35700,10;52
36000,10;100
36300,10;72
36600,10;56
36900,10;55
37200,10;54
37500,10;62
37800,10;52
38100,10;52
38400,10;52
38700,10;52
39000,10;52
39300,10;52
39600,10;52
39900,10;51
40200,10;66
40500,10;55
40800,10;52
41100,10;63
41400,10;56
41700,10;54
42000,10;66
42300,10;55
42600,10;53
42900,10;50
43200,10;64
43500,10;53
43800,10;52
44100,10;52
44400,10;52
44700,10;52
45000,10;49
45300,10;75
45600,10;60
45900,10;53
46200,10;54
46500,10;51
46800,10;78
47100,10;59
47400,10;50
47700,10;68
48000,10;58
48300,10;56
48600,10;54
48900,10;59
49200,10;51
49500,10;63
49800,10;59
50100,10;52
50400,10;52
50700,10;51
51000,10;48
51300,10;65
51600,10;55
51900,10;54
52200,10;51
52500,10;65
52800,10;55
53100,10;53
53400,10;54
53700,10;53
54000,10;53
54300,10;53
54600,10;78
54900,10;60
55200,10;55
55500,10;53
55800,10;53
56100,10;52
56400,10;51
56700,10;69
57000,10;57
57300,10;54
57600,10;51
57900,10;50
58200,10;52
58500,10;52
58800,10;58
59100,10;53
59400,10;51
59700,10;51
60000,10;51
60300,10;51
60600,10;69
60900,10;57
61200,10;48
61500,10;67
61800,10;56
62100,10;51
62400,10;51
62700,10;55
63000,10;51
63300,10;51
63600,10;51
63900,10;47
64200,10;47
64500,10;84
64800,10;59
65100,10;50
65400,10;94
65700,10;70
66000,10;55
66300,10;49
66600,10;75
66900,10;53
67200,10;45
67500,10;62
67800,10;53
68100,10;47
68400,10;68
68700,10;55
69000,10;47
69300,10;46
69600,10;46
69900,10;43
70200,10;43
70500,10;47
70800,10;48
71100,10;47
71400,10;61
71700,10;51
72000,10;50
72300,10;44
72600,10;81
72900,10;59
73200,10;46
73500,10;91
73800,10;69
74100,10;53
74400,10;46
74700,10;46
75000,10;45
75300,10;44
75600,10;59
75900,10;51
76200,10;44
76500,10;44
76800,10;42
77100,10;108
77400,10;58
77700,10;47
78000,10;42
78300,10;72
78600,10;52
78900,10;43
79200,10;66
79500,10;50
79800,10;44
80100,10;44
80400,10;44
80700,10;42
81000,10;63
81300,10;49
81600,10;40
81900,10;76
82200,10;62
82500,10;46
82800,10;39
83100,10;86
83400,10;62
83700,10;48
84000,10;42
84300,10;41
84600,10;39
84900,10;39
85200,10;61
85500,10;52
85800,10;42
86100,10;55
