time;num_of_active_hosts
300,10;776
600,10;321
900,10;220
1200,10;167
1500,10;131
1800,10;108
2100,10;98
2400,10;86
2700,10;79
3000,10;79
3300,10;75
3600,10;65
3900,10;66
4200,10;66
4500,10;66
4800,10;66
5100,10;66
5400,10;66
5700,10;66
6000,10;66
6300,10;66
6600,10;65
6900,10;64
7200,10;64
7500,10;64
7800,10;64
8100,10;64
8400,10;64
8700,10;64
9000,10;63
9300,10;63
9600,10;63
9900,10;63
10200,10;63
10500,10;62
10800,10;62
11100,10;57
11400,10;56
11700,10;56
12000,10;56
12300,10;56
12600,10;56
12900,10;56
13200,10;56
13500,10;56
13800,10;56
14100,10;56
14400,10;56
14700,10;56
15000,10;56
15300,10;56
15600,10;56
15900,10;53
16200,10;53
16500,10;53
16800,10;53
17100,10;53
17400,10;53
17700,10;52
18000,10;52
18300,10;52
18600,10;52
18900,10;52
19200,10;52
19500,10;52
19800,10;50
20100,10;50
20400,10;50
20700,10;48
21000,10;48
21300,10;48
21600,10;48
21900,10;47
22200,10;46
22500,10;46
22800,10;45
23100,10;44
23400,10;44
23700,10;68
24000,10;68
24300,10;68
24600,10;68
24900,10;68
25200,10;68
25500,10;68
25800,10;67
26100,10;61
26400,10;61
26700,10;61
27000,10;61
27300,10;61
27600,10;61
27900,10;61
28200,10;61
28500,10;59
28800,10;59
29100,10;59
29400,10;59
29700,10;59
30000,10;59
30300,10;59
30600,10;59
30900,10;59
31200,10;59
31500,10;58
31800,10;58
32100,10;57
32400,10;57
32700,10;57
33000,10;56
33300,10;56
33600,10;56
33900,10;55
34200,10;54
34500,10;54
34800,10;53
35100,10;53
35400,10;52
35700,10;52
36000,10;51
36300,10;51
36600,10;51
36900,10;51
37200,10;51
37500,10;51
37800,10;51
38100,10;51
38400,10;51
38700,10;51
39000,10;51
39300,10;51
39600,10;51
39900,10;51
40200,10;51
40500,10;50
40800,10;50
41100,10;50
41400,10;50
41700,10;50
42000,10;50
42300,10;50
42600,10;50
42900,10;50
43200,10;48
43500,10;47
43800,10;47
44100,10;47
44400,10;47
44700,10;47
45000,10;47
45300,10;47
45600,10;47
45900,10;47
46200,10;47
46500,10;46
46800,10;46
47100,10;46
47400,10;44
47700,10;44
48000,10;44
48300,10;44
48600,10;44
48900,10;63
49200,10;63
49500,10;63
49800,10;63
50100,10;63
50400,10;63
50700,10;63
51000,10;55
51300,10;55
51600,10;55
51900,10;55
52200,10;55
52500,10;55
52800,10;55
53100,10;55
53400,10;55
53700,10;55
54000,10;53
54300,10;53
54600,10;53
54900,10;53
55200,10;53
55500,10;53
55800,10;53
56100,10;53
56400,10;52
56700,10;52
57000,10;52
57300,10;52
57600,10;52
57900,10;52
58200,10;51
58500,10;49
58800,10;49
59100,10;49
59400,10;48
59700,10;48
60000,10;48
60300,10;48
60600,10;47
60900,10;47
61200,10;47
61500,10;45
61800,10;45
62100,10;45
62400,10;45
62700,10;45
63000,10;44
63300,10;44
63600,10;44
63900,10;44
64200,10;44
64500,10;44
64800,10;44
65100,10;44
65400,10;44
65700,10;44
66000,10;44
66300,10;44
66600,10;44
66900,10;44
67200,10;44
67500,10;43
67800,10;43
68100,10;43
68400,10;43
68700,10;43
69000,10;43
69300,10;43
69600,10;43
69900,10;43
70200,10;43
70500,10;43
70800,10;43
71100,10;43
71400,10;43
71700,10;43
72000,10;43
72300,10;43
72600,10;43
72900,10;42
73200,10;42
73500,10;42
73800,10;42
74100,10;42
74400,10;42
74700,10;41
75000,10;41
75300,10;41
75600,10;41
75900,10;41
76200,10;41
76500,10;40
76800,10;40
77100,10;40
77400,10;39
77700,10;39
78000,10;39
78300,10;38
78600,10;38
78900,10;38
79200,10;38
79500,10;38
79800,10;38
80100,10;38
80400,10;37
80700,10;37
81000,10;37
81300,10;37
81600,10;37
81900,10;37
82200,10;37
82500,10;37
82800,10;37
83100,10;36
83400,10;36
83700,10;36
84000,10;36
84300,10;36
84600,10;36
84900,10;36
85200,10;36
85500,10;36
85800,10;36
86100,10;35
