migration_time;num_of_mig
300,10;591
600,10;303
900,10;220
1200,10;182
1500,10;150
1800,10;129
2100,10;115
2400,10;103
2700,10;99
3000,10;89
3300,10;79
3600,10;77
3900,10;86
4200,10;80
4500,10;80
4800,10;73
5100,10;76
5400,10;93
5700,10;92
6000,10;124
6300,10;89
6600,10;89
6900,10;97
7200,10;104
7500,10;77
7800,10;95
8100,10;65
8400,10;67
8700,10;92
9000,10;99
9300,10;117
9600,10;75
9900,10;75
10200,10;65
10500,10;88
10800,10;55
11100,10;86
11400,10;102
11700,10;84
12000,10;77
12300,10;64
12600,10;71
12900,10;70
13200,10;81
13500,10;78
13800,10;97
14100,10;83
14400,10;115
14700,10;74
15000,10;83
15300,10;74
15600,10;64
15900,10;61
16200,10;86
16500,10;84
16800,10;85
17100,10;84
17400,10;95
17700,10;70
18000,10;59
18300,10;66
18600,10;96
18900,10;57
19200,10;71
19500,10;101
19800,10;67
20100,10;54
20400,10;89
20700,10;86
21000,10;68
21300,10;65
21600,10;100
21900,10;63
22200,10;84
22500,10;90
22800,10;94
23100,10;58
23400,10;95
23700,10;73
24000,10;96
24300,10;72
24600,10;79
24900,10;86
25200,10;92
25500,10;94
25800,10;98
26100,10;100
26400,10;69
26700,10;73
27000,10;65
27300,10;103
27600,10;86
27900,10;84
28200,10;112
28500,10;64
28800,10;79
29100,10;76
29400,10;60
29700,10;63
30000,10;81
30300,10;83
30600,10;61
30900,10;78
31200,10;85
31500,10;72
31800,10;97
32100,10;74
32400,10;123
32700,10;70
33000,10;73
33300,10;87
33600,10;96
33900,10;101
34200,10;84
34500,10;99
34800,10;72
35100,10;79
35400,10;71
35700,10;93
36000,10;56
36300,10;73
36600,10;117
36900,10;68
37200,10;91
37500,10;103
37800,10;82
38100,10;79
38400,10;60
38700,10;64
39000,10;74
39300,10;76
39600,10;76
39900,10;94
40200,10;100
40500,10;69
40800,10;73
41100,10;96
41400,10;72
41700,10;78
42000,10;73
42300,10;74
42600,10;63
42900,10;99
43200,10;106
43500,10;76
43800,10;81
44100,10;76
44400,10;70
44700,10;74
45000,10;77
45300,10;62
45600,10;56
45900,10;70
46200,10;72
46500,10;87
46800,10;69
47100,10;98
47400,10;60
47700,10;77
48000,10;70
48300,10;76
48600,10;89
48900,10;74
49200,10;83
49500,10;82
49800,10;65
50100,10;76
50400,10;68
50700,10;58
51000,10;84
51300,10;60
51600,10;77
51900,10;82
52200,10;81
52500,10;55
52800,10;77
53100,10;79
53400,10;79
53700,10;111
54000,10;89
54300,10;71
54600,10;81
54900,10;92
55200,10;75
55500,10;97
55800,10;101
56100,10;91
56400,10;77
56700,10;58
57000,10;95
57300,10;66
57600,10;59
57900,10;80
58200,10;132
58500,10;73
58800,10;63
59100,10;74
59400,10;73
59700,10;72
60000,10;82
60300,10;84
60600,10;73
60900,10;71
61200,10;102
61500,10;102
61800,10;89
62100,10;96
62400,10;93
62700,10;76
63000,10;93
63300,10;62
63600,10;80
63900,10;61
64200,10;83
64500,10;85
64800,10;82
65100,10;95
65400,10;67
65700,10;65
66000,10;85
66300,10;73
66600,10;53
66900,10;47
67200,10;83
67500,10;86
67800,10;78
68100,10;77
68400,10;79
68700,10;104
69000,10;71
69300,10;65
69600,10;67
69900,10;72
70200,10;63
70500,10;93
70800,10;63
71100,10;72
71400,10;66
71700,10;81
72000,10;57
72300,10;82
72600,10;67
72900,10;49
73200,10;103
73500,10;70
73800,10;82
74100,10;63
74400,10;58
74700,10;68
75000,10;74
75300,10;58
75600,10;93
75900,10;68
76200,10;57
76500,10;50
76800,10;116
77100,10;76
77400,10;78
77700,10;56
78000,10;80
78300,10;47
78600,10;72
78900,10;79
79200,10;56
79500,10;87
79800,10;67
80100,10;67
80400,10;57
80700,10;72
81000,10;64
81300,10;64
81600,10;78
81900,10;80
82200,10;53
82500,10;53
82800,10;70
83100,10;57
83400,10;63
83700,10;47
84000,10;41
84300,10;47
84600,10;55
84900,10;64
85200,10;77
85500,10;48
85800,10;97
86100,10;72
