migration_time;num_of_mig_cum
300,10;832
600,10;1324
900,10;1552
1200,10;1805
1500,10;2138
1800,10;2432
2100,10;2650
2400,10;2885
2700,10;3163
3000,10;3394
3300,10;3562
3600,10;3770
3900,10;4073
4200,10;4639
4500,10;5096
4800,10;5490
5100,10;5730
5400,10;5934
5700,10;6097
6000,10;6292
6300,10;6627
6600,10;6877
6900,10;7057
7200,10;7325
7500,10;7548
7800,10;7684
8100,10;7821
8400,10;7961
8700,10;8103
9000,10;8287
9300,10;8672
9600,10;9011
9900,10;9220
10200,10;9420
10500,10;9531
10800,10;9651
11100,10;9806
11400,10;10071
11700,10;10257
12000,10;10412
12300,10;10554
12600,10;10687
12900,10;10872
13200,10;11059
13500,10;11241
13800,10;11374
14100,10;11526
14400,10;11821
14700,10;12067
15000,10;12262
15300,10;12445
15600,10;12719
15900,10;12978
16200,10;13209
16500,10;13354
16800,10;13494
17100,10;13646
17400,10;13774
17700,10;13906
18000,10;14039
18300,10;14187
18600,10;14363
18900,10;14517
19200,10;14672
19500,10;14922
19800,10;15181
20100,10;15369
20400,10;15497
20700,10;15664
21000,10;15845
21300,10;15938
21600,10;16085
21900,10;16190
22200,10;16325
22500,10;16472
22800,10;16799
23100,10;17061
23400,10;17281
23700,10;17466
24000,10;17636
24300,10;17793
24600,10;17951
24900,10;18135
25200,10;18308
25500,10;18503
25800,10;18657
26100,10;18791
26400,10;18913
26700,10;19068
27000,10;19198
27300,10;19333
27600,10;19461
27900,10;19635
28200,10;19821
28500,10;20175
28800,10;20439
29100,10;20644
29400,10;20825
29700,10;20968
30000,10;21091
30300,10;21249
30600,10;21381
30900,10;21534
31200,10;21658
31500,10;21809
31800,10;21986
32100,10;22271
32400,10;22550
32700,10;22729
33000,10;22934
33300,10;23118
33600,10;23270
33900,10;23411
34200,10;23568
34500,10;23714
34800,10;23962
35100,10;24208
35400,10;24384
35700,10;24565
36000,10;24676
36300,10;24805
36600,10;24937
36900,10;25098
37200,10;25245
37500,10;25374
37800,10;25503
38100,10;25620
38400,10;25756
38700,10;25915
39000,10;26070
39300,10;26235
39600,10;26438
39900,10;26600
40200,10;26782
40500,10;26954
40800,10;27094
41100,10;27273
41400,10;27437
41700,10;27603
42000,10;27735
42300,10;27882
42600,10;28004
42900,10;28134
43200,10;28284
43500,10;28423
43800,10;28545
44100,10;28693
44400,10;28817
44700,10;28967
45000,10;29096
45300,10;29249
45600,10;29543
45900,10;29784
46200,10;30004
46500,10;30194
46800,10;30335
47100,10;30491
47400,10;30631
47700,10;30802
48000,10;30963
48300,10;31103
48600,10;31226
48900,10;31367
49200,10;31481
49500,10;31664
49800,10;32002
50100,10;32297
50400,10;32504
50700,10;32642
51000,10;32763
51300,10;32877
51600,10;32984
51900,10;33107
52200,10;33215
52500,10;33356
52800,10;33531
53100,10;33764
53400,10;33938
53700,10;34094
54000,10;34250
54300,10;34392
54600,10;34532
54900,10;34667
55200,10;34783
55500,10;34931
55800,10;35092
56100,10;35212
56400,10;35356
56700,10;35488
57000,10;35625
57300,10;35748
57600,10;35884
57900,10;35994
58200,10;36125
58500,10;36314
58800,10;36469
59100,10;36610
59400,10;36704
59700,10;36838
60000,10;37000
60300,10;37190
60600,10;37512
60900,10;37774
61200,10;37973
61500,10;38121
61800,10;38272
62100,10;38403
62400,10;38528
62700,10;38642
63000,10;38767
63300,10;38869
63600,10;38981
63900,10;39083
64200,10;39231
64500,10;39562
64800,10;39823
65100,10;40038
65400,10;40187
65700,10;40306
66000,10;40442
66300,10;40615
66600,10;40757
66900,10;40901
67200,10;41048
67500,10;41205
67800,10;41547
68100,10;41812
68400,10;42039
68700,10;42219
69000,10;42372
69300,10;42501
69600,10;42606
69900,10;42732
70200,10;42817
70500,10;42967
70800,10;43221
71100,10;43464
71400,10;43674
71700,10;43820
72000,10;43936
72300,10;44082
72600,10;44304
72900,10;44524
73200,10;44736
73500,10;44879
73800,10;45054
74100,10;45172
74400,10;45297
74700,10;45452
75000,10;45611
75300,10;45760
75600,10;45923
75900,10;46141
76200,10;46367
76500,10;46518
76800,10;46710
77100,10;46978
77400,10;47206
77700,10;47371
78000,10;47496
78300,10;47606
78600,10;47726
78900,10;47909
79200,10;48025
79500,10;48137
79800,10;48251
80100,10;48384
80400,10;48520
80700,10;48681
81000,10;48969
81300,10;49234
81600,10;49459
81900,10;49653
82200,10;49790
82500,10;49894
82800,10;50002
83100,10;50102
83400,10;50255
83700,10;50530
84000,10;50783
84300,10;50993
84600,10;51169
84900,10;51310
85200,10;51461
85500,10;51559
85800,10;51727
86100,10;51887
