migration_time;num_of_mig
300,10;882
600,10;331
900,10;348
1200,10;262
1500,10;353
1800,10;287
2100,10;255
2400,10;165
2700,10;274
3000,10;214
3300,10;286
3600,10;192
3900,10;300
4200,10;231
4500,10;180
4800,10;173
5100,10;188
5400,10;192
5700,10;196
6000,10;175
6300,10;165
6600,10;237
6900,10;166
7200,10;276
7500,10;251
7800,10;195
8100,10;112
8400,10;184
8700,10;114
9000,10;226
9300,10;152
9600,10;180
9900,10;124
10200,10;213
10500,10;148
10800,10;149
11100,10;213
11400,10;177
11700,10;207
12000,10;220
12300,10;136
12600,10;165
12900,10;225
13200,10;146
13500,10;166
13800,10;168
14100,10;168
14400,10;199
14700,10;186
15000,10;183
15300,10;235
15600,10;120
15900,10;180
16200,10;127
16500,10;137
16800,10;197
17100,10;181
17400,10;193
17700,10;187
18000,10;181
18300,10;162
18600,10;173
18900,10;148
19200,10;185
19500,10;199
19800,10;127
20100,10;185
20400,10;133
20700,10;183
21000,10;139
21300,10;168
21600,10;179
21900,10;138
22200,10;165
22500,10;178
22800,10;150
23100,10;163
23400,10;175
23700,10;154
24000,10;160
24300,10;154
24600,10;112
24900,10;164
25200,10;142
25500,10;134
25800,10;124
26100,10;219
26400,10;142
26700,10;111
27000,10;118
27300,10;139
27600,10;102
27900,10;136
28200,10;183
28500,10;116
28800,10;159
29100,10;161
29400,10;165
29700,10;119
30000,10;137
30300,10;123
30600,10;106
30900,10;120
31200,10;161
31500,10;130
31800,10;181
32100,10;191
32400,10;193
32700,10;185
33000,10;162
33300,10;163
33600,10;142
33900,10;113
34200,10;155
34500,10;181
34800,10;130
35100,10;153
35400,10;128
35700,10;173
36000,10;106
36300,10;128
36600,10;132
36900,10;125
37200,10;149
37500,10;143
37800,10;121
38100,10;158
38400,10;132
38700,10;144
39000,10;163
39300,10;146
39600,10;117
39900,10;157
40200,10;157
40500,10;104
40800,10;155
41100,10;147
41400,10;125
41700,10;150
42000,10;112
42300,10;182
42600,10;174
42900,10;164
43200,10;158
43500,10;114
43800,10;159
44100,10;159
44400,10;153
44700,10;106
45000,10;163
45300,10;152
45600,10;94
45900,10;138
46200,10;124
46500,10;189
46800,10;155
47100,10;156
47400,10;129
47700,10;144
48000,10;137
48300,10;152
48600,10;171
48900,10;129
49200,10;173
49500,10;184
49800,10;85
50100,10;101
50400,10;151
50700,10;86
51000,10;144
51300,10;115
51600,10;127
51900,10;110
52200,10;141
52500,10;84
52800,10;159
53100,10;176
53400,10;144
53700,10;149
54000,10;151
54300,10;116
54600,10;149
54900,10;138
55200,10;166
55500,10;148
55800,10;154
56100,10;168
56400,10;139
56700,10;135
57000,10;166
57300,10;144
57600,10;127
57900,10;134
58200,10;168
58500,10;120
58800,10;179
59100,10;145
59400,10;139
59700,10;143
60000,10;160
60300,10;144
60600,10;144
60900,10;132
61200,10;128
61500,10;115
61800,10;132
62100,10;147
62400,10;123
62700,10;135
63000,10;117
63300,10;87
63600,10;125
63900,10;144
64200,10;169
64500,10;141
64800,10;108
65100,10;146
65400,10;119
65700,10;130
66000,10;126
66300,10;166
66600,10;124
66900,10;145
67200,10;143
67500,10;138
67800,10;101
68100,10;134
68400,10;132
68700,10;196
69000,10;145
69300,10;127
69600,10;99
69900,10;109
70200,10;166
70500,10;138
70800,10;116
71100,10;193
71400,10;155
71700,10;175
72000,10;115
72300,10;187
72600,10;141
72900,10;127
73200,10;143
73500,10;134
73800,10;137
74100,10;131
74400,10;173
74700,10;147
75000,10;144
75300,10;135
75600,10;161
75900,10;104
76200,10;132
76500,10;114
76800,10;214
77100,10;149
77400,10;223
77700,10;126
78000,10;116
78300,10;86
78600,10;168
78900,10;150
79200,10;108
79500,10;109
79800,10;112
80100,10;146
80400,10;166
80700,10;136
81000,10;134
81300,10;134
81600,10;161
81900,10;157
82200,10;109
82500,10;102
82800,10;145
83100,10;63
83400,10;163
83700,10;105
84000,10;150
84300,10;118
84600,10;157
84900,10;147
85200,10;173
85500,10;129
85800,10;146
86100,10;158
