time;num_of_active_hosts
300,10;412
600,10;47
900,10;48
1200,10;50
1500,10;49
1800,10;51
2100,10;50
2400,10;50
2700,10;47
3000,10;49
3300,10;45
3600,10;49
3900,10;45
4200,10;50
4500,10;51
4800,10;48
5100,10;47
5400,10;44
5700,10;45
6000,10;46
6300,10;47
6600,10;46
6900,10;45
7200,10;44
7500,10;48
7800,10;48
8100,10;50
8400,10;49
8700,10;48
9000,10;45
9300,10;48
9600,10;50
9900,10;46
10200,10;45
10500,10;46
10800,10;45
11100,10;40
11400,10;43
11700,10;46
12000,10;44
12300,10;45
12600,10;44
12900,10;43
13200,10;43
13500,10;43
13800,10;42
14100,10;44
14400,10;45
14700,10;47
15000,10;44
15300,10;44
15600,10;48
15900,10;41
16200,10;42
16500,10;44
16800,10;43
17100,10;46
17400,10;48
17700,10;47
18000,10;47
18300,10;47
18600,10;45
18900,10;47
19200,10;45
19500,10;48
19800,10;50
20100,10;46
20400,10;47
20700,10;46
21000,10;48
21300,10;48
21600,10;47
21900,10;48
22200,10;43
22500,10;47
22800,10;50
23100,10;50
23400,10;45
23700,10;49
24000,10;48
24300,10;49
24600,10;50
24900,10;47
25200,10;48
25500,10;48
25800,10;48
26100,10;45
26400,10;49
26700,10;46
27000,10;47
27300,10;48
27600,10;49
27900,10;46
28200,10;48
28500,10;53
28800,10;49
29100,10;49
29400,10;47
29700,10;46
30000,10;47
30300,10;47
30600,10;48
30900,10;47
31200,10;47
31500,10;47
31800,10;43
32100,10;48
32400,10;47
32700,10;51
33000,10;48
33300,10;49
33600,10;48
33900,10;50
34200,10;47
34500,10;45
34800,10;48
35100,10;47
35400,10;47
35700,10;48
36000,10;52
36300,10;45
36600,10;44
36900,10;48
37200,10;47
37500,10;48
37800,10;47
38100,10;47
38400,10;48
38700,10;46
39000,10;49
39300,10;47
39600,10;49
39900,10;45
40200,10;47
40500,10;50
40800,10;48
41100,10;49
41400,10;50
41700,10;46
42000,10;50
42300,10;48
42600,10;50
42900,10;48
43200,10;48
43500,10;49
43800,10;47
44100,10;48
44400,10;48
44700,10;48
45000,10;47
45300,10;49
45600,10;49
45900,10;49
46200,10;51
46500,10;44
46800,10;51
47100,10;49
47400,10;50
47700,10;50
48000,10;50
48300,10;50
48600,10;51
48900,10;52
49200,10;46
49500,10;48
49800,10;52
50100,10;49
50400,10;48
50700,10;49
51000,10;46
51300,10;49
51600,10;49
51900,10;49
52200,10;49
52500,10;51
52800,10;46
53100,10;49
53400,10;49
53700,10;47
54000,10;50
54300,10;48
54600,10;48
54900,10;50
55200,10;48
55500,10;49
55800,10;49
56100,10;49
56400,10;49
56700,10;51
57000,10;48
57300,10;49
57600,10;48
57900,10;48
58200,10;50
58500,10;50
58800,10;49
59100,10;48
59400,10;46
59700,10;45
60000,10;47
60300,10;47
60600,10;50
60900,10;49
61200,10;47
61500,10;46
61800,10;46
62100,10;47
62400,10;47
62700,10;47
63000,10;46
63300,10;48
63600,10;43
63900,10;44
64200,10;45
64500,10;47
64800,10;46
65100,10;45
65400,10;47
65700,10;45
66000,10;45
66300,10;47
66600,10;48
66900,10;42
67200,10;42
67500,10;43
67800,10;43
68100,10;42
68400,10;43
68700,10;43
69000,10;45
69300,10;42
69600,10;43
69900,10;41
70200,10;41
70500,10;42
70800,10;43
71100,10;42
71400,10;45
71700,10;42
72000,10;44
72300,10;40
72600,10;43
72900,10;41
73200,10;39
73500,10;42
73800,10;44
74100,10;42
74400,10;41
74700,10;40
75000,10;40
75300,10;41
75600,10;41
75900,10;43
76200,10;38
76500,10;38
76800,10;37
77100,10;42
77400,10;36
77700,10;42
78000,10;37
78300,10;39
78600,10;35
78900,10;38
79200,10;41
79500,10;39
79800,10;39
80100,10;40
80400,10;39
80700,10;40
81000,10;42
81300,10;37
81600,10;36
81900,10;39
82200,10;42
82500,10;38
82800,10;37
83100,10;39
83400,10;37
83700,10;40
84000,10;37
84300,10;38
84600,10;35
84900,10;37
85200,10;37
85500,10;40
85800,10;36
86100,10;39
