migration_time;num_of_mig
300,10;838
600,10;377
900,10;389
1200,10;316
1500,10;366
1800,10;228
2100,10;263
2400,10;215
2700,10;328
3000,10;253
3300,10;261
3600,10;198
3900,10;256
4200,10;257
4500,10;171
4800,10;147
5100,10;171
5400,10;167
5700,10;227
6000,10;215
6300,10;169
6600,10;169
6900,10;165
7200,10;226
7500,10;164
7800,10;224
8100,10;117
8400,10;183
8700,10;130
9000,10;190
9300,10;174
9600,10;117
9900,10;143
10200,10;164
10500,10;141
10800,10;142
11100,10;187
11400,10;175
11700,10;100
12000,10;179
12300,10;130
12600,10;180
12900,10;185
13200,10;126
13500,10;152
13800,10;169
14100,10;149
14400,10;171
14700,10;159
15000,10;151
15300,10;207
15600,10;135
15900,10;131
16200,10;146
16500,10;112
16800,10;146
17100,10;202
17400,10;167
17700,10;154
18000,10;154
18300,10;120
18600,10;152
18900,10;137
19200,10;178
19500,10;188
19800,10;134
20100,10;166
20400,10;122
20700,10;198
21000,10;138
21300,10;100
21600,10;160
21900,10;109
22200,10;157
22500,10;161
22800,10;116
23100,10;85
23400,10;189
23700,10;106
24000,10;134
24300,10;124
24600,10;138
24900,10;134
25200,10;125
25500,10;133
25800,10;141
26100,10;160
26400,10;119
26700,10;145
27000,10;149
27300,10;152
27600,10;124
27900,10;126
28200,10;187
28500,10;159
28800,10;129
29100,10;138
29400,10;111
29700,10;114
30000,10;129
30300,10;141
30600,10;140
30900,10;113
31200,10;96
31500,10;105
31800,10;177
32100,10;115
32400,10;200
32700,10;119
33000,10;127
33300,10;135
33600,10;104
33900,10;110
34200,10;87
34500,10;143
34800,10;102
35100,10;152
35400,10;121
35700,10;177
36000,10;104
36300,10;97
36600,10;105
36900,10;128
37200,10;144
37500,10;120
37800,10;121
38100,10;110
38400,10;165
38700,10;149
39000,10;150
39300,10;117
39600,10;101
39900,10;114
40200,10;155
40500,10;123
40800,10;129
41100,10;159
41400,10;103
41700,10;152
42000,10;116
42300,10;171
42600,10;112
42900,10;132
43200,10;148
43500,10;147
43800,10;111
44100,10;115
44400,10;92
44700,10;110
45000,10;122
45300,10;115
45600,10;111
45900,10;111
46200,10;120
46500,10;187
46800,10;71
47100,10;162
47400,10;121
47700,10;155
48000,10;133
48300,10;124
48600,10;164
48900,10;110
49200,10;159
49500,10;152
49800,10;135
50100,10;136
50400,10;130
50700,10;96
51000,10;174
51300,10;102
51600,10;150
51900,10;143
52200,10;124
52500,10;116
52800,10;182
53100,10;134
53400,10;108
53700,10;147
54000,10;144
54300,10;147
54600,10;146
54900,10;136
55200,10;138
55500,10;138
55800,10;84
56100,10;116
56400,10;149
56700,10;83
57000,10;116
57300,10;133
57600,10;99
57900,10;134
58200,10;125
58500,10;135
58800,10;133
59100,10;110
59400,10;163
59700,10;123
60000,10;126
60300,10;123
60600,10;90
60900,10;123
61200,10;145
61500,10;117
61800,10;134
62100,10;176
62400,10;148
62700,10;127
63000,10;131
63300,10;93
63600,10;116
63900,10;95
64200,10;116
64500,10;114
64800,10;132
65100,10;129
65400,10;142
65700,10;123
66000,10;110
66300,10;174
66600,10;102
66900,10;97
67200,10;164
67500,10;155
67800,10;122
68100,10;87
68400,10;178
68700,10;177
69000,10;161
69300,10;98
69600,10;121
69900,10;147
70200,10;111
70500,10;123
70800,10;91
71100,10;174
71400,10;156
71700,10;170
72000,10;104
72300,10;159
72600,10;71
72900,10;102
73200,10;179
73500,10;148
73800,10;158
74100,10;104
74400,10;127
74700,10;137
75000,10;152
75300,10;99
75600,10;134
75900,10;61
76200,10;129
76500,10;92
76800,10;234
77100,10;136
77400,10;197
77700,10;76
78000,10;139
78300,10;86
78600,10;180
78900,10;174
79200,10;145
79500,10;118
79800,10;117
80100,10;127
80400,10;99
80700,10;139
81000,10;70
81300,10;105
81600,10;140
81900,10;150
82200,10;114
82500,10;125
82800,10;140
83100,10;137
83400,10;179
83700,10;133
84000,10;82
84300,10;72
84600,10;149
84900,10;133
85200,10;163
85500,10;92
85800,10;176
86100,10;105
