migration_time;num_of_mig_cum
300,10;838
600,10;1215
900,10;1604
1200,10;1920
1500,10;2286
1800,10;2514
2100,10;2777
2400,10;2992
2700,10;3320
3000,10;3573
3300,10;3834
3600,10;4032
3900,10;4288
4200,10;4545
4500,10;4716
4800,10;4863
5100,10;5034
5400,10;5201
5700,10;5428
6000,10;5643
6300,10;5812
6600,10;5981
6900,10;6146
7200,10;6372
7500,10;6536
7800,10;6760
8100,10;6877
8400,10;7060
8700,10;7190
9000,10;7380
9300,10;7554
9600,10;7671
9900,10;7814
10200,10;7978
10500,10;8119
10800,10;8261
11100,10;8448
11400,10;8623
11700,10;8723
12000,10;8902
12300,10;9032
12600,10;9212
12900,10;9397
13200,10;9523
13500,10;9675
13800,10;9844
14100,10;9993
14400,10;10164
14700,10;10323
15000,10;10474
15300,10;10681
15600,10;10816
15900,10;10947
16200,10;11093
16500,10;11205
16800,10;11351
17100,10;11553
17400,10;11720
17700,10;11874
18000,10;12028
18300,10;12148
18600,10;12300
18900,10;12437
19200,10;12615
19500,10;12803
19800,10;12937
20100,10;13103
20400,10;13225
20700,10;13423
21000,10;13561
21300,10;13661
21600,10;13821
21900,10;13930
22200,10;14087
22500,10;14248
22800,10;14364
23100,10;14449
23400,10;14638
23700,10;14744
24000,10;14878
24300,10;15002
24600,10;15140
24900,10;15274
25200,10;15399
25500,10;15532
25800,10;15673
26100,10;15833
26400,10;15952
26700,10;16097
27000,10;16246
27300,10;16398
27600,10;16522
27900,10;16648
28200,10;16835
28500,10;16994
28800,10;17123
29100,10;17261
29400,10;17372
29700,10;17486
30000,10;17615
30300,10;17756
30600,10;17896
30900,10;18009
31200,10;18105
31500,10;18210
31800,10;18387
32100,10;18502
32400,10;18702
32700,10;18821
33000,10;18948
33300,10;19083
33600,10;19187
33900,10;19297
34200,10;19384
34500,10;19527
34800,10;19629
35100,10;19781
35400,10;19902
35700,10;20079
36000,10;20183
36300,10;20280
36600,10;20385
36900,10;20513
37200,10;20657
37500,10;20777
37800,10;20898
38100,10;21008
38400,10;21173
38700,10;21322
39000,10;21472
39300,10;21589
39600,10;21690
39900,10;21804
40200,10;21959
40500,10;22082
40800,10;22211
41100,10;22370
41400,10;22473
41700,10;22625
42000,10;22741
42300,10;22912
42600,10;23024
42900,10;23156
43200,10;23304
43500,10;23451
43800,10;23562
44100,10;23677
44400,10;23769
44700,10;23879
45000,10;24001
45300,10;24116
45600,10;24227
45900,10;24338
46200,10;24458
46500,10;24645
46800,10;24716
47100,10;24878
47400,10;24999
47700,10;25154
48000,10;25287
48300,10;25411
48600,10;25575
48900,10;25685
49200,10;25844
49500,10;25996
49800,10;26131
50100,10;26267
50400,10;26397
50700,10;26493
51000,10;26667
51300,10;26769
51600,10;26919
51900,10;27062
52200,10;27186
52500,10;27302
52800,10;27484
53100,10;27618
53400,10;27726
53700,10;27873
54000,10;28017
54300,10;28164
54600,10;28310
54900,10;28446
55200,10;28584
55500,10;28722
55800,10;28806
56100,10;28922
56400,10;29071
56700,10;29154
57000,10;29270
57300,10;29403
57600,10;29502
57900,10;29636
58200,10;29761
58500,10;29896
58800,10;30029
59100,10;30139
59400,10;30302
59700,10;30425
60000,10;30551
60300,10;30674
60600,10;30764
60900,10;30887
61200,10;31032
61500,10;31149
61800,10;31283
62100,10;31459
62400,10;31607
62700,10;31734
63000,10;31865
63300,10;31958
63600,10;32074
63900,10;32169
64200,10;32285
64500,10;32399
64800,10;32531
65100,10;32660
65400,10;32802
65700,10;32925
66000,10;33035
66300,10;33209
66600,10;33311
66900,10;33408
67200,10;33572
67500,10;33727
67800,10;33849
68100,10;33936
68400,10;34114
68700,10;34291
69000,10;34452
69300,10;34550
69600,10;34671
69900,10;34818
70200,10;34929
70500,10;35052
70800,10;35143
71100,10;35317
71400,10;35473
71700,10;35643
72000,10;35747
72300,10;35906
72600,10;35977
72900,10;36079
73200,10;36258
73500,10;36406
73800,10;36564
74100,10;36668
74400,10;36795
74700,10;36932
75000,10;37084
75300,10;37183
75600,10;37317
75900,10;37378
76200,10;37507
76500,10;37599
76800,10;37833
77100,10;37969
77400,10;38166
77700,10;38242
78000,10;38381
78300,10;38467
78600,10;38647
78900,10;38821
79200,10;38966
79500,10;39084
79800,10;39201
80100,10;39328
80400,10;39427
80700,10;39566
81000,10;39636
81300,10;39741
81600,10;39881
81900,10;40031
82200,10;40145
82500,10;40270
82800,10;40410
83100,10;40547
83400,10;40726
83700,10;40859
84000,10;40941
84300,10;41013
84600,10;41162
84900,10;41295
85200,10;41458
85500,10;41550
85800,10;41726
86100,10;41831
