migration_time;num_of_mig
300,10;368
600,10;263
900,10;205
1200,10;165
1500,10;147
1800,10;117
2100,10;105
2400,10;99
2700,10;95
3000,10;82
3300,10;90
3600,10;96
3900,10;128
4200,10;121
4500,10;220
4800,10;174
5100,10;132
5400,10;161
5700,10;191
6000,10;234
6300,10;174
6600,10;168
6900,10;201
7200,10;232
7500,10;182
7800,10;191
8100,10;135
8400,10;141
8700,10;187
9000,10;205
9300,10;215
9600,10;201
9900,10;148
10200,10;183
10500,10;197
10800,10;91
11100,10;111
11400,10;195
11700,10;133
12000,10;165
12300,10;166
12600,10;158
12900,10;194
13200,10;165
13500,10;165
13800,10;167
14100,10;169
14400,10;229
14700,10;144
15000,10;180
15300,10;209
15600,10;112
15900,10;144
16200,10;197
16500,10;153
16800,10;186
17100,10;186
17400,10;127
17700,10;137
18000,10;147
18300,10;145
18600,10;147
18900,10;160
19200,10;186
19500,10;221
19800,10;146
20100,10;175
20400,10;142
20700,10;186
21000,10;174
21300,10;158
21600,10;181
21900,10;121
22200,10;193
22500,10;197
22800,10;180
23100,10;128
23400,10;196
23700,10;89
24000,10;147
24300,10;172
24600,10;169
24900,10;131
25200,10;184
25500,10;166
25800,10;157
26100,10;207
26400,10;145
26700,10;191
27000,10;152
27300,10;153
27600,10;118
27900,10;179
28200,10;186
28500,10;150
28800,10;114
29100,10;130
29400,10;138
29700,10;133
30000,10;169
30300,10;151
30600,10;132
30900,10;103
31200,10;135
31500,10;126
31800,10;191
32100,10;143
32400,10;165
32700,10;119
33000,10;150
33300,10;187
33600,10;165
33900,10;140
34200,10;138
34500,10;195
34800,10;141
35100,10;172
35400,10;201
35700,10;171
36000,10;128
36300,10;89
36600,10;186
36900,10;148
37200,10;171
37500,10;152
37800,10;132
38100,10;166
38400,10;122
38700,10;146
39000,10;126
39300,10;172
39600,10;190
39900,10;190
40200,10;172
40500,10;104
40800,10;131
41100,10;161
41400,10;149
41700,10;181
42000,10;173
42300,10;205
42600,10;172
42900,10;149
43200,10;132
43500,10;172
43800,10;196
44100,10;144
44400,10;190
44700,10;180
45000,10;168
45300,10;180
45600,10;157
45900,10;182
46200,10;190
46500,10;159
46800,10;149
47100,10;195
47400,10;166
47700,10;127
48000,10;151
48300,10;146
48600,10;187
48900,10;156
49200,10;155
49500,10;198
49800,10;129
50100,10;180
50400,10;174
50700,10;142
51000,10;180
51300,10;160
51600,10;171
51900,10;120
52200,10;152
52500,10;130
52800,10;153
53100,10;133
53400,10;148
53700,10;180
54000,10;161
54300,10;167
54600,10;157
54900,10;149
55200,10;148
55500,10;172
55800,10;156
56100,10;179
56400,10;161
56700,10;120
57000,10;171
57300,10;152
57600,10;183
57900,10;149
58200,10;122
58500,10;155
58800,10;165
59100,10;139
59400,10;151
59700,10;153
60000,10;137
60300,10;170
60600,10;132
60900,10;139
61200,10;143
61500,10;164
61800,10;171
62100,10;154
62400,10;145
62700,10;99
63000,10;137
63300,10;103
63600,10;138
63900,10;172
64200,10;161
64500,10;130
64800,10;123
65100,10;180
65400,10;149
65700,10;141
66000,10;116
66300,10;160
66600,10;138
66900,10;135
67200,10;152
67500,10;180
67800,10;140
68100,10;157
68400,10;174
68700,10;152
69000,10;120
69300,10;155
69600,10;141
69900,10;126
70200,10;138
70500,10;175
70800,10;133
71100,10;184
71400,10;167
71700,10;186
72000,10;137
72300,10;146
72600,10;137
72900,10;140
73200,10;179
73500,10;205
73800,10;136
74100,10;77
74400,10;77
74700,10;107
75000,10;111
75300,10;163
75600,10;191
75900,10;128
76200,10;171
76500,10;132
76800,10;181
77100,10;92
77400,10;168
77700,10;108
78000,10;131
78300,10;67
78600,10;98
78900,10;150
79200,10;123
79500,10;165
79800,10;172
80100,10;164
80400,10;142
80700,10;168
81000,10;129
81300,10;160
81600,10;178
81900,10;160
82200,10;88
82500,10;133
82800,10;176
83100,10;115
83400,10;145
83700,10;181
84000,10;136
84300,10;105
84600,10;115
84900,10;140
85200,10;166
85500,10;123
85800,10;125
86100,10;139
