migration_time;num_of_mig
300,10;458
600,10;324
900,10;259
1200,10;200
1500,10;165
1800,10;146
2100,10;126
2400,10;119
2700,10;124
3000,10;170
3300,10;167
3600,10;171
3900,10;198
4200,10;249
4500,10;260
4800,10;280
5100,10;217
5400,10;305
5700,10;263
6000,10;246
6300,10;230
6600,10;236
6900,10;217
7200,10;290
7500,10;374
7800,10;244
8100,10;230
8400,10;255
8700,10;217
9000,10;300
9300,10;233
9600,10;203
9900,10;197
10200,10;215
10500,10;214
10800,10;211
11100,10;232
11400,10;227
11700,10;193
12000,10;158
12300,10;209
12600,10;418
12900,10;361
13200,10;220
13500,10;221
13800,10;209
14100,10;177
14400,10;240
14700,10;402
15000,10;322
15300,10;191
15600,10;181
15900,10;186
16200,10;225
16500,10;203
16800,10;235
17100,10;242
17400,10;388
17700,10;302
18000,10;210
18300,10;190
18600,10;203
18900,10;211
19200,10;195
19500,10;211
19800,10;405
20100,10;285
20400,10;141
20700,10;128
21000,10;150
21300,10;220
21600,10;216
21900,10;172
22200,10;199
22500,10;235
22800,10;375
23100,10;317
23400,10;198
23700,10;232
24000,10;197
24300,10;413
24600,10;286
24900,10;214
25200,10;213
25500,10;195
25800,10;204
26100,10;209
26400,10;175
26700,10;193
27000,10;196
27300,10;166
27600,10;160
27900,10;235
28200,10;378
28500,10;243
28800,10;101
29100,10;122
29400,10;110
29700,10;143
30000,10;179
30300,10;176
30600,10;194
30900,10;197
31200,10;185
31500,10;188
31800,10;235
32100,10;355
32400,10;285
32700,10;223
33000,10;196
33300,10;241
33600,10;224
33900,10;176
34200,10;169
34500,10;204
34800,10;186
35100,10;228
35400,10;207
35700,10;217
36000,10;374
36300,10;277
36600,10;240
36900,10;241
37200,10;192
37500,10;190
37800,10;174
38100,10;187
38400,10;174
38700,10;196
39000,10;195
39300,10;222
39600,10;353
39900,10;287
40200,10;190
40500,10;168
40800,10;206
41100,10;199
41400,10;216
41700,10;207
42000,10;193
42300,10;187
42600,10;170
42900,10;168
43200,10;169
43500,10;179
43800,10;190
44100,10;212
44400,10;195
44700,10;166
45000,10;183
45300,10;175
45600,10;280
45900,10;212
46200,10;221
46500,10;250
46800,10;205
47100,10;184
47400,10;256
47700,10;199
48000,10;194
48300,10;167
48600,10;174
48900,10;148
49200,10;176
49500,10;193
49800,10;166
50100,10;192
50400,10;174
50700,10;138
51000,10;192
51300,10;195
51600,10;198
51900,10;155
52200,10;184
52500,10;344
52800,10;248
53100,10;152
53400,10;188
53700,10;222
54000,10;207
54300,10;207
54600,10;204
54900,10;187
55200,10;182
55500,10;192
55800,10;193
56100,10;182
56400,10;196
56700,10;156
57000,10;140
57300,10;266
57600,10;248
57900,10;227
58200,10;196
58500,10;146
58800,10;139
59100,10;165
59400,10;179
59700,10;188
60000,10;172
60300,10;194
60600,10;180
60900,10;175
61200,10;178
61500,10;169
61800,10;199
62100,10;213
62400,10;158
62700,10;160
63000,10;192
63300,10;179
63600,10;157
63900,10;184
64200,10;185
64500,10;373
64800,10;284
65100,10;205
65400,10;216
65700,10;147
66000,10;159
66300,10;181
66600,10;179
66900,10;157
67200,10;166
67500,10;207
67800,10;211
68100,10;212
68400,10;167
68700,10;216
69000,10;196
69300,10;155
69600,10;164
69900,10;144
70200,10;145
70500,10;181
70800,10;188
71100,10;177
71400,10;306
71700,10;293
72000,10;219
72300,10;190
72600,10;148
72900,10;116
73200,10;175
73500,10;364
73800,10;291
74100,10;158
74400,10;177
74700,10;192
75000,10;188
75300,10;208
75600,10;193
75900,10;147
76200,10;176
76500,10;174
76800,10;235
77100,10;415
77400,10;153
77700,10;94
78000,10;74
78300,10;65
78600,10;109
78900,10;147
79200,10;131
79500,10;133
79800,10;158
80100,10;159
80400,10;186
80700,10;157
81000,10;328
81300,10;256
81600,10;192
81900,10;193
82200,10;315
82500,10;257
82800,10;199
83100,10;167
83400,10;173
83700,10;188
84000,10;175
84300,10;177
84600,10;180
84900,10;178
85200,10;227
85500,10;360
85800,10;207
86100,10;167
