migration_time;num_of_mig
300,10;591
600,10;303
900,10;220
1200,10;182
1500,10;150
1800,10;129
2100,10;119
2400,10;117
2700,10;115
3000,10;99
3300,10;112
3600,10;116
3900,10;103
4200,10;113
4500,10;120
4800,10;116
5100,10;112
5400,10;109
5700,10;134
6000,10;135
6300,10;123
6600,10;159
6900,10;97
7200,10;123
7500,10;158
7800,10;139
8100,10;111
8400,10;111
8700,10;95
9000,10;108
9300,10;104
9600,10;93
9900,10;104
10200,10;122
10500,10;120
10800,10;99
11100,10;129
11400,10;120
11700,10;136
12000,10;98
12300,10;104
12600,10;80
12900,10;73
13200,10;94
13500,10;109
13800,10;99
14100,10;110
14400,10;127
14700,10;106
15000,10;94
15300,10;150
15600,10;96
15900,10;93
16200,10;109
16500,10;112
16800,10;127
17100,10;147
17400,10;95
17700,10;101
18000,10;113
18300,10;102
18600,10;121
18900,10;76
19200,10;100
19500,10;113
19800,10;120
20100,10;112
20400,10;85
20700,10;98
21000,10;109
21300,10;108
21600,10;136
21900,10;87
22200,10;101
22500,10;114
22800,10;110
23100,10;113
23400,10;130
23700,10;105
24000,10;110
24300,10;125
24600,10;99
24900,10;123
25200,10;102
25500,10;84
25800,10;79
26100,10;153
26400,10;137
26700,10;100
27000,10;114
27300,10;95
27600,10;86
27900,10;81
28200,10;127
28500,10;90
28800,10;109
29100,10;85
29400,10;129
29700,10;107
30000,10;118
30300,10;99
30600,10;98
30900,10;118
31200,10;102
31500,10;95
31800,10;129
32100,10;114
32400,10;118
32700,10;114
33000,10;90
33300,10;97
33600,10;127
33900,10;86
34200,10;90
34500,10;111
34800,10;91
35100,10;140
35400,10;106
35700,10;122
36000,10;76
36300,10;100
36600,10;157
36900,10;86
37200,10;129
37500,10;110
37800,10;93
38100,10;91
38400,10;109
38700,10;107
39000,10;120
39300,10;115
39600,10;117
39900,10;111
40200,10;100
40500,10;114
40800,10;83
41100,10;106
41400,10;110
41700,10;111
42000,10;99
42300,10;106
42600,10;105
42900,10;104
43200,10;114
43500,10;102
43800,10;92
44100,10;81
44400,10;113
44700,10;101
45000,10;113
45300,10;113
45600,10;105
45900,10;112
46200,10;96
46500,10;121
46800,10;101
47100,10;118
47400,10;93
47700,10;132
48000,10;127
48300,10;106
48600,10;132
48900,10;97
49200,10;125
49500,10;120
49800,10;90
50100,10;84
50400,10;95
50700,10;76
51000,10;107
51300,10;97
51600,10;88
51900,10;114
52200,10;106
52500,10;91
52800,10;101
53100,10;111
53400,10;101
53700,10;145
54000,10;106
54300,10;122
54600,10;96
54900,10;113
55200,10;115
55500,10;125
55800,10;103
56100,10;124
56400,10;94
56700,10;91
57000,10;107
57300,10;126
57600,10;99
57900,10;113
58200,10;101
58500,10;81
58800,10;84
59100,10;96
59400,10;96
59700,10;119
60000,10;107
60300,10;128
60600,10;108
60900,10;83
61200,10;99
61500,10;103
61800,10;120
62100,10;108
62400,10;76
62700,10;119
63000,10;136
63300,10;73
63600,10;74
63900,10;100
64200,10;127
64500,10;95
64800,10;84
65100,10;127
65400,10;106
65700,10;101
66000,10;123
66300,10;145
66600,10;100
66900,10;96
67200,10;79
67500,10;102
67800,10;88
68100,10;95
68400,10;110
68700,10;91
69000,10;99
69300,10;85
69600,10;80
69900,10;70
70200,10;84
70500,10;145
70800,10;89
71100,10;103
71400,10;105
71700,10;125
72000,10;84
72300,10;90
72600,10;65
72900,10;82
73200,10;113
73500,10;122
73800,10;101
74100,10;99
74400,10;90
74700,10;84
75000,10;98
75300,10;82
75600,10;127
75900,10;63
76200,10;61
76500,10;73
76800,10;123
77100,10;77
77400,10;141
77700,10;89
78000,10;80
78300,10;69
78600,10;103
78900,10;98
79200,10;83
79500,10;110
79800,10;79
80100,10;99
80400,10;94
80700,10;94
81000,10;108
81300,10;89
81600,10;102
81900,10;120
82200,10;75
82500,10;84
82800,10;91
83100,10;88
83400,10;90
83700,10;79
84000,10;94
84300,10;67
84600,10;66
84900,10;89
85200,10;140
85500,10;75
85800,10;114
86100,10;93
