time;num_of_active_hosts_new
300,10;800
600,10;321
900,10;220
1200,10;167
1500,10;131
1800,10;108
2100,10;98
2400,10;90
2700,10;83
3000,10;83
3300,10;81
3600,10;81
3900,10;81
4200,10;81
4500,10;81
4800,10;81
5100,10;81
5400,10;81
5700,10;81
6000,10;81
6300,10;81
6600,10;81
6900,10;81
7200,10;81
7500,10;81
7800,10;81
8100,10;81
8400,10;81
8700,10;81
9000,10;79
9300,10;79
9600,10;79
9900,10;79
10200,10;79
10500,10;79
10800,10;79
11100,10;79
11400,10;79
11700,10;79
12000,10;79
12300,10;79
12600,10;79
12900,10;71
13200,10;69
13500,10;69
13800,10;69
14100,10;69
14400,10;69
14700,10;69
15000,10;69
15300,10;69
15600,10;69
15900,10;69
16200,10;69
16500,10;69
16800,10;69
17100,10;69
17400,10;69
17700,10;69
18000,10;69
18300,10;69
18600,10;69
18900,10;69
19200,10;69
19500,10;69
19800,10;69
20100,10;69
20400,10;69
20700,10;69
21000,10;69
21300,10;69
21600,10;69
21900,10;69
22200,10;69
22500,10;69
22800,10;69
23100,10;69
23400,10;69
23700,10;69
24000,10;69
24300,10;69
24600,10;69
24900,10;69
25200,10;69
25500,10;69
25800,10;69
26100,10;69
26400,10;69
26700,10;67
27000,10;67
27300,10;67
27600,10;67
27900,10;67
28200,10;67
28500,10;67
28800,10;67
29100,10;67
29400,10;67
29700,10;67
30000,10;67
30300,10;67
30600,10;67
30900,10;67
31200,10;67
31500,10;67
31800,10;67
32100,10;67
32400,10;67
32700,10;67
33000,10;67
33300,10;67
33600,10;67
33900,10;67
34200,10;67
34500,10;67
34800,10;67
35100,10;67
35400,10;67
35700,10;67
36000,10;67
36300,10;67
36600,10;65
36900,10;65
37200,10;65
37500,10;65
37800,10;65
38100,10;65
38400,10;65
38700,10;65
39000,10;65
39300,10;65
39600,10;65
39900,10;65
40200,10;65
40500,10;65
40800,10;65
41100,10;65
41400,10;65
41700,10;65
42000,10;65
42300,10;65
42600,10;65
42900,10;65
43200,10;65
43500,10;65
43800,10;65
44100,10;65
44400,10;65
44700,10;64
45000,10;64
45300,10;64
45600,10;64
45900,10;64
46200,10;64
46500,10;64
46800,10;64
47100,10;64
47400,10;64
47700,10;64
48000,10;64
48300,10;64
48600,10;64
48900,10;64
49200,10;64
49500,10;64
49800,10;64
50100,10;64
50400,10;64
50700,10;64
51000,10;64
51300,10;64
51600,10;64
51900,10;64
52200,10;64
52500,10;64
52800,10;64
53100,10;64
53400,10;64
53700,10;63
54000,10;63
54300,10;63
54600,10;63
54900,10;63
55200,10;63
55500,10;63
55800,10;63
56100,10;63
56400,10;63
56700,10;63
57000,10;63
57300,10;63
57600,10;63
57900,10;63
58200,10;63
58500,10;63
58800,10;63
59100,10;63
59400,10;63
59700,10;63
60000,10;63
60300,10;63
60600,10;63
60900,10;63
61200,10;62
61500,10;62
61800,10;62
62100,10;62
62400,10;62
62700,10;62
63000,10;62
63300,10;62
63600,10;62
63900,10;62
64200,10;62
64500,10;62
64800,10;62
65100,10;62
65400,10;62
65700,10;62
66000,10;62
66300,10;62
66600,10;62
66900,10;62
67200,10;62
67500,10;62
67800,10;62
68100,10;62
68400,10;62
68700,10;62
69000,10;62
69300,10;62
69600,10;62
69900,10;62
70200,10;62
70500,10;62
70800,10;62
71100,10;62
71400,10;62
71700,10;62
72000,10;62
72300,10;62
72600,10;62
72900,10;59
73200,10;59
73500,10;58
73800,10;58
74100,10;58
74400,10;57
74700,10;57
75000,10;57
75300,10;57
75600,10;57
75900,10;57
76200,10;57
76500,10;57
76800,10;57
77100,10;57
77400,10;57
77700,10;57
78000,10;57
78300,10;57
78600,10;57
78900,10;57
79200,10;57
79500,10;57
79800,10;57
80100,10;57
80400,10;57
80700,10;57
81000,10;57
81300,10;57
81600,10;57
81900,10;57
82200,10;57
82500,10;57
82800,10;57
83100,10;57
83400,10;57
83700,10;57
84000,10;57
84300,10;57
84600,10;57
84900,10;57
85200,10;57
85500,10;57
85800,10;57
86100,10;57
