migration_time;num_of_mig
300,10;832
600,10;492
900,10;202
1200,10;209
1500,10;224
1800,10;193
2100,10;151
2400,10;159
2700,10;187
3000,10;199
3300,10;152
3600,10;136
3900,10;141
4200,10;168
4500,10;163
4800,10;126
5100,10;109
5400,10;125
5700,10;124
6000,10;155
6300,10;237
6600,10;185
6900,10;163
7200,10;201
7500,10;165
7800,10;143
8100,10;122
8400,10;139
8700,10;96
9000,10;143
9300,10;120
9600,10;112
9900,10;133
10200,10;144
10500,10;115
10800,10;109
11100,10;124
11400,10;176
11700,10;208
12000,10;149
12300,10;144
12600,10;107
12900,10;122
13200,10;120
13500,10;121
13800,10;95
14100,10;112
14400,10;144
14700,10;278
15000,10;192
15300,10;192
15600,10;130
15900,10;130
16200,10;129
16500,10;132
16800,10;118
17100,10;196
17400,10;237
17700,10;143
18000,10;143
18300,10;126
18600,10;122
18900,10;103
19200,10;109
19500,10;110
19800,10;154
20100,10;170
20400,10;152
20700,10;140
21000,10;119
21300,10;102
21600,10;102
21900,10;101
22200,10;125
22500,10;188
22800,10;168
23100,10;126
23400,10;106
23700,10;190
24000,10;189
24300,10;142
24600,10;116
24900,10;92
25200,10;129
25500,10;137
25800,10;117
26100,10;117
26400,10;147
26700,10;151
27000,10;129
27300,10;95
27600,10;104
27900,10;111
28200,10;146
28500,10;230
28800,10;165
29100,10;133
29400,10;135
29700,10;96
30000,10;80
30300,10;101
30600,10;106
30900,10;114
31200,10;117
31500,10;107
31800,10;120
32100,10;220
32400,10;183
32700,10;170
33000,10;112
33300,10;155
33600,10;99
33900,10;100
34200,10;97
34500,10;93
34800,10;103
35100,10;115
35400,10;98
35700,10;109
36000,10;154
36300,10;147
36600,10;129
36900,10;112
37200,10;118
37500,10;93
37800,10;95
38100,10;121
38400,10;128
38700,10;114
39000,10;106
39300,10;146
39600,10;154
39900,10;183
40200,10;123
40500,10;104
40800,10;100
41100,10;99
41400,10;82
41700,10;102
42000,10;99
42300,10;92
42600,10;92
42900,10;83
43200,10;95
43500,10;93
43800,10;92
44100,10;102
44400,10;79
44700,10;77
45000,10;104
45300,10;97
45600,10;107
45900,10;112
46200,10;117
46500,10;134
46800,10;119
47100,10;106
47400,10;86
47700,10;84
48000,10;111
48300,10;90
48600,10;128
48900,10;119
49200,10;119
49500,10;127
49800,10;112
50100,10;123
50400,10;126
50700,10;103
51000,10;110
51300,10;109
51600,10;121
51900,10;108
52200,10;97
52500,10;94
52800,10;106
53100,10;132
53400,10;101
53700,10;106
54000,10;116
54300,10;124
54600,10;170
54900,10;120
55200,10;116
55500,10;111
55800,10;97
56100,10;108
56400,10;114
56700,10;103
57000,10;118
57300,10;120
57600,10;116
57900,10;103
58200,10;87
58500,10;109
58800,10;91
59100,10;89
59400,10;84
59700,10;100
60000,10;117
60300,10;100
60600,10;105
60900,10;89
61200,10;72
61500,10;115
61800,10;137
62100,10;119
62400,10;105
62700,10;95
63000,10;95
63300,10;93
63600,10;75
63900,10;82
64200,10;84
64500,10;93
64800,10;88
65100,10;106
65400,10;130
65700,10;111
66000,10;110
66300,10;138
66600,10;152
66900,10;121
67200,10;107
67500,10;118
67800,10;159
68100,10;149
68400,10;150
68700,10;151
69000,10;106
69300,10;124
69600,10;97
69900,10;84
70200,10;81
70500,10;89
70800,10;118
71100,10;139
71400,10;134
71700,10;87
72000,10;95
72300,10;83
72600,10;112
72900,10;86
73200,10;102
73500,10;151
73800,10;162
74100,10;122
74400,10;134
74700,10;104
75000,10;101
75300,10;114
75600,10;120
75900,10;155
76200,10;131
76500,10;85
76800,10;125
77100,10;268
77400,10;155
77700,10;172
78000,10;131
78300,10;101
78600,10;89
78900,10;121
79200,10;158
79500,10;134
79800,10;100
80100,10;94
80400,10;101
80700,10;84
81000,10;93
81300,10;96
81600,10;123
81900,10;136
82200,10;145
82500,10;112
82800,10;91
83100,10;98
83400,10;120
83700,10;104
84000,10;102
84300,10;83
84600,10;99
84900,10;119
85200,10;126
85500,10;150
85800,10;169
86100,10;119
