time;num_of_active_hosts_new
300,10;800
600,10;134
900,10;67
1200,10;67
1500,10;60
1800,10;60
2100,10;60
2400,10;60
2700,10;59
3000,10;59
3300,10;56
3600,10;56
3900,10;54
4200,10;55
4500,10;56
4800,10;58
5100,10;56
5400,10;51
5700,10;51
6000,10;51
6300,10;99
6600,10;77
6900,10;64
7200,10;55
7500,10;55
7800,10;54
8100,10;59
8400,10;56
8700,10;52
9000,10;50
9300,10;50
9600,10;52
9900,10;51
10200,10;48
10500,10;48
10800,10;48
11100,10;45
11400,10;73
11700,10;65
12000,10;56
12300,10;52
12600,10;50
12900,10;50
13200,10;49
13500,10;48
13800,10;47
14100,10;46
14400,10;46
14700,10;106
15000,10;78
15300,10;65
15600,10;57
15900,10;48
16200,10;48
16500,10;48
16800,10;47
17100,10;91
17400,10;76
17700,10;60
18000,10;55
18300,10;52
18600,10;50
18900,10;50
19200,10;50
19500,10;50
19800,10;76
20100,10;64
20400,10;56
20700,10;52
21000,10;52
21300,10;52
21600,10;51
21900,10;51
22200,10;47
22500,10;73
22800,10;66
23100,10;58
23400,10;50
23700,10;87
24000,10;68
24300,10;59
24600,10;58
24900,10;53
25200,10;53
25500,10;52
25800,10;50
26100,10;49
26400,10;79
26700,10;66
27000,10;56
27300,10;53
27600,10;53
27900,10;50
28200,10;49
28500,10;128
28800,10;76
29100,10;66
29400,10;55
29700,10;49
30000,10;49
30300,10;48
30600,10;48
30900,10;48
31200,10;48
31500,10;47
31800,10;46
32100,10;90
32400,10;72
32700,10;63
33000,10;55
33300,10;53
33600,10;53
33900,10;53
34200,10;53
34500,10;49
34800,10;49
35100,10;49
35400,10;49
35700,10;48
36000,10;89
36300,10;65
36600,10;55
36900,10;52
37200,10;53
37500,10;53
37800,10;52
38100,10;51
38400,10;51
38700,10;51
39000,10;50
39300,10;50
39600,10;71
39900,10;60
40200,10;58
40500,10;58
40800,10;54
41100,10;53
41400,10;53
41700,10;49
42000,10;53
42300,10;52
42600,10;52
42900,10;51
43200,10;50
43500,10;50
43800,10;50
44100,10;50
44400,10;50
44700,10;50
45000,10;50
45300,10;50
45600,10;50
45900,10;55
46200,10;54
46500,10;53
46800,10;53
47100,10;52
47400,10;52
47700,10;52
48000,10;52
48300,10;52
48600,10;52
48900,10;55
49200,10;53
49500,10;53
49800,10;53
50100,10;53
50400,10;51
50700,10;51
51000,10;50
51300,10;61
51600,10;57
51900,10;55
52200,10;53
52500,10;53
52800,10;51
53100,10;51
53400,10;51
53700,10;50
54000,10;50
54300,10;49
54600,10;60
54900,10;58
55200,10;58
55500,10;58
55800,10;55
56100,10;54
56400,10;54
56700,10;54
57000,10;51
57300,10;51
57600,10;51
57900,10;51
58200,10;51
58500,10;51
58800,10;51
59100,10;51
59400,10;48
59700,10;48
60000,10;48
60300,10;48
60600,10;55
60900,10;52
61200,10;52
61500,10;50
61800,10;51
62100,10;51
62400,10;51
62700,10;51
63000,10;51
63300,10;51
63600,10;49
63900,10;49
64200,10;48
64500,10;50
64800,10;49
65100,10;48
65400,10;56
65700,10;54
66000,10;52
66300,10;51
66600,10;51
66900,10;48
67200,10;47
67500,10;46
67800,10;76
68100,10;62
68400,10;54
68700,10;51
69000,10;50
69300,10;46
69600,10;46
69900,10;44
70200,10;44
70500,10;44
70800,10;63
71100,10;54
71400,10;52
71700,10;47
72000,10;46
72300,10;43
72600,10;45
72900,10;45
73200,10;42
73500,10;64
73800,10;59
74100,10;52
74400,10;50
74700,10;48
75000,10;47
75300,10;47
75600,10;47
75900,10;59
76200,10;49
76500,10;43
76800,10;40
77100,10;115
77400,10;56
77700,10;53
78000,10;45
78300,10;44
78600,10;39
78900,10;42
79200,10;68
79500,10;57
79800,10;48
80100,10;45
80400,10;45
80700,10;45
81000,10;45
81300,10;44
81600,10;43
81900,10;55
82200,10;51
82500,10;46
82800,10;44
83100,10;44
83400,10;44
83700,10;48
84000,10;44
84300,10;43
84600,10;42
84900,10;43
85200,10;42
85500,10;71
85800,10;57
86100,10;50
