migration_time;num_of_mig
300,10;882
600,10;218
900,10;177
1200,10;115
1500,10;179
1800,10;205
2100,10;152
2400,10;96
2700,10;112
3000,10;103
3300,10;166
3600,10;135
3900,10;133
4200,10;130
4500,10;90
4800,10;118
5100,10;110
5400,10;126
5700,10;121
6000,10;121
6300,10;113
6600,10;94
6900,10;114
7200,10;145
7500,10;107
7800,10;127
8100,10;95
8400,10;98
8700,10;97
9000,10;124
9300,10;124
9600,10;106
9900,10;96
10200,10;128
10500,10;102
10800,10;86
11100,10;116
11400,10;126
11700,10;119
12000,10;100
12300,10;106
12600,10;116
12900,10;107
13200,10;120
13500,10;154
13800,10;109
14100,10;103
14400,10;150
14700,10;120
15000,10;106
15300,10;126
15600,10;113
15900,10;90
16200,10;117
16500,10;100
16800,10;121
17100,10;112
17400,10;107
17700,10;107
18000,10;99
18300,10;104
18600,10;94
18900,10;123
19200,10;137
19500,10;143
19800,10;104
20100,10;120
20400,10;87
20700,10;97
21000,10;75
21300,10;66
21600,10;107
21900,10;89
22200,10;95
22500,10;153
22800,10;71
23100,10;94
23400,10;108
23700,10;113
24000,10;125
24300,10;89
24600,10;103
24900,10;76
25200,10;78
25500,10;121
25800,10;95
26100,10;123
26400,10;129
26700,10;100
27000,10;110
27300,10;102
27600,10;68
27900,10;123
28200,10;103
28500,10;90
28800,10;84
29100,10;80
29400,10;110
29700,10;128
30000,10;124
30300,10;87
30600,10;86
30900,10;99
31200,10;82
31500,10;111
31800,10;118
32100,10;73
32400,10;104
32700,10;96
33000,10;113
33300,10;102
33600,10;83
33900,10;90
34200,10;136
34500,10;137
34800,10;82
35100,10;114
35400,10;87
35700,10;89
36000,10;70
36300,10;74
36600,10;95
36900,10;86
37200,10;70
37500,10;63
37800,10;92
38100,10;99
38400,10;85
38700,10;98
39000,10;87
39300,10;118
39600,10;68
39900,10;104
40200,10;102
40500,10;90
40800,10;100
41100,10;110
41400,10;98
41700,10;101
42000,10;80
42300,10;126
42600,10;105
42900,10;102
43200,10;107
43500,10;119
43800,10;106
44100,10;121
44400,10;88
44700,10;87
45000,10;126
45300,10;69
45600,10;92
45900,10;99
46200,10;126
46500,10;116
46800,10;82
47100,10;98
47400,10;125
47700,10;100
48000,10;101
48300,10;110
48600,10;102
48900,10;75
49200,10;79
49500,10;120
49800,10;89
50100,10;80
50400,10;101
50700,10;82
51000,10;104
51300,10;120
51600,10;74
51900,10;86
52200,10;116
52500,10;96
52800,10;119
53100,10;103
53400,10;98
53700,10;137
54000,10;129
54300,10;133
54600,10;109
54900,10;84
55200,10;102
55500,10;89
55800,10;90
56100,10;92
56400,10;97
56700,10;71
57000,10;89
57300,10;81
57600,10;94
57900,10;102
58200,10;105
58500,10;85
58800,10;105
59100,10;82
59400,10;84
59700,10;91
60000,10;64
60300,10;96
60600,10;91
60900,10;76
61200,10;85
61500,10;107
61800,10;113
62100,10;109
62400,10;133
62700,10;77
63000,10;112
63300,10;90
63600,10;72
63900,10;90
64200,10;107
64500,10;70
64800,10;84
65100,10;124
65400,10;90
65700,10;98
66000,10;96
66300,10;121
66600,10;86
66900,10;78
67200,10;85
67500,10;87
67800,10;82
68100,10;81
68400,10;97
68700,10;103
69000,10;134
69300,10;101
69600,10;92
69900,10;91
70200,10;108
70500,10;118
70800,10;77
71100,10;100
71400,10;87
71700,10;102
72000,10;69
72300,10;75
72600,10;82
72900,10;75
73200,10;108
73500,10;96
73800,10;83
74100,10;85
74400,10;101
74700,10;84
75000,10;77
75300,10;102
75600,10;105
75900,10;116
76200,10;81
76500,10;88
76800,10;112
77100,10;89
77400,10;124
77700,10;116
78000,10;105
78300,10;51
78600,10;94
78900,10;99
79200,10;68
79500,10;83
79800,10;81
80100,10;107
80400,10;72
80700,10;85
81000,10;86
81300,10;78
81600,10;118
81900,10;103
82200,10;74
82500,10;69
82800,10;112
83100,10;78
83400,10;83
83700,10;86
84000,10;88
84300,10;94
84600,10;85
84900,10;132
85200,10;110
85500,10;82
85800,10;121
86100,10;125
