time;num_of_active_hosts
300,10;412
600,10;47
900,10;49
1200,10;51
1500,10;50
1800,10;52
2100,10;52
2400,10;51
2700,10;48
3000,10;50
3300,10;47
3600,10;48
3900,10;47
4200,10;51
4500,10;48
4800,10;48
5100,10;47
5400,10;46
5700,10;45
6000,10;46
6300,10;48
6600,10;46
6900,10;46
7200,10;44
7500,10;47
7800,10;47
8100,10;49
8400,10;46
8700,10;46
9000,10;45
9300,10;47
9600,10;49
9900,10;43
10200,10;42
10500,10;45
10800,10;43
11100,10;38
11400,10;43
11700,10;45
12000,10;44
12300,10;45
12600,10;45
12900,10;43
13200,10;43
13500,10;43
13800,10;42
14100,10;43
14400,10;45
14700,10;47
15000,10;43
15300,10;42
15600,10;47
15900,10;39
16200,10;43
16500,10;44
16800,10;45
17100,10;46
17400,10;49
17700,10;46
18000,10;47
18300,10;47
18600,10;45
18900,10;46
19200,10;43
19500,10;47
19800,10;49
20100,10;45
20400,10;46
20700,10;46
21000,10;49
21300,10;46
21600,10;47
21900,10;47
22200,10;43
22500,10;47
22800,10;49
23100,10;47
23400,10;46
23700,10;50
24000,10;46
24300,10;50
24600,10;49
24900,10;49
25200,10;49
25500,10;48
25800,10;46
26100,10;46
26400,10;49
26700,10;47
27000,10;47
27300,10;48
27600,10;50
27900,10;45
28200,10;47
28500,10;53
28800,10;49
29100,10;50
29400,10;47
29700,10;47
30000,10;47
30300,10;49
30600,10;48
30900,10;47
31200,10;46
31500,10;46
31800,10;41
32100,10;47
32400,10;46
32700,10;50
33000,10;48
33300,10;50
33600,10;51
33900,10;50
34200,10;46
34500,10;44
34800,10;49
35100,10;47
35400,10;47
35700,10;48
36000,10;50
36300,10;46
36600,10;45
36900,10;47
37200,10;49
37500,10;47
37800,10;46
38100,10;48
38400,10;48
38700,10;47
39000,10;48
39300,10;47
39600,10;50
39900,10;48
40200,10;48
40500,10;50
40800,10;50
41100,10;50
41400,10;51
41700,10;47
42000,10;53
42300,10;47
42600,10;49
42900,10;46
43200,10;48
43500,10;48
43800,10;48
44100,10;47
44400,10;49
44700,10;47
45000,10;48
45300,10;49
45600,10;49
45900,10;50
46200,10;50
46500,10;47
46800,10;51
47100,10;47
47400,10;50
47700,10;50
48000,10;51
48300,10;50
48600,10;51
48900,10;51
49200,10;47
49500,10;48
49800,10;52
50100,10;48
50400,10;46
50700,10;49
51000,10;48
51300,10;50
51600,10;48
51900,10;49
52200,10;48
52500,10;51
52800,10;47
53100,10;50
53400,10;49
53700,10;48
54000,10;50
54300,10;50
54600,10;51
54900,10;49
55200,10;51
55500,10;49
55800,10;49
56100,10;49
56400,10;49
56700,10;51
57000,10;46
57300,10;48
57600,10;49
57900,10;49
58200,10;50
58500,10;52
58800,10;50
59100,10;48
59400,10;48
59700,10;48
60000,10;48
60300,10;46
60600,10;49
60900,10;50
61200,10;46
61500,10;46
61800,10;48
62100,10;49
62400,10;47
62700,10;49
63000,10;47
63300,10;49
63600,10;47
63900,10;44
64200,10;45
64500,10;49
64800,10;45
65100,10;46
65400,10;48
65700,10;49
66000,10;47
66300,10;48
66600,10;49
66900,10;44
67200,10;41
67500,10;45
67800,10;46
68100,10;44
68400,10;44
68700,10;44
69000,10;45
69300,10;44
69600,10;44
69900,10;42
70200,10;41
70500,10;42
70800,10;45
71100,10;41
71400,10;44
71700,10;44
72000,10;44
72300,10;40
72600,10;43
72900,10;42
73200,10;40
73500,10;44
73800,10;47
74100,10;44
74400,10;44
74700,10;42
75000,10;43
75300,10;42
75600,10;42
75900,10;46
76200,10;43
76500,10;40
76800,10;37
77100,10;45
77400,10;37
77700,10;45
78000,10;40
78300,10;41
78600,10;37
78900,10;40
79200,10;43
79500,10;42
79800,10;42
80100,10;43
80400,10;42
80700,10;41
81000,10;44
81300,10;40
81600,10;36
81900,10;41
82200,10;44
82500,10;38
82800,10;39
83100,10;42
83400,10;38
83700,10;42
84000,10;39
84300,10;40
84600,10;38
84900,10;40
85200,10;39
85500,10;42
85800,10;37
86100,10;41
