migration_time;num_of_mig_cum
300,10;368
600,10;631
900,10;836
1200,10;1001
1500,10;1148
1800,10;1265
2100,10;1370
2400,10;1469
2700,10;1557
3000,10;1640
3300,10;1734
3600,10;1822
3900,10;1938
4200,10;2042
4500,10;2174
4800,10;2324
5100,10;2495
5400,10;2697
5700,10;2805
6000,10;2977
6300,10;3116
6600,10;3245
6900,10;3368
7200,10;3550
7500,10;3709
7800,10;3860
8100,10;3971
8400,10;4088
8700,10;4231
9000,10;4364
9300,10;4517
9600,10;4641
9900,10;4734
10200,10;4879
10500,10;5009
10800,10;5111
11100,10;5261
11400,10;5413
11700,10;5534
12000,10;5652
12300,10;5793
12600,10;5907
12900,10;6044
13200,10;6217
13500,10;6317
13800,10;6446
14100,10;6550
14400,10;6675
14700,10;6766
15000,10;6852
15300,10;7016
15600,10;7108
15900,10;7204
16200,10;7330
16500,10;7473
16800,10;7636
17100,10;7796
17400,10;7911
17700,10;8010
18000,10;8143
18300,10;8263
18600,10;8414
18900,10;8523
19200,10;8649
19500,10;8775
19800,10;8868
20100,10;8995
20400,10;9112
20700,10;9294
21000,10;9417
21300,10;9551
21600,10;9678
21900,10;9797
22200,10;9911
22500,10;10058
22800,10;10188
23100,10;10285
23400,10;10435
23700,10;10557
24000,10;10717
24300,10;10870
24600,10;10978
24900,10;11090
25200,10;11250
25500,10;11396
25800,10;11547
26100,10;11697
26400,10;11833
26700,10;11961
27000,10;12120
27300,10;12244
27600,10;12331
27900,10;12455
28200,10;12607
28500,10;12715
28800,10;12848
29100,10;12949
29400,10;13058
29700,10;13186
30000,10;13357
30300,10;13502
30600,10;13646
30900,10;13773
31200,10;13905
31500,10;14024
31800,10;14170
32100,10;14316
32400,10;14458
32700,10;14619
33000,10;14762
33300,10;14894
33600,10;15023
33900,10;15156
34200,10;15274
34500,10;15402
34800,10;15512
35100,10;15631
35400,10;15775
35700,10;15952
36000,10;16053
36300,10;16156
36600,10;16269
36900,10;16422
37200,10;16581
37500,10;16716
37800,10;16853
38100,10;16964
38400,10;17096
38700,10;17250
39000,10;17394
39300,10;17539
39600,10;17675
39900,10;17834
40200,10;17986
40500,10;18130
40800,10;18225
41100,10;18365
41400,10;18504
41700,10;18648
42000,10;18752
42300,10;18902
42600,10;19037
42900,10;19138
43200,10;19247
43500,10;19357
43800,10;19484
44100,10;19620
44400,10;19743
44700,10;19845
45000,10;19974
45300,10;20106
45600,10;20237
45900,10;20369
46200,10;20499
46500,10;20637
46800,10;20760
47100,10;20905
47400,10;21041
47700,10;21192
48000,10;21337
48300,10;21441
48600,10;21557
48900,10;21663
49200,10;21799
49500,10;21931
49800,10;22038
50100,10;22135
50400,10;22281
50700,10;22384
51000,10;22502
51300,10;22639
51600,10;22751
51900,10;22883
52200,10;23038
52500,10;23182
52800,10;23325
53100,10;23458
53400,10;23568
53700,10;23696
54000,10;23824
54300,10;23982
54600,10;24131
54900,10;24272
55200,10;24372
55500,10;24501
55800,10;24628
56100,10;24723
56400,10;24835
56700,10;24948
57000,10;25080
57300,10;25222
57600,10;25359
57900,10;25511
58200,10;25617
58500,10;25727
58800,10;25828
59100,10;25960
59400,10;26104
59700,10;26265
60000,10;26396
60300,10;26523
60600,10;26642
60900,10;26751
61200,10;26871
61500,10;27018
61800,10;27134
62100,10;27247
62400,10;27358
62700,10;27463
63000,10;27610
63300,10;27713
63600,10;27800
63900,10;27902
64200,10;28035
64500,10;28160
64800,10;28276
65100,10;28404
65400,10;28542
65700,10;28709
66000,10;28846
66300,10;29007
66600,10;29137
66900,10;29247
67200,10;29361
67500,10;29533
67800,10;29646
68100,10;29769
68400,10;29917
68700,10;30071
69000,10;30190
69300,10;30295
69600,10;30410
69900,10;30556
70200,10;30680
70500,10;30813
70800,10;30927
71100,10;31048
71400,10;31149
71700,10;31274
72000,10;31394
72300,10;31518
72600,10;31603
72900,10;31681
73200,10;31833
73500,10;31942
73800,10;32073
74100,10;32193
74400,10;32303
74700,10;32452
75000,10;32573
75300,10;32689
75600,10;32851
75900,10;32981
76200,10;33080
76500,10;33209
76800,10;33348
77100,10;33453
77400,10;33565
77700,10;33658
78000,10;33746
78300,10;33831
78600,10;33947
78900,10;34060
79200,10;34145
79500,10;34244
79800,10;34352
80100,10;34454
80400,10;34571
80700,10;34685
81000,10;34805
81300,10;34924
81600,10;35035
81900,10;35164
82200,10;35272
82500,10;35362
82800,10;35468
83100,10;35594
83400,10;35703
83700,10;35861
84000,10;36006
84300,10;36072
84600,10;36165
84900,10;36299
85200,10;36448
85500,10;36538
85800,10;36661
86100,10;36772
