time;num_of_active_hosts
300,10;649
600,10;368
900,10;261
1200,10;202
1500,10;165
1800,10;136
2100,10;117
2400,10;102
2700,10;91
3000,10;86
3300,10;73
3600,10;70
3900,10;59
4200,10;77
4500,10;89
4800,10;66
5100,10;72
5400,10;91
5700,10;76
6000,10;93
6300,10;92
6600,10;69
6900,10;84
7200,10;91
7500,10;127
7800,10;94
8100,10;100
8400,10;78
8700,10;71
9000,10;91
9300,10;128
9600,10;96
9900,10;84
10200,10;53
10500,10;72
10800,10;85
11100,10;74
11400,10;143
11700,10;119
12000,10;90
12300,10;78
12600,10;57
12900,10;83
13200,10;110
13500,10;92
13800,10;67
14100,10;64
14400,10;104
14700,10;117
15000,10;108
15300,10;68
15600,10;81
15900,10;59
16200,10;69
16500,10;112
16800,10;90
17100,10;68
17400,10;105
17700,10;71
18000,10;94
18300,10;79
18600,10;59
18900,10;91
19200,10;78
19500,10;86
19800,10;98
20100,10;77
20400,10;88
20700,10;90
21000,10;112
21300,10;73
21600,10;66
21900,10;96
22200,10;84
22500,10;90
22800,10;106
23100,10;63
23400,10;56
23700,10;148
24000,10;109
24300,10;81
24600,10;89
24900,10;78
25200,10;104
25500,10;70
25800,10;71
26100,10;82
26400,10;132
26700,10;66
27000,10;84
27300,10;85
27600,10;92
27900,10;88
28200,10;105
28500,10;150
28800,10;91
29100,10;59
29400,10;88
29700,10;81
30000,10;63
30300,10;95
30600,10;115
30900,10;81
31200,10;96
31500,10;62
31800,10;63
32100,10;108
32400,10;79
32700,10;122
33000,10;106
33300,10;87
33600,10;76
33900,10;85
34200,10;83
34500,10;75
34800,10;94
35100,10;105
35400,10;102
35700,10;80
36000,10;125
36300,10;81
36600,10;76
36900,10;83
37200,10;95
37500,10;89
37800,10;82
38100,10;86
38400,10;104
38700,10;103
39000,10;74
39300,10;70
39600,10;80
39900,10;100
40200,10;88
40500,10;97
40800,10;55
41100,10;90
41400,10;120
41700,10;81
42000,10;83
42300,10;68
42600,10;90
42900,10;94
43200,10;78
43500,10;103
43800,10;93
44100,10;70
44400,10;84
44700,10;90
45000,10;57
45300,10;109
45600,10;108
45900,10;77
46200,10;75
46500,10;77
46800,10;136
47100,10;99
47400,10;81
47700,10;78
48000,10;98
48300,10;92
48600,10;91
48900,10;98
49200,10;79
49500,10;75
49800,10;132
50100,10;76
50400,10;76
50700,10;91
51000,10;58
51300,10;115
51600,10;124
51900,10;94
52200,10;63
52500,10;82
52800,10;85
53100,10;113
53400,10;84
53700,10;72
54000,10;120
54300,10;128
54600,10;86
54900,10;69
55200,10;66
55500,10;91
55800,10;100
56100,10;95
56400,10;86
56700,10;87
57000,10;82
57300,10;80
57600,10;89
57900,10;70
58200,10;106
58500,10;122
58800,10;68
59100,10;80
59400,10;67
59700,10;89
60000,10;115
60300,10;83
60600,10;94
60900,10;92
61200,10;54
61500,10;80
61800,10;89
62100,10;85
62400,10;77
62700,10;92
63000,10;65
63300,10;94
63600,10;83
63900,10;62
64200,10;78
64500,10;131
64800,10;71
65100,10;78
65400,10;97
65700,10;80
66000,10;72
66300,10;74
66600,10;106
66900,10;72
67200,10;60
67500,10;88
67800,10;110
68100,10;58
68400,10;67
68700,10;82
69000,10;133
69300,10;86
69600,10;74
69900,10;70
70200,10;74
70500,10;84
70800,10;132
71100,10;69
71400,10;96
71700,10;63
72000,10;67
72300,10;68
72600,10;123
72900,10;75
73200,10;60
73500,10;95
73800,10;93
74100,10;72
74400,10;59
74700,10;68
75000,10;95
75300,10;88
75600,10;75
75900,10;94
76200,10;53
76500,10;56
76800,10;73
77100,10;160
77400,10;91
77700,10;96
78000,10;58
78300,10;67
78600,10;47
78900,10;68
79200,10;96
79500,10;79
79800,10;79
80100,10;59
80400,10;77
80700,10;95
81000,10;68
81300,10;74
81600,10;54
81900,10;87
82200,10;120
82500,10;74
82800,10;52
83100,10;75
83400,10;52
83700,10;92
84000,10;76
84300,10;51
84600,10;68
84900,10;88
85200,10;53
85500,10;102
85800,10;65
86100,10;73
