migration_time;num_of_mig
300,10;458
600,10;324
900,10;259
1200,10;200
1500,10;165
1800,10;150
2100,10;120
2400,10;123
2700,10;108
3000,10;110
3300,10;117
3600,10;141
3900,10;133
4200,10;208
4500,10;237
4800,10;190
5100,10;154
5400,10;160
5700,10;295
6000,10;276
6300,10;211
6600,10;175
6900,10;184
7200,10;154
7500,10;387
7800,10;299
8100,10;195
8400,10;210
8700,10;156
9000,10;131
9300,10;146
9600,10;273
9900,10;214
10200,10;170
10500,10;370
10800,10;299
11100,10;173
11400,10;199
11700,10;219
12000,10;199
12300,10;167
12600,10;173
12900,10;159
13200,10;291
13500,10;233
13800,10;152
14100,10;144
14400,10;146
14700,10;335
15000,10;268
15300,10;193
15600,10;361
15900,10;262
16200,10;162
16500,10;149
16800,10;139
17100,10;287
17400,10;220
17700,10;182
18000,10;151
18300,10;153
18600,10;142
18900,10;151
19200,10;159
19500,10;377
19800,10;296
20100,10;181
20400,10;162
20700,10;190
21000,10;337
21300,10;270
21600,10;174
21900,10;143
22200,10;138
22500,10;312
22800,10;245
23100,10;150
23400,10;156
23700,10;389
24000,10;267
24300,10;209
24600,10;129
24900,10;140
25200,10;164
25500,10;152
25800,10;166
26100,10;183
26400,10;143
26700,10;130
27000,10;132
27300,10;163
27600,10;148
27900,10;160
28200,10;286
28500,10;288
28800,10;210
29100,10;161
29400,10;129
29700,10;124
30000,10;128
30300,10;153
30600,10;294
30900,10;247
31200,10;117
31500,10;174
31800,10;177
32100,10;353
32400,10;284
32700,10;217
33000,10;175
33300,10;165
33600,10;138
33900,10;154
34200,10;143
34500,10;137
34800,10;350
35100,10;276
35400,10;179
35700,10;166
36000,10;270
36300,10;187
36600,10;143
36900,10;377
37200,10;276
37500,10;206
37800,10;191
38100,10;185
38400,10;163
38700,10;174
39000,10;142
39300,10;131
39600,10;270
39900,10;214
40200,10;154
40500,10;295
40800,10;244
41100,10;163
41400,10;230
41700,10;195
42000,10;295
42300,10;214
42600,10;157
42900,10;153
43200,10;166
43500,10;250
43800,10;181
44100,10;153
44400,10;138
44700,10;93
45000,10;111
45300,10;254
45600,10;218
45900,10;161
46200,10;145
46500,10;192
46800,10;376
47100,10;268
47400,10;202
47700,10;160
48000,10;186
48300,10;179
48600,10;157
48900,10;125
49200,10;151
49500,10;194
49800,10;148
50100,10;149
50400,10;148
50700,10;225
51000,10;209
51300,10;167
51600,10;135
51900,10;131
52200,10;158
52500,10;326
52800,10;265
53100,10;160
53400,10;111
53700,10;141
54000,10;137
54300,10;162
54600,10;286
54900,10;247
55200,10;173
55500,10;193
55800,10;146
56100,10;131
56400,10;125
56700,10;187
57000,10;152
57300,10;115
57600,10;123
57900,10;154
58200,10;307
58500,10;247
58800,10;174
59100,10;125
59400,10;130
59700,10;118
60000,10;120
60300,10;118
60600,10;227
60900,10;238
61200,10;157
61500,10;159
61800,10;153
62100,10;111
62400,10;150
62700,10;107
63000,10;105
63300,10;248
63600,10;200
63900,10;147
64200,10;132
64500,10;125
64800,10;125
65100,10;144
65400,10;263
65700,10;189
66000,10;139
66300,10;144
66600,10;341
66900,10;236
67200,10;170
67500,10;139
67800,10;149
68100,10;135
68400,10;183
68700,10;139
69000,10;120
69300,10;147
69600,10;134
69900,10;123
70200,10;105
70500,10;146
70800,10;351
71100,10;280
71400,10;165
71700,10;158
72000,10;117
72300,10;123
72600,10;256
72900,10;196
73200,10;146
73500,10;326
73800,10;279
74100,10;152
74400,10;126
74700,10;117
75000,10;139
75300,10;129
75600,10;129
75900,10;329
76200,10;249
76500,10;130
76800,10;157
77100,10;401
77400,10;187
77700,10;163
78000,10;113
78300,10;157
78600,10;107
78900,10;311
79200,10;216
79500,10;128
79800,10;121
80100,10;124
80400,10;113
80700,10;123
81000,10;283
81300,10;224
81600,10;141
81900,10;283
82200,10;238
82500,10;121
82800,10;133
83100,10;108
83400,10;135
83700,10;355
84000,10;267
84300,10;211
84600,10;164
84900,10;263
85200,10;235
85500,10;151
85800,10;107
86100,10;331
