time;num_of_active_hosts
300,10;768
600,10;434
900,10;294
1200,10;216
1500,10;170
1800,10;141
2100,10;118
2400,10;102
2700,10;87
3000,10;79
3300,10;70
3600,10;70
3900,10;58
4200,10;58
4500,10;57
4800,10;57
5100,10;51
5400,10;49
5700,10;78
6000,10;61
6300,10;59
6600,10;55
6900,10;55
7200,10;50
7500,10;105
7800,10;80
8100,10;60
8400,10;59
8700,10;54
9000,10;52
9300,10;52
9600,10;74
9900,10;55
10200,10;47
10500,10;99
10800,10;76
11100,10;55
11400,10;55
11700,10;55
12000,10;53
12300,10;53
12600,10;52
12900,10;50
13200,10;69
13500,10;56
13800,10;52
14100,10;52
14400,10;51
14700,10;85
15000,10;65
15300,10;53
15600,10;93
15900,10;61
16200,10;50
16500,10;50
16800,10;48
17100,10;82
17400,10;65
17700,10;55
18000,10;54
18300,10;54
18600,10;51
18900,10;51
19200,10;50
19500,10;106
19800,10;81
20100,10;58
20400,10;52
20700,10;52
21000,10;100
21300,10;72
21600,10;56
21900,10;56
22200,10;50
22500,10;87
22800,10;70
23100,10;57
23400,10;52
23700,10;117
24000,10;81
24300,10;64
24600,10;56
24900,10;55
25200,10;55
25500,10;55
25800,10;54
26100,10;54
26400,10;54
26700,10;54
27000,10;53
27300,10;63
27600,10;59
27900,10;51
28200,10;99
28500,10;82
28800,10;59
29100,10;58
29400,10;55
29700,10;54
30000,10;53
30300,10;53
30600,10;88
30900,10;64
31200,10;54
31500,10;53
31800,10;50
32100,10;128
32400,10;101
32700,10;76
33000,10;58
33300,10;57
33600,10;55
33900,10;55
34200,10;55
34500,10;50
34800,10;100
35100,10;73
35400,10;57
35700,10;56
36000,10;78
36300,10;56
36600,10;48
36900,10;104
37200,10;78
37500,10;58
37800,10;58
38100,10;56
38400,10;55
38700,10;54
39000,10;54
39300,10;51
39600,10;83
39900,10;61
40200,10;54
40500,10;90
40800,10;67
41100,10;55
41400,10;75
41700,10;60
42000,10;84
42300,10;62
42600,10;55
42900,10;53
43200,10;53
43500,10;73
43800,10;59
44100,10;53
44400,10;53
44700,10;51
45000,10;49
45300,10;80
45600,10;65
45900,10;58
46200,10;55
46500,10;51
46800,10;133
47100,10;102
47400,10;77
47700,10;60
48000,10;59
48300,10;57
48600,10;57
48900,10;57
49200,10;54
49500,10;62
49800,10;58
50100,10;55
50400,10;55
50700,10;74
51000,10;58
51300,10;57
51600,10;56
51900,10;56
52200,10;54
52500,10;102
52800,10;75
53100,10;58
53400,10;53
53700,10;53
54000,10;53
54300,10;53
54600,10;91
54900,10;70
55200,10;57
55500,10;56
55800,10;56
56100,10;55
56400,10;54
56700,10;68
57000,10;56
57300,10;53
57600,10;51
57900,10;51
58200,10;91
58500,10;71
58800,10;60
59100,10;54
59400,10;53
59700,10;51
60000,10;51
60300,10;51
60600,10;78
60900,10;62
61200,10;55
61500,10;53
61800,10;53
62100,10;52
62400,10;52
62700,10;52
63000,10;51
63300,10;80
63600,10;58
63900,10;52
64200,10;51
64500,10;50
64800,10;49
65100,10;49
65400,10;79
65700,10;60
66000,10;54
66300,10;51
66600,10;95
66900,10;68
67200,10;52
67500,10;52
67800,10;50
68100,10;50
68400,10;50
68700,10;48
69000,10;48
69300,10;48
69600,10;48
69900,10;48
70200,10;46
70500,10;46
70800,10;95
71100,10;68
71400,10;52
71700,10;49
72000,10;48
72300,10;46
72600,10;71
72900,10;53
73200,10;44
73500,10;106
73800,10;82
74100,10;56
74400,10;48
74700,10;48
75000,10;47
75300,10;46
75600,10;46
75900,10;84
76200,10;60
76500,10;47
76800,10;43
77100,10;119
77400,10;71
77700,10;57
78000,10;47
78300,10;47
78600,10;40
78900,10;71
79200,10;54
79500,10;46
79800,10;45
80100,10;43
80400,10;43
80700,10;42
81000,10;73
81300,10;56
81600,10;43
81900,10;82
82200,10;66
82500,10;46
82800,10;45
83100,10;45
83400,10;42
83700,10;91
84000,10;65
84300,10;50
84600,10;43
84900,10;80
85200,10;62
85500,10;48
85800,10;39
86100,10;88
