migration_time;num_of_mig_cum
300,10;832
600,10;1324
900,10;1508
1200,10;1695
1500,10;1911
1800,10;2090
2100,10;2229
2400,10;2382
2700,10;2516
3000,10;2630
3300,10;2770
3600,10;2889
3900,10;3016
4200,10;3194
4500,10;3344
4800,10;3526
5100,10;3652
5400,10;3767
5700,10;3893
6000,10;4000
6300,10;4077
6600,10;4185
6900,10;4292
7200,10;4377
7500,10;4493
7800,10;4638
8100,10;4757
8400,10;4863
8700,10;4953
9000,10;5056
9300,10;5147
9600,10;5290
9900,10;5414
10200,10;5533
10500,10;5635
10800,10;5732
11100,10;5854
11400,10;5981
11700,10;6104
12000,10;6201
12300,10;6262
12600,10;6367
12900,10;6465
13200,10;6570
13500,10;6684
13800,10;6780
14100,10;6886
14400,10;6997
14700,10;7096
15000,10;7195
15300,10;7304
15600,10;7420
15900,10;7539
16200,10;7624
16500,10;7711
16800,10;7782
17100,10;7880
17400,10;7964
17700,10;8049
18000,10;8146
18300,10;8229
18600,10;8317
18900,10;8406
19200,10;8506
19500,10;8607
19800,10;8771
20100,10;8899
20400,10;8986
20700,10;9082
21000,10;9203
21300,10;9321
21600,10;9420
21900,10;9488
22200,10;9574
22500,10;9681
22800,10;9754
23100,10;9850
23400,10;9937
23700,10;10057
24000,10;10173
24300,10;10276
24600,10;10388
24900,10;10496
25200,10;10597
25500,10;10714
25800,10;10819
26100,10;10927
26400,10;10992
26700,10;11070
27000,10;11170
27300,10;11254
27600,10;11347
27900,10;11439
28200,10;11569
28500,10;11792
28800,10;11934
29100,10;12056
29400,10;12178
29700,10;12268
30000,10;12359
30300,10;12464
30600,10;12557
30900,10;12653
31200,10;12744
31500,10;12838
31800,10;12924
32100,10;13070
32400,10;13194
32700,10;13325
33000,10;13441
33300,10;13545
33600,10;13642
33900,10;13725
34200,10;13806
34500,10;13877
34800,10;13959
35100,10;14048
35400,10;14125
35700,10;14236
36000,10;14328
36300,10;14411
36600,10;14469
36900,10;14548
37200,10;14623
37500,10;14749
37800,10;14830
38100,10;14913
38400,10;15030
38700,10;15122
39000,10;15211
39300,10;15297
39600,10;15392
39900,10;15489
40200,10;15566
40500,10;15633
40800,10;15731
41100,10;15855
41400,10;15957
41700,10;16046
42000,10;16138
42300,10;16229
42600,10;16327
42900,10;16427
43200,10;16497
43500,10;16586
43800,10;16664
44100,10;16733
44400,10;16820
44700,10;16913
45000,10;17022
45300,10;17111
45600,10;17205
45900,10;17285
46200,10;17374
46500,10;17468
46800,10;17558
47100,10;17657
47400,10;17761
47700,10;17868
48000,10;17956
48300,10;18063
48600,10;18170
48900,10;18277
49200,10;18394
49500,10;18531
49800,10;18669
50100,10;18773
50400,10;18880
50700,10;18952
51000,10;19036
51300,10;19132
51600,10;19213
51900,10;19264
52200,10;19331
52500,10;19425
52800,10;19507
53100,10;19589
53400,10;19680
53700,10;19793
54000,10;19882
54300,10;19966
54600,10;20076
54900,10;20165
55200,10;20252
55500,10;20351
55800,10;20437
56100,10;20511
56400,10;20611
56700,10;20727
57000,10;20845
57300,10;20925
57600,10;20993
57900,10;21087
58200,10;21176
58500,10;21267
58800,10;21344
59100,10;21473
59400,10;21546
59700,10;21619
60000,10;21730
60300,10;21811
60600,10;21881
60900,10;21974
61200,10;22078
61500,10;22176
61800,10;22289
62100,10;22376
62400,10;22458
62700,10;22552
63000,10;22632
63300,10;22710
63600,10;22802
63900,10;22890
64200,10;22988
64500,10;23092
64800,10;23209
65100,10;23308
65400,10;23395
65700,10;23482
66000,10;23588
66300,10;23714
66600,10;23858
66900,10;23946
67200,10;24034
67500,10;24155
67800,10;24242
68100,10;24349
68400,10;24458
68700,10;24547
69000,10;24631
69300,10;24703
69600,10;24787
69900,10;24838
70200,10;24893
70500,10;24969
70800,10;25047
71100,10;25157
71400,10;25298
71700,10;25414
72000,10;25514
72300,10;25599
72600,10;25679
72900,10;25749
73200,10;25853
73500,10;26011
73800,10;26156
74100,10;26268
74400,10;26381
74700,10;26466
75000,10;26544
75300,10;26611
75600,10;26693
75900,10;26810
76200,10;26910
76500,10;26988
76800,10;27074
77100,10;27278
77400,10;27411
77700,10;27544
78000,10;27634
78300,10;27731
78600,10;27809
78900,10;27884
79200,10;27968
79500,10;28053
79800,10;28150
80100,10;28241
80400,10;28293
80700,10;28392
81000,10;28561
81300,10;28670
81600,10;28781
81900,10;28882
82200,10;28976
82500,10;29050
82800,10;29137
83100,10;29239
83400,10;29331
83700,10;29428
84000,10;29497
84300,10;29590
84600,10;29644
84900,10;29722
85200,10;29798
85500,10;29895
85800,10;29992
86100,10;30098
