time;num_of_active_hosts
300,10;412
600,10;47
900,10;49
1200,10;52
1500,10;50
1800,10;52
2100,10;51
2400,10;52
2700,10;49
3000,10;51
3300,10;48
3600,10;50
3900,10;48
4200,10;51
4500,10;50
4800,10;50
5100,10;47
5400,10;45
5700,10;46
6000,10;48
6300,10;50
6600,10;47
6900,10;47
7200,10;46
7500,10;49
7800,10;49
8100,10;50
8400,10;50
8700,10;47
9000,10;46
9300,10;50
9600,10;50
9900,10;43
10200,10;43
10500,10;44
10800,10;43
11100,10;40
11400,10;44
11700,10;47
12000,10;44
12300,10;45
12600,10;45
12900,10;42
13200,10;43
13500,10;44
13800,10;43
14100,10;44
14400,10;44
14700,10;47
15000,10;47
15300,10;42
15600,10;47
15900,10;42
16200,10;42
16500,10;45
16800,10;44
17100,10;47
17400,10;48
17700,10;47
18000,10;47
18300,10;47
18600,10;44
18900,10;47
19200,10;46
19500,10;48
19800,10;51
20100,10;47
20400,10;46
20700,10;47
21000,10;48
21300,10;48
21600,10;47
21900,10;48
22200,10;45
22500,10;47
22800,10;48
23100,10;49
23400,10;44
23700,10;49
24000,10;48
24300,10;48
24600,10;50
24900,10;48
25200,10;50
25500,10;50
25800,10;47
26100,10;45
26400,10;49
26700,10;45
27000,10;46
27300,10;48
27600,10;49
27900,10;45
28200,10;48
28500,10;54
28800,10;51
29100,10;51
29400,10;46
29700,10;47
30000,10;47
30300,10;48
30600,10;50
30900,10;46
31200,10;45
31500,10;47
31800,10;44
32100,10;50
32400,10;47
32700,10;52
33000,10;49
33300,10;48
33600,10;49
33900,10;51
34200,10;50
34500,10;44
34800,10;48
35100,10;49
35400,10;47
35700,10;48
36000,10;52
36300,10;46
36600,10;46
36900,10;49
37200,10;48
37500,10;49
37800,10;49
38100,10;49
38400,10;49
38700,10;46
39000,10;49
39300,10;50
39600,10;51
39900,10;47
40200,10;48
40500,10;52
40800,10;48
41100,10;48
41400,10;51
41700,10;48
42000,10;51
42300,10;48
42600,10;49
42900,10;46
43200,10;48
43500,10;49
43800,10;49
44100,10;48
44400,10;49
44700,10;49
45000,10;46
45300,10;49
45600,10;51
45900,10;51
46200,10;50
46500,10;48
46800,10;51
47100,10;50
47400,10;50
47700,10;50
48000,10;51
48300,10;50
48600,10;51
48900,10;52
49200,10;46
49500,10;48
49800,10;51
50100,10;50
50400,10;49
50700,10;50
51000,10;49
51300,10;51
51600,10;49
51900,10;49
52200,10;48
52500,10;52
52800,10;48
53100,10;49
53400,10;51
53700,10;48
54000,10;51
54300,10;49
54600,10;49
54900,10;49
55200,10;50
55500,10;51
55800,10;49
56100,10;49
56400,10;50
56700,10;52
57000,10;47
57300,10;47
57600,10;47
57900,10;47
58200,10;49
58500,10;49
58800,10;50
59100,10;49
59400,10;46
59700,10;47
60000,10;47
60300,10;47
60600,10;48
60900,10;50
61200,10;47
61500,10;47
61800,10;48
62100,10;49
62400,10;47
62700,10;48
63000,10;46
63300,10;48
63600,10;45
63900,10;44
64200,10;46
64500,10;49
64800,10;44
65100,10;45
65400,10;49
65700,10;47
66000,10;48
66300,10;48
66600,10;49
66900,10;45
67200,10;43
67500,10;44
67800,10;46
68100,10;45
68400,10;45
68700,10;46
69000,10;46
69300,10;44
69600,10;43
69900,10;42
70200,10;43
70500,10;43
70800,10;45
71100,10;42
71400,10;46
71700,10;43
72000,10;45
72300,10;41
72600,10;44
72900,10;44
73200,10;40
73500,10;45
73800,10;47
74100,10;45
74400,10;45
74700,10;43
75000,10;44
75300,10;42
75600,10;43
75900,10;46
76200,10;41
76500,10;39
76800,10;37
77100,10;45
77400,10;37
77700,10;45
78000,10;38
78300,10;40
78600,10;37
78900,10;38
79200,10;43
79500,10;42
79800,10;42
80100,10;42
80400,10;42
80700,10;42
81000,10;44
81300,10;40
81600,10;38
81900,10;42
82200,10;45
82500,10;39
82800,10;39
83100,10;41
83400,10;37
83700,10;41
84000,10;39
84300,10;39
84600,10;38
84900,10;39
85200,10;39
85500,10;40
85800,10;36
86100,10;40
