migration_time;num_of_mig
300,10;368
600,10;263
900,10;205
1200,10;165
1500,10;147
1800,10;117
2100,10;105
2400,10;99
2700,10;96
3000,10;73
3300,10;97
3600,10;92
3900,10;140
4200,10;107
4500,10;133
4800,10;129
5100,10;130
5400,10;136
5700,10;145
6000,10;145
6300,10;109
6600,10;124
6900,10;99
7200,10;153
7500,10;148
7800,10;112
8100,10;107
8400,10;73
8700,10;115
9000,10;134
9300,10;130
9600,10;100
9900,10;103
10200,10;144
10500,10;135
10800,10;102
11100,10;96
11400,10;126
11700,10;118
12000,10;124
12300,10;90
12600,10;82
12900,10;108
13200,10;96
13500,10;119
13800,10;107
14100,10;112
14400,10;103
14700,10;123
15000,10;110
15300,10;115
15600,10;106
15900,10;89
16200,10;79
16500,10;94
16800,10;84
17100,10;110
17400,10;116
17700,10;110
18000,10;93
18300,10;111
18600,10;81
18900,10;135
19200,10;121
19500,10;138
19800,10;108
20100,10;80
20400,10;99
20700,10;86
21000,10;93
21300,10;87
21600,10;102
21900,10;104
22200,10;107
22500,10;109
22800,10;136
23100,10;85
23400,10;119
23700,10;128
24000,10;63
24300,10;135
24600,10;96
24900,10;106
25200,10;136
25500,10;110
25800,10;128
26100,10;129
26400,10;84
26700,10;69
27000,10;110
27300,10;137
27600,10;116
27900,10;120
28200,10;134
28500,10;146
28800,10;105
29100,10;111
29400,10;91
29700,10;86
30000,10;109
30300,10;143
30600,10;99
30900,10;87
31200,10;101
31500,10;101
31800,10;120
32100,10;107
32400,10;91
32700,10;155
33000,10;147
33300,10;152
33600,10;128
33900,10;106
34200,10;125
34500,10;144
34800,10;101
35100,10;93
35400,10;89
35700,10;130
36000,10;100
36300,10;85
36600,10;104
36900,10;100
37200,10;89
37500,10;100
37800,10;97
38100,10;113
38400,10;96
38700,10;102
39000,10;96
39300,10;101
39600,10;107
39900,10;122
40200,10;133
40500,10;100
40800,10;96
41100,10;123
41400,10;111
41700,10;104
42000,10;101
42300,10;106
42600,10;91
42900,10;96
43200,10;104
43500,10;135
43800,10;129
44100,10;134
44400,10;116
44700,10;121
45000,10;151
45300,10;123
45600,10;103
45900,10;92
46200,10;137
46500,10;126
46800,10;127
47100,10;92
47400,10;121
47700,10;147
48000,10;93
48300,10;119
48600,10;105
48900,10;86
49200,10;97
49500,10;129
49800,10;101
50100,10;92
50400,10;112
50700,10;83
51000,10;108
51300,10;174
51600,10;149
51900,10;152
52200,10;94
52500,10;112
52800,10;134
53100,10;118
53400,10;112
53700,10;116
54000,10;121
54300,10;120
54600,10;104
54900,10;96
55200,10;131
55500,10;128
55800,10;91
56100,10;88
56400,10;124
56700,10;104
57000,10;95
57300,10;91
57600,10;105
57900,10;92
58200,10;67
58500,10;88
58800,10;84
59100,10;80
59400,10;74
59700,10;74
60000,10;90
60300,10;88
60600,10;83
60900,10;103
61200,10;127
61500,10;132
61800,10;94
62100,10;100
62400,10;106
62700,10;83
63000,10;80
63300,10;97
63600,10;69
63900,10;86
64200,10;138
64500,10;110
64800,10;111
65100,10;124
65400,10;165
65700,10;126
66000,10;93
66300,10;119
66600,10;89
66900,10;76
67200,10;108
67500,10;118
67800,10;100
68100,10;93
68400,10;88
68700,10;115
69000,10;105
69300,10;118
69600,10;112
69900,10;88
70200,10;82
70500,10;123
70800,10;151
71100,10;127
71400,10;96
71700,10;90
72000,10;108
72300,10;93
72600,10;65
72900,10;71
73200,10;83
73500,10;74
73800,10;113
74100,10;117
74400,10;93
74700,10;92
75000,10;119
75300,10;100
75600,10;127
75900,10;119
76200,10;104
76500,10;109
76800,10;114
77100,10;83
77400,10;87
77700,10;78
78000,10;77
78300,10;82
78600,10;98
78900,10;91
79200,10;94
79500,10;100
79800,10;79
80100,10;72
80400,10;111
80700,10;81
81000,10;115
81300,10;114
81600,10;93
81900,10;138
82200,10;88
82500,10;102
82800,10;109
83100,10;69
83400,10;75
83700,10;94
84000,10;75
84300,10;75
84600,10;100
84900,10;77
85200,10;103
85500,10;128
85800,10;136
86100,10;116
