migration_time;num_of_mig_cum
300,10;368
600,10;631
900,10;836
1200,10;1001
1500,10;1148
1800,10;1265
2100,10;1370
2400,10;1469
2700,10;1565
3000,10;1638
3300,10;1735
3600,10;1827
3900,10;1967
4200,10;2074
4500,10;2207
4800,10;2336
5100,10;2466
5400,10;2602
5700,10;2747
6000,10;2892
6300,10;3001
6600,10;3125
6900,10;3224
7200,10;3377
7500,10;3525
7800,10;3637
8100,10;3744
8400,10;3817
8700,10;3932
9000,10;4066
9300,10;4196
9600,10;4296
9900,10;4399
10200,10;4543
10500,10;4678
10800,10;4780
11100,10;4876
11400,10;5002
11700,10;5120
12000,10;5244
12300,10;5334
12600,10;5416
12900,10;5524
13200,10;5620
13500,10;5739
13800,10;5846
14100,10;5958
14400,10;6061
14700,10;6184
15000,10;6294
15300,10;6409
15600,10;6515
15900,10;6604
16200,10;6683
16500,10;6777
16800,10;6861
17100,10;6971
17400,10;7087
17700,10;7197
18000,10;7290
18300,10;7401
18600,10;7482
18900,10;7617
19200,10;7738
19500,10;7876
19800,10;7984
20100,10;8064
20400,10;8163
20700,10;8249
21000,10;8342
21300,10;8429
21600,10;8531
21900,10;8635
22200,10;8742
22500,10;8851
22800,10;8987
23100,10;9072
23400,10;9191
23700,10;9319
24000,10;9382
24300,10;9517
24600,10;9613
24900,10;9719
25200,10;9855
25500,10;9965
25800,10;10093
26100,10;10222
26400,10;10306
26700,10;10375
27000,10;10485
27300,10;10622
27600,10;10738
27900,10;10858
28200,10;10992
28500,10;11138
28800,10;11243
29100,10;11354
29400,10;11445
29700,10;11531
30000,10;11640
30300,10;11783
30600,10;11882
30900,10;11969
31200,10;12070
31500,10;12171
31800,10;12291
32100,10;12398
32400,10;12489
32700,10;12644
33000,10;12791
33300,10;12943
33600,10;13071
33900,10;13177
34200,10;13302
34500,10;13446
34800,10;13547
35100,10;13640
35400,10;13729
35700,10;13859
36000,10;13959
36300,10;14044
36600,10;14148
36900,10;14248
37200,10;14337
37500,10;14437
37800,10;14534
38100,10;14647
38400,10;14743
38700,10;14845
39000,10;14941
39300,10;15042
39600,10;15149
39900,10;15271
40200,10;15404
40500,10;15504
40800,10;15600
41100,10;15723
41400,10;15834
41700,10;15938
42000,10;16039
42300,10;16145
42600,10;16236
42900,10;16332
43200,10;16436
43500,10;16571
43800,10;16700
44100,10;16834
44400,10;16950
44700,10;17071
45000,10;17222
45300,10;17345
45600,10;17448
45900,10;17540
46200,10;17677
46500,10;17803
46800,10;17930
47100,10;18022
47400,10;18143
47700,10;18290
48000,10;18383
48300,10;18502
48600,10;18607
48900,10;18693
49200,10;18790
49500,10;18919
49800,10;19020
50100,10;19112
50400,10;19224
50700,10;19307
51000,10;19415
51300,10;19589
51600,10;19738
51900,10;19890
52200,10;19984
52500,10;20096
52800,10;20230
53100,10;20348
53400,10;20460
53700,10;20576
54000,10;20697
54300,10;20817
54600,10;20921
54900,10;21017
55200,10;21148
55500,10;21276
55800,10;21367
56100,10;21455
56400,10;21579
56700,10;21683
57000,10;21778
57300,10;21869
57600,10;21974
57900,10;22066
58200,10;22133
58500,10;22221
58800,10;22305
59100,10;22385
59400,10;22459
59700,10;22533
60000,10;22623
60300,10;22711
60600,10;22794
60900,10;22897
61200,10;23024
61500,10;23156
61800,10;23250
62100,10;23350
62400,10;23456
62700,10;23539
63000,10;23619
63300,10;23716
63600,10;23785
63900,10;23871
64200,10;24009
64500,10;24119
64800,10;24230
65100,10;24354
65400,10;24519
65700,10;24645
66000,10;24738
66300,10;24857
66600,10;24946
66900,10;25022
67200,10;25130
67500,10;25248
67800,10;25348
68100,10;25441
68400,10;25529
68700,10;25644
69000,10;25749
69300,10;25867
69600,10;25979
69900,10;26067
70200,10;26149
70500,10;26272
70800,10;26423
71100,10;26550
71400,10;26646
71700,10;26736
72000,10;26844
72300,10;26937
72600,10;27002
72900,10;27073
73200,10;27156
73500,10;27230
73800,10;27343
74100,10;27460
74400,10;27553
74700,10;27645
75000,10;27764
75300,10;27864
75600,10;27991
75900,10;28110
76200,10;28214
76500,10;28323
76800,10;28437
77100,10;28520
77400,10;28607
77700,10;28685
78000,10;28762
78300,10;28844
78600,10;28942
78900,10;29033
79200,10;29127
79500,10;29227
79800,10;29306
80100,10;29378
80400,10;29489
80700,10;29570
81000,10;29685
81300,10;29799
81600,10;29892
81900,10;30030
82200,10;30118
82500,10;30220
82800,10;30329
83100,10;30398
83400,10;30473
83700,10;30567
84000,10;30642
84300,10;30717
84600,10;30817
84900,10;30894
85200,10;30997
85500,10;31125
85800,10;31261
86100,10;31377
