time;num_of_active_hosts
300,10;776
600,10;321
900,10;220
1200,10;168
1500,10;132
1800,10;109
2100,10;96
2400,10;83
2700,10;73
3000,10;72
3300,10;62
3600,10;60
3900,10;61
4200,10;72
4500,10;61
4800,10;65
5100,10;56
5400,10;57
5700,10;51
6000,10;58
6300,10;68
6600,10;64
6900,10;52
7200,10;61
7500,10;90
7800,10;76
8100,10;73
8400,10;61
8700,10;74
9000,10;55
9300,10;72
9600,10;66
9900,10;58
10200,10;50
10500,10;88
10800,10;61
11100,10;49
11400,10;48
11700,10;69
12000,10;58
12300,10;56
12600,10;55
12900,10;49
13200,10;47
13500,10;64
13800,10;46
14100,10;73
14400,10;58
14700,10;84
15000,10;63
15300,10;59
15600,10;91
15900,10;59
16200,10;61
16500,10;54
16800,10;58
17100,10;53
17400,10;67
17700,10;55
18000,10;53
18300,10;53
18600,10;47
18900,10;65
19200,10;50
19500,10;76
19800,10;64
20100,10;55
20400,10;56
20700,10;54
21000,10;74
21300,10;55
21600,10;54
21900,10;74
22200,10;53
22500,10;80
22800,10;62
23100,10;63
23400,10;47
23700,10;82
24000,10;58
24300,10;56
24600,10;63
24900,10;55
25200,10;54
25500,10;59
25800,10;54
26100,10;53
26400,10;71
26700,10;58
27000,10;72
27300,10;58
27600,10;70
27900,10;53
28200,10;69
28500,10;74
28800,10;58
29100,10;58
29400,10;49
29700,10;45
30000,10;58
30300,10;57
30600,10;72
30900,10;51
31200,10;61
31500,10;51
31800,10;37
32100,10;88
32400,10;60
32700,10;83
33000,10;57
33300,10;64
33600,10;68
33900,10;62
34200,10;63
34500,10;51
34800,10;55
35100,10;47
35400,10;74
35700,10;55
36000,10;84
36300,10;55
36600,10;49
36900,10;74
37200,10;59
37500,10;61
37800,10;53
38100,10;66
38400,10;52
38700,10;56
39000,10;51
39300,10;52
39600,10;58
39900,10;55
40200,10;47
40500,10;102
40800,10;63
41100,10;64
41400,10;70
41700,10;55
42000,10;55
42300,10;53
42600,10;74
42900,10;53
43200,10;58
43500,10;60
43800,10;50
44100,10;57
44400,10;50
44700,10;50
45000,10;51
45300,10;78
45600,10;65
45900,10;67
46200,10;55
46500,10;54
46800,10;60
47100,10;54
47400,10;61
47700,10;65
48000,10;50
48300,10;63
48600,10;52
48900,10;83
49200,10;59
49500,10;56
49800,10;69
50100,10;55
50400,10;61
50700,10;57
51000,10;48
51300,10;57
51600,10;45
51900,10;74
52200,10;58
52500,10;72
52800,10;58
53100,10;72
53400,10;59
53700,10;50
54000,10;57
54300,10;54
54600,10;64
54900,10;52
55200,10;74
55500,10;59
55800,10;55
56100,10;61
56400,10;56
56700,10;64
57000,10;57
57300,10;48
57600,10;58
57900,10;55
58200,10;67
58500,10;54
58800,10;52
59100,10;70
59400,10;53
59700,10;52
60000,10;77
60300,10;55
60600,10;81
60900,10;63
61200,10;53
61500,10;53
61800,10;67
62100,10;67
62400,10;49
62700,10;70
63000,10;56
63300,10;54
63600,10;49
63900,10;60
64200,10;50
64500,10;95
64800,10;67
65100,10;57
65400,10;65
65700,10;56
66000,10;59
66300,10;56
66600,10;57
66900,10;54
67200,10;47
67500,10;58
67800,10;62
68100,10;65
68400,10;51
68700,10;55
69000,10;72
69300,10;50
69600,10;51
69900,10;40
70200,10;55
70500,10;48
70800,10;66
71100,10;50
71400,10;70
71700,10;55
72000,10;51
72300,10;38
72600,10;56
72900,10;44
73200,10;39
73500,10;74
73800,10;55
74100,10;58
74400,10;52
74700,10;46
75000,10;61
75300,10;50
75600,10;49
75900,10;73
76200,10;46
76500,10;45
76800,10;35
77100,10;77
77400,10;51
77700,10;85
78000,10;52
78300,10;45
78600,10;43
78900,10;57
79200,10;52
79500,10;45
79800,10;51
80100,10;47
80400,10;52
80700,10;41
81000,10;73
81300,10;49
81600,10;46
81900,10;53
82200,10;84
82500,10;53
82800,10;55
83100,10;58
83400,10;49
83700,10;51
84000,10;51
84300,10;45
84600,10;44
84900,10;41
85200,10;50
85500,10;64
85800,10;44
86100,10;56
