time;num_of_active_hosts
300,10;768
600,10;434
900,10;294
1200,10;216
1500,10;170
1800,10;138
2100,10;116
2400,10;101
2700,10;88
3000,10;81
3300,10;72
3600,10;65
3900,10;57
4200,10;80
4500,10;68
4800,10;68
5100,10;82
5400,10;85
5700,10;92
6000,10;74
6300,10;95
6600,10;77
6900,10;65
7200,10;84
7500,10;102
7800,10;65
8100,10;94
8400,10;77
8700,10;83
9000,10;77
9300,10;86
9600,10;90
9900,10;70
10200,10;69
10500,10;86
10800,10;88
11100,10;69
11400,10;95
11700,10;94
12000,10;62
12300,10;98
12600,10;88
12900,10;55
13200,10;81
13500,10;71
13800,10;65
14100,10;73
14400,10;83
14700,10;87
15000,10;52
15300,10;85
15600,10;107
15900,10;43
16200,10;81
16500,10;71
16800,10;78
17100,10;101
17400,10;80
17700,10;66
18000,10;86
18300,10;99
18600,10;66
18900,10;82
19200,10;59
19500,10;83
19800,10;85
20100,10;72
20400,10;91
20700,10;81
21000,10;75
21300,10;81
21600,10;66
21900,10;81
22200,10;63
22500,10;91
22800,10;94
23100,10;65
23400,10;62
23700,10;109
24000,10;58
24300,10;95
24600,10;86
24900,10;74
25200,10;71
25500,10;78
25800,10;80
26100,10;66
26400,10;104
26700,10;71
27000,10;62
27300,10;71
27600,10;89
27900,10;69
28200,10;72
28500,10;108
28800,10;79
29100,10;60
29400,10;61
29700,10;71
30000,10;75
30300,10;85
30600,10;73
30900,10;57
31200,10;82
31500,10;80
31800,10;62
32100,10;108
32400,10;83
32700,10;81
33000,10;78
33300,10;82
33600,10;79
33900,10;88
34200,10;76
34500,10;64
34800,10;99
35100,10;85
35400,10;63
35700,10;76
36000,10;93
36300,10;57
36600,10;65
36900,10;99
37200,10;83
37500,10;75
37800,10;75
38100,10;76
38400,10;79
38700,10;75
39000,10;78
39300,10;74
39600,10;91
39900,10;67
40200,10;90
40500,10;99
40800,10;65
41100,10;78
41400,10;93
41700,10;68
42000,10;88
42300,10;63
42600,10;88
42900,10;64
43200,10;80
43500,10;78
43800,10;74
44100,10;77
44400,10;78
44700,10;81
45000,10;68
45300,10;88
45600,10;69
45900,10;78
46200,10;86
46500,10;83
46800,10;87
47100,10;67
47400,10;87
47700,10;73
48000,10;78
48300,10;100
48600,10;76
48900,10;66
49200,10;55
49500,10;78
49800,10;108
50100,10;69
50400,10;66
50700,10;69
51000,10;81
51300,10;104
51600,10;72
51900,10;75
52200,10;77
52500,10;90
52800,10;61
53100,10;94
53400,10;58
53700,10;62
54000,10;99
54300,10;64
54600,10;66
54900,10;85
55200,10;86
55500,10;66
55800,10;78
56100,10;74
56400,10;92
56700,10;100
57000,10;55
57300,10;84
57600,10;64
57900,10;83
58200,10;81
58500,10;62
58800,10;78
59100,10;85
59400,10;60
59700,10;81
60000,10;80
60300,10;67
60600,10;97
60900,10;70
61200,10;59
61500,10;85
61800,10;77
62100,10;76
62400,10;72
62700,10;91
63000,10;67
63300,10;94
63600,10;50
63900,10;74
64200,10;82
64500,10;89
64800,10;49
65100,10;69
65400,10;107
65700,10;70
66000,10;69
66300,10;77
66600,10;101
66900,10;52
67200,10;52
67500,10;78
67800,10;91
68100,10;65
68400,10;80
68700,10;72
69000,10;81
69300,10;59
69600,10;70
69900,10;57
70200,10;72
70500,10;75
70800,10;80
71100,10;69
71400,10;88
71700,10;69
72000,10;69
72300,10;55
72600,10;99
72900,10;66
73200,10;49
73500,10;99
73800,10;88
74100,10;46
74400,10;73
74700,10;70
75000,10;77
75300,10;65
75600,10;57
75900,10;103
76200,10;53
76500,10;50
76800,10;41
77100,10;118
77400,10;57
77700,10;66
78000,10;41
78300,10;78
78600,10;48
78900,10;70
79200,10;85
79500,10;56
79800,10;70
80100,10;71
80400,10;67
80700,10;74
81000,10;90
81300,10;59
81600,10;49
81900,10;74
82200,10;103
82500,10;46
82800,10;56
83100,10;78
83400,10;57
83700,10;80
84000,10;55
84300,10;56
84600,10;51
84900,10;79
85200,10;62
85500,10;79
85800,10;51
86100,10;71
