time;avg_utilisation
0,00;0,0000
30,10;0,0490
60,10;0,1024
90,10;0,1533
120,10;0,1945
150,10;0,2539
180,10;0,3055
210,10;0,3616
240,10;0,3784
270,10;0,4452
300,10;0,3965
330,10;0,4750
360,10;0,4726
390,10;0,5160
420,10;0,4247
450,10;0,4079
480,10;0,3909
510,10;0,3836
540,10;0,3930
570,10;0,3812
600,10;0,3932
630,10;0,3113
660,10;0,3652
690,10;0,4387
720,10;0,5299
750,10;0,3301
780,10;0,2819
810,10;0,3732
840,10;0,3572
870,10;0,4249
900,10;0,3960
930,10;0,3139
960,10;0,3506
990,10;0,3452
1020,10;0,4650
1050,10;0,3741
1080,10;0,3722
1110,10;0,5009
1140,10;0,3685
1170,10;0,2785
1200,10;0,3494
1230,10;0,3720
1260,10;0,4465
1290,10;0,4096
1320,10;0,3964
1350,10;0,3753
1380,10;0,3538
1410,10;0,4248
1440,10;0,4042
1470,10;0,3255
1500,10;0,3586
1530,10;0,4004
1560,10;0,2647
1590,10;0,3816
1620,10;0,4489
1650,10;0,3948
1680,10;0,4406
1710,10;0,3470
1740,10;0,3638
1770,10;0,3724
1800,10;0,3746
1830,10;0,4444
1860,10;0,4961
1890,10;0,4280
1920,10;0,5031
1950,10;0,3731
1980,10;0,3106
2010,10;0,3429
2040,10;0,3676
2070,10;0,4118
2100,10;0,3676
2130,10;0,3963
2160,10;0,4223
2190,10;0,3512
2220,10;0,5150
2250,10;0,3264
2280,10;0,4078
2310,10;0,3752
2340,10;0,4405
2370,10;0,2988
2400,10;0,3572
2430,10;0,3400
2460,10;0,4169
2490,10;0,4594
2520,10;0,4020
2550,10;0,3194
2580,10;0,3535
2610,10;0,4136
2640,10;0,2991
2670,10;0,4269
2700,10;0,3786
2730,10;0,3852
2760,10;0,3257
2790,10;0,5221
2820,10;0,4530
2850,10;0,3104
2880,10;0,3804
2910,10;0,3486
2940,10;0,4856
2970,10;0,4831
3000,10;0,4165
3030,10;0,3707
3060,10;0,3823
3090,10;0,3705
3120,10;0,4226
3150,10;0,3871
3180,10;0,4971
3210,10;0,3644
3240,10;0,3897
3270,10;0,3039
3300,10;0,4349
3330,10;0,3848
3360,10;0,4184
3390,10;0,3864
3420,10;0,4637
3450,10;0,5094
3480,10;0,4002
3510,10;0,4249
3540,10;0,3683
3570,10;0,3989
3600,10;0,3068
3630,10;0,4748
3660,10;0,5062
3690,10;0,3543
3720,10;0,3924
3750,10;0,3219
3780,10;0,3827
3810,10;0,3913
3840,10;0,3651
3870,10;0,3991
3900,10;0,3789
3930,10;0,3923
3960,10;0,4143
3990,10;0,4461
4020,10;0,3192
4050,10;0,3393
4080,10;0,3829
4110,10;0,4277
4140,10;0,4071
4170,10;0,5087
4200,10;0,3406
4230,10;0,4059
4260,10;0,3385
4290,10;0,4167
4320,10;0,3999
4350,10;0,3603
4380,10;0,3692
4410,10;0,3886
4440,10;0,3996
4470,10;0,3401
4500,10;0,4259
4530,10;0,3727
4560,10;0,3861
4590,10;0,4153
4620,10;0,4416
4650,10;0,4632
4680,10;0,2994
4710,10;0,3754
4740,10;0,3520
4770,10;0,4047
4800,10;0,3891
4830,10;0,3967
4860,10;0,3858
4890,10;0,3668
4920,10;0,4263
4950,10;0,4228
4980,10;0,3539
5010,10;0,3766
5040,10;0,4084
5070,10;0,3554
5100,10;0,4335
5130,10;0,3612
5160,10;0,4790
5190,10;0,4459
5220,10;0,4919
5250,10;0,3784
5280,10;0,4706
5310,10;0,3441
5340,10;0,3752
5370,10;0,4235
5400,10;0,3754
5430,10;0,4238
5460,10;0,3119
5490,10;0,3960
5520,10;0,3789
5550,10;0,3818
5580,10;0,3864
5610,10;0,4157
5640,10;0,3622
5670,10;0,3307
5700,10;0,4778
5730,10;0,4089
5760,10;0,4703
5790,10;0,4831
5820,10;0,4257
5850,10;0,3931
5880,10;0,4517
5910,10;0,3907
5940,10;0,4138
5970,10;0,3645
6000,10;0,3571
6030,10;0,4036
6060,10;0,3309
6090,10;0,3899
6120,10;0,3871
6150,10;0,3984
6180,10;0,4058
6210,10;0,3192
6240,10;0,4205
6270,10;0,3704
6300,10;0,4402
6330,10;0,4138
6360,10;0,4706
6390,10;0,4796
6420,10;0,4075
6450,10;0,2652
6480,10;0,3446
6510,10;0,3724
6540,10;0,3124
6570,10;0,3957
6600,10;0,3909
6630,10;0,3409
6660,10;0,3459
6690,10;0,4282
6720,10;0,5491
6750,10;0,3707
6780,10;0,3620
6810,10;0,4026
6840,10;0,4708
6870,10;0,3708
6900,10;0,3847
6930,10;0,4323
6960,10;0,3658
6990,10;0,4276
7020,10;0,3692
7050,10;0,4004
7080,10;0,3321
7110,10;0,4885
7140,10;0,3329
7170,10;0,3752
7200,10;0,3243
7230,10;0,4355
7260,10;0,4044
7290,10;0,4634
7320,10;0,4637
7350,10;0,3014
7380,10;0,3432
7410,10;0,3781
7440,10;0,4300
7470,10;0,5136
7500,10;0,3830
7530,10;0,3587
7560,10;0,3906
7590,10;0,3263
7620,10;0,4122
7650,10;0,3765
7680,10;0,4129
7710,10;0,2776
7740,10;0,4624
7770,10;0,3186
7800,10;0,3685
7830,10;0,3262
7860,10;0,4517
7890,10;0,3762
7920,10;0,3865
7950,10;0,3741
7980,10;0,4186
8010,10;0,3875
8040,10;0,4460
8070,10;0,3898
8100,10;0,3341
8130,10;0,3431
8160,10;0,4869
8190,10;0,3485
8220,10;0,2513
8250,10;0,3443
8280,10;0,3918
8310,10;0,3997
8340,10;0,3875
8370,10;0,4041
8400,10;0,4470
8430,10;0,4766
8460,10;0,4642
8490,10;0,3955
8520,10;0,4424
8550,10;0,2602
8580,10;0,3569
8610,10;0,3022
8640,10;0,3644
8670,10;0,3949
8700,10;0,3409
8730,10;0,4300
8760,10;0,3985
8790,10;0,3919
8820,10;0,5198
8850,10;0,5500
8880,10;0,3766
8910,10;0,3962
8940,10;0,4006
8970,10;0,3997
9000,10;0,3281
9030,10;0,4027
9060,10;0,3415
9090,10;0,3723
9120,10;0,3303
9150,10;0,3729
9180,10;0,4310
9210,10;0,4440
9240,10;0,3642
9270,10;0,3083
9300,10;0,3879
9330,10;0,4262
9360,10;0,4813
9390,10;0,2945
9420,10;0,3471
9450,10;0,3698
9480,10;0,4296
9510,10;0,4468
9540,10;0,5288
9570,10;0,4032
9600,10;0,3121
9630,10;0,3977
9660,10;0,4987
9690,10;0,4599
9720,10;0,3379
9750,10;0,4336
9780,10;0,4395
9810,10;0,3280
9840,10;0,3911
9870,10;0,3478
9900,10;0,4734
9930,10;0,4156
9960,10;0,3870
9990,10;0,3836
10020,10;0,4676
10050,10;0,3713
10080,10;0,3629
10110,10;0,3460
10140,10;0,3832
10170,10;0,4382
10200,10;0,2906
10230,10;0,3949
10260,10;0,4699
10290,10;0,3778
10320,10;0,4379
10350,10;0,3393
10380,10;0,3618
10410,10;0,3483
10440,10;0,4679
10470,10;0,4080
10500,10;0,4959
10530,10;0,3444
10560,10;0,4738
10590,10;0,3640
10620,10;0,3187
10650,10;0,3986
10680,10;0,3681
10710,10;0,4263
10740,10;0,3861
10770,10;0,4665
10800,10;0,3699
10830,10;0,3621
10860,10;0,5189
10890,10;0,4098
10920,10;0,3986
10950,10;0,3518
10980,10;0,4920
11010,10;0,3277
11040,10;0,3818
11070,10;0,4011
11100,10;0,4134
11130,10;0,3401
11160,10;0,3699
11190,10;0,3858
11220,10;0,4064
11250,10;0,4905
11280,10;0,3037
11310,10;0,4251
11340,10;0,3805
11370,10;0,3625
11400,10;0,3295
11430,10;0,4285
11460,10;0,5317
11490,10;0,2934
11520,10;0,3756
11550,10;0,4204
11580,10;0,4628
11610,10;0,4798
11640,10;0,5034
11670,10;0,3948
11700,10;0,3568
11730,10;0,3444
11760,10;0,4029
11790,10;0,4078
11820,10;0,5912
11850,10;0,3876
11880,10;0,4614
11910,10;0,2908
11940,10;0,4357
11970,10;0,4179
12000,10;0,4289
12030,10;0,4427
12060,10;0,3857
12090,10;0,5036
12120,10;0,3474
12150,10;0,3730
12180,10;0,4015
12210,10;0,4105
12240,10;0,3347
12270,10;0,4253
12300,10;0,5328
12330,10;0,3368
12360,10;0,3177
12390,10;0,3300
12420,10;0,3470
12450,10;0,4678
12480,10;0,3776
12510,10;0,4234
12540,10;0,4183
12570,10;0,4685
12600,10;0,3864
12630,10;0,4745
12660,10;0,4370
12690,10;0,3626
12720,10;0,3718
12750,10;0,3570
12780,10;0,3194
12810,10;0,4210
12840,10;0,3359
12870,10;0,3986
12900,10;0,3716
12930,10;0,3702
12960,10;0,4675
12990,10;0,4286
13020,10;0,3455
13050,10;0,4289
13080,10;0,3592
13110,10;0,4335
13140,10;0,4793
13170,10;0,3587
13200,10;0,3462
13230,10;0,3943
13260,10;0,4000
13290,10;0,4917
13320,10;0,3898
13350,10;0,4360
13380,10;0,3464
13410,10;0,4639
13440,10;0,4240
13470,10;0,3888
13500,10;0,4280
13530,10;0,3329
13560,10;0,4896
13590,10;0,3970
13620,10;0,3665
13650,10;0,3894
13680,10;0,3987
13710,10;0,3958
13740,10;0,4338
13770,10;0,4821
13800,10;0,5049
13830,10;0,3865
13860,10;0,4150
13890,10;0,4015
13920,10;0,6065
13950,10;0,3647
13980,10;0,3367
14010,10;0,3954
14040,10;0,3591
14070,10;0,3919
14100,10;0,3939
14130,10;0,3620
14160,10;0,4835
14190,10;0,5055
14220,10;0,3734
14250,10;0,3500
14280,10;0,3603
14310,10;0,3209
14340,10;0,3784
14370,10;0,4280
14400,10;0,3847
14430,10;0,4949
14460,10;0,3782
14490,10;0,3851
14520,10;0,4158
14550,10;0,4158
14580,10;0,4350
14610,10;0,4249
14640,10;0,3676
14670,10;0,4055
14700,10;0,3491
14730,10;0,3977
14760,10;0,4049
14790,10;0,3774
14820,10;0,4171
14850,10;0,3560
14880,10;0,3625
14910,10;0,3619
14940,10;0,4028
14970,10;0,3906
15000,10;0,4481
15030,10;0,4710
15060,10;0,3950
15090,10;0,3758
15120,10;0,4097
15150,10;0,4713
15180,10;0,3270
15210,10;0,4064
15240,10;0,4093
15270,10;0,4747
15300,10;0,3042
15330,10;0,3956
15360,10;0,5447
15390,10;0,4069
15420,10;0,3117
15450,10;0,3322
15480,10;0,4062
15510,10;0,4334
15540,10;0,3671
15570,10;0,4645
15600,10;0,3978
15630,10;0,4493
15660,10;0,4071
15690,10;0,4360
15720,10;0,3295
15750,10;0,3708
15780,10;0,3709
15810,10;0,3729
15840,10;0,3701
15870,10;0,4885
15900,10;0,3412
15930,10;0,3794
15960,10;0,4970
15990,10;0,4084
16020,10;0,3413
16050,10;0,4473
16080,10;0,4328
16110,10;0,4759
16140,10;0,4316
16170,10;0,3856
16200,10;0,3939
16230,10;0,2935
16260,10;0,4036
16290,10;0,4661
16320,10;0,5448
16350,10;0,2511
16380,10;0,4120
16410,10;0,3195
16440,10;0,4640
16470,10;0,4385
16500,10;0,5075
16530,10;0,4211
16560,10;0,3128
16590,10;0,3335
16620,10;0,3722
16650,10;0,4072
16680,10;0,3907
16710,10;0,3860
16740,10;0,3183
16770,10;0,3667
16800,10;0,4762
16830,10;0,3885
16860,10;0,2771
16890,10;0,4243
16920,10;0,4639
16950,10;0,3247
16980,10;0,3826
17010,10;0,3451
17040,10;0,4298
17070,10;0,3767
17100,10;0,5026
17130,10;0,3496
17160,10;0,4241
17190,10;0,3030
17220,10;0,5039
17250,10;0,3450
17280,10;0,3672
