migration_time;num_of_mig_cum
300,10;14
600,10;21
900,10;24
1200,10;30
1800,10;39
2100,10;44
2400,10;48
2700,10;52
3000,10;57
3300,10;62
3600,10;79
4800,10;86
5100,10;88
5400,10;95
5700,10;100
6000,10;103
6600,10;106
6900,10;112
7500,10;115
7800,10;120
9300,10;124
9600,10;128
9900,10;131
10200,10;133
10500,10;135
10800,10;136
11100,10;137
12300,10;138
12600,10;151
12900,10;152
13500,10;153
13800,10;154
14100,10;157
14400,10;170
15300,10;178
15900,10;179
16500,10;180
16800,10;182
17100,10;184
17400,10;185
17700,10;188
18300,10;191
18600,10;193
20100,10;195
20400,10;198
21300,10;199
21600,10;200
25500,10;204
25800,10;208
26100,10;211
26400,10;214
26700,10;217
27000,10;219
27300,10;222
27600,10;232
28500,10;239
28800,10;244
29100,10;247
29400,10;249
31800,10;250
32100,10;251
32400,10;254
33000,10;255
33600,10;256
34200,10;257
34800,10;258
35100,10;259
35400,10;260
36000,10;261
36600,10;262
36900,10;275
37200,10;277
37500,10;278
38400,10;279
38700,10;280
39600,10;282
39900,10;283
40500,10;287
40800,10;290
41100,10;292
42300,10;293
42600,10;294
43200,10;295
43500,10;296
43800,10;297
44100,10;298
44400,10;302
45300,10;303
45600,10;304
45900,10;306
46200,10;319
47100,10;320
47400,10;322
47700,10;324
48000,10;326
48300,10;328
48600,10;329
49200,10;331
49500,10;332
49800,10;333
50100,10;346
50400,10;348
50700,10;349
55800,10;351
56100,10;352
56400,10;354
56700,10;356
57600,10;357
57900,10;358
58500,10;361
58800,10;365
59100,10;377
60300,10;384
60600,10;388
60900,10;400
61200,10;407
61500,10;409
61800,10;410
62400,10;411
62700,10;412
63000,10;414
63300,10;418
63600,10;422
63900,10;424
64200,10;437
64800,10;439
65100,10;440
65700,10;442
66000,10;444
68400,10;446
69000,10;451
69300,10;454
69600,10;456
69900,10;459
70200,10;461
70500,10;462
71100,10;463
71400,10;464
72900,10;465
73200,10;468
73500,10;470
73800,10;472
74100,10;484
74400,10;485
74700,10;486
75000,10;499
75300,10;500
75600,10;501
75900,10;502
76500,10;505
76800,10;517
77100,10;523
77400,10;524
77700,10;525
78900,10;526
79500,10;527
79800,10;529
80100,10;542
80400,10;543
80700,10;544
81000,10;545
81300,10;547
81600,10;548
81900,10;549
83100,10;550
83400,10;551
86100,10;552
