migration_time;num_of_mig
300,10;18
600,10;3
3000,10;12
3300,10;6
3600,10;17
3900,10;1
4200,10;1
4500,10;2
4800,10;9
6900,10;1
7200,10;1
7800,10;1
8100,10;1
12300,10;1
12600,10;1
14100,10;2
14400,10;8
14700,10;3
15000,10;8
17700,10;6
18000,10;2
18300,10;5
18600,10;5
21300,10;2
21600,10;7
22500,10;1
22800,10;1
28200,10;2
28500,10;3
28800,10;1
29100,10;1
31800,10;1
32100,10;1
33900,10;4
34200,10;1
34500,10;1
34800,10;1
36600,10;1
36900,10;1
39000,10;1
39300,10;1
39600,10;3
39900,10;2
40200,10;1
40500,10;3
40800,10;4
44400,10;5
44700,10;1
45900,10;2
46200,10;2
47400,10;2
47700,10;4
48300,10;1
48600,10;1
50400,10;1
50700,10;1
54900,10;1
55200,10;1
63600,10;5
63900,10;3
64200,10;2
64800,10;1
65100,10;2
65400,10;1
68400,10;5
68700,10;1
69000,10;4
69300,10;4
77700,10;5
78300,10;1
78900,10;2
79200,10;2
80700,10;1
81000,10;1
81900,10;4
82200,10;1
84300,10;1
84600,10;1
84900,10;1
85200,10;1
85800,10;2
86100,10;2
