migration_time;num_of_mig_cum
300,10;18
600,10;21
900,10;21
1200,10;21
1500,10;21
1800,10;21
2100,10;21
2400,10;21
2700,10;21
3000,10;33
3300,10;39
3600,10;56
3900,10;57
4200,10;58
4500,10;60
4800,10;69
5100,10;69
5400,10;69
5700,10;69
6000,10;69
6300,10;69
6600,10;69
6900,10;70
7200,10;71
7500,10;71
7800,10;72
8100,10;73
8400,10;73
8700,10;73
9000,10;73
9300,10;73
9600,10;73
9900,10;73
10200,10;73
10500,10;73
10800,10;73
11100,10;73
11400,10;73
11700,10;73
12000,10;73
12300,10;74
12600,10;75
12900,10;75
13200,10;75
13500,10;75
13800,10;75
14100,10;77
14400,10;85
14700,10;88
15000,10;96
15300,10;96
15600,10;96
15900,10;96
16200,10;96
16500,10;96
16800,10;96
17100,10;96
17400,10;96
17700,10;102
18000,10;104
18300,10;109
18600,10;114
18900,10;114
19200,10;114
19500,10;114
19800,10;114
20100,10;114
20400,10;114
20700,10;114
21000,10;114
21300,10;116
21600,10;123
21900,10;123
22200,10;123
22500,10;124
22800,10;125
23100,10;125
23400,10;125
23700,10;125
24000,10;125
24300,10;125
24600,10;125
24900,10;125
25200,10;125
25500,10;125
25800,10;125
26100,10;125
26400,10;125
26700,10;125
27000,10;125
27300,10;125
27600,10;125
27900,10;125
28200,10;127
28500,10;130
28800,10;131
29100,10;132
29400,10;132
29700,10;132
30000,10;132
30300,10;132
30600,10;132
30900,10;132
31200,10;132
31500,10;132
31800,10;133
32100,10;134
32400,10;134
32700,10;134
33000,10;134
33300,10;134
33600,10;134
33900,10;138
34200,10;139
34500,10;140
34800,10;141
35100,10;141
35400,10;141
35700,10;141
36000,10;141
36300,10;141
36600,10;142
36900,10;143
37200,10;143
37500,10;143
37800,10;143
38100,10;143
38400,10;143
38700,10;143
39000,10;144
39300,10;145
39600,10;148
39900,10;150
40200,10;151
40500,10;154
40800,10;158
41100,10;158
41400,10;158
41700,10;158
42000,10;158
42300,10;158
42600,10;158
42900,10;158
43200,10;158
43500,10;158
43800,10;158
44100,10;158
44400,10;163
44700,10;164
45000,10;164
45300,10;164
45600,10;164
45900,10;166
46200,10;168
46500,10;168
46800,10;168
47100,10;168
47400,10;170
47700,10;174
48000,10;174
48300,10;175
48600,10;176
48900,10;176
49200,10;176
49500,10;176
49800,10;176
50100,10;176
50400,10;177
50700,10;178
51000,10;178
51300,10;178
51600,10;178
51900,10;178
52200,10;178
52500,10;178
52800,10;178
53100,10;178
53400,10;178
53700,10;178
54000,10;178
54300,10;178
54600,10;178
54900,10;179
55200,10;180
55500,10;180
55800,10;180
56100,10;180
56400,10;180
56700,10;180
57000,10;180
57300,10;180
57600,10;180
57900,10;180
58200,10;180
58500,10;180
58800,10;180
59100,10;180
59400,10;180
59700,10;180
60000,10;180
60300,10;180
60600,10;180
60900,10;180
61200,10;180
61500,10;180
61800,10;180
62100,10;180
62400,10;180
62700,10;180
63000,10;180
63300,10;180
63600,10;185
63900,10;188
64200,10;190
64500,10;190
64800,10;191
65100,10;193
65400,10;194
65700,10;194
66000,10;194
66300,10;194
66600,10;194
66900,10;194
67200,10;194
67500,10;194
67800,10;194
68100,10;194
68400,10;199
68700,10;200
69000,10;204
69300,10;208
69600,10;208
69900,10;208
70200,10;208
70500,10;208
70800,10;208
71100,10;208
71400,10;208
71700,10;208
72000,10;208
72300,10;208
72600,10;208
72900,10;208
73200,10;208
73500,10;208
73800,10;208
74100,10;208
74400,10;208
74700,10;208
75000,10;208
75300,10;208
75600,10;208
75900,10;208
76200,10;208
76500,10;208
76800,10;208
77100,10;208
77400,10;208
77700,10;213
78000,10;213
78300,10;214
78600,10;214
78900,10;216
79200,10;218
79500,10;218
79800,10;218
80100,10;218
80400,10;218
80700,10;219
81000,10;220
81300,10;220
81600,10;220
81900,10;224
82200,10;225
82500,10;225
82800,10;225
83100,10;225
83400,10;225
83700,10;225
84000,10;225
84300,10;226
84600,10;227
84900,10;228
85200,10;229
85500,10;229
85800,10;231
86100,10;233
