time;num_of_active_hosts
300,10;15
600,10;8
900,10;5
1200,10;3
1500,10;2
1800,10;2
2100,10;1
2400,10;5
2700,10;2
3000,10;5
3300,10;2
3600,10;3
3900,10;2
4200,10;2
4500,10;2
4800,10;2
5100,10;1
5400,10;5
5700,10;5
6000,10;3
6300,10;2
6600,10;2
6900,10;4
7200,10;2
7500,10;2
7800,10;2
8100,10;2
8400,10;2
8700,10;2
9000,10;2
9300,10;2
9600,10;1
9900,10;5
10200,10;2
10500,10;3
10800,10;2
11100,10;4
11400,10;2
11700,10;2
12000,10;2
12300,10;3
12600,10;4
12900,10;2
13200,10;2
13500,10;2
13800,10;2
14100,10;2
14400,10;3
14700,10;2
15000,10;2
15300,10;2
15600,10;1
15900,10;1
16200,10;2
16500,10;2
16800,10;1
17100,10;3
17400,10;3
17700,10;2
18000,10;1
18300,10;1
18600,10;4
18900,10;2
19200,10;2
19500,10;2
19800,10;2
20100,10;2
20400,10;4
20700,10;2
21000,10;2
21300,10;2
21600,10;2
21900,10;3
22200,10;2
22500,10;2
22800,10;2
23100,10;2
23400,10;2
23700,10;2
24000,10;2
24300,10;2
24600,10;2
24900,10;2
25200,10;2
25500,10;2
25800,10;1
26100,10;5
26400,10;2
26700,10;1
27000,10;4
27300,10;2
27600,10;6
27900,10;3
28200,10;2
28500,10;4
28800,10;2
29100,10;2
29400,10;2
29700,10;2
30000,10;2
30300,10;2
30600,10;2
30900,10;2
31200,10;2
31500,10;2
31800,10;2
32100,10;3
32400,10;2
32700,10;1
33000,10;1
33300,10;2
33600,10;2
33900,10;1
34200,10;1
34500,10;2
34800,10;2
35100,10;1
35400,10;2
35700,10;1
36000,10;1
36300,10;2
36600,10;2
36900,10;3
37200,10;1
37500,10;3
37800,10;2
38100,10;2
38400,10;2
38700,10;3
39000,10;2
39300,10;2
39600,10;2
39900,10;1
40200,10;2
40500,10;2
40800,10;6
41100,10;3
41400,10;2
41700,10;2
42000,10;2
42300,10;2
42600,10;2
42900,10;2
43200,10;2
43500,10;2
43800,10;2
44100,10;2
44400,10;2
44700,10;1
45000,10;1
45300,10;1
45600,10;2
45900,10;1
46200,10;3
46500,10;1
46800,10;1
47100,10;1
47400,10;2
47700,10;4
48000,10;2
48300,10;1
48600,10;3
48900,10;2
49200,10;2
49500,10;1
49800,10;2
50100,10;3
50400,10;1
50700,10;3
51000,10;2
51300,10;2
51600,10;2
51900,10;3
52200,10;2
52500,10;2
52800,10;2
53100,10;3
53400,10;2
53700,10;3
54000,10;2
54300,10;2
54600,10;2
54900,10;2
55200,10;3
55500,10;2
55800,10;2
56100,10;1
56400,10;2
56700,10;4
57000,10;2
57300,10;2
57600,10;2
57900,10;3
58200,10;2
58500,10;2
58800,10;1
59100,10;5
59400,10;2
59700,10;2
60000,10;2
60300,10;2
60600,10;1
60900,10;5
61200,10;2
61500,10;1
61800,10;3
62100,10;2
62400,10;2
62700,10;3
63000,10;2
63300,10;5
63600,10;2
63900,10;1
64200,10;3
64500,10;1
64800,10;1
65100,10;3
65400,10;2
65700,10;2
66000,10;4
66300,10;2
66600,10;2
66900,10;2
67200,10;2
67500,10;2
67800,10;2
68100,10;2
68400,10;2
68700,10;1
69000,10;1
69300,10;6
69600,10;3
69900,10;2
70200,10;1
70500,10;3
70800,10;2
71100,10;2
71400,10;3
71700,10;2
72000,10;2
72300,10;2
72600,10;2
72900,10;2
73200,10;1
73500,10;4
73800,10;2
74100,10;3
74400,10;1
74700,10;2
75000,10;3
75300,10;1
75600,10;2
75900,10;1
76200,10;2
76500,10;2
76800,10;5
77100,10;2
77400,10;1
77700,10;2
78000,10;1
78300,10;1
78600,10;1
78900,10;1
79200,10;2
79500,10;2
79800,10;1
80100,10;3
80400,10;1
80700,10;2
81000,10;3
81300,10;2
81600,10;1
81900,10;2
82200,10;1
82500,10;1
82800,10;1
83100,10;1
83400,10;2
83700,10;1
84000,10;1
84300,10;1
84600,10;1
84900,10;1
85200,10;1
85500,10;1
85800,10;1
86100,10;1
