time;avg_utilisation
0,00;0,0000
300,10;0,0677
600,10;0,1408
900,10;0,2184
1200,10;0,3406
1500,10;0,4033
1800,10;0,5647
2100,10;0,7207
2400,10;0,3473
2700,10;0,7231
3000,10;0,5700
3300,10;0,8306
3600,10;0,6741
3900,10;0,8165
4200,10;0,4882
4500,10;0,7426
4800,10;0,6405
5100,10;0,6902
5400,10;0,8346
5700,10;0,6257
6000,10;0,8393
6300,10;0,7044
6600,10;0,8931
6900,10;0,3947
7200,10;0,2946
7500,10;0,7289
7800,10;0,7903
8100,10;0,4198
8400,10;0,5953
8700,10;0,6117
9000,10;0,6707
9300,10;0,5382
9600,10;0,5686
9900,10;0,4701
10200,10;0,6088
10500,10;0,6623
10800,10;0,6669
11100,10;0,6526
11400,10;0,6258
11700,10;0,7182
12000,10;0,4279
12300,10;0,7467
12600,10;0,4885
12900,10;0,9821
13200,10;0,5293
13500,10;0,5919
13800,10;0,3734
14100,10;0,7051
14400,10;0,2923
14700,10;0,5893
15000,10;0,6804
15300,10;0,4910
15600,10;0,8205
15900,10;0,9483
16200,10;0,5429
16500,10;0,4575
16800,10;0,9408
17100,10;0,3761
17400,10;0,3554
17700,10;0,4127
18000,10;0,8807
18300,10;0,9983
18600,10;0,2316
18900,10;0,5180
19200,10;0,4966
19500,10;0,4870
19800,10;0,5005
20100,10;0,5877
20400,10;0,3775
20700,10;0,5771
21000,10;0,5337
21300,10;0,7221
21600,10;0,6299
21900,10;0,5080
22200,10;0,6878
22500,10;0,6827
22800,10;0,5859
23100,10;0,5410
23400,10;0,5099
23700,10;0,5395
24000,10;0,5674
24300,10;0,5431
24600,10;0,5690
24900,10;0,5909
25200,10;0,6188
25500,10;0,4697
25800,10;0,9987
26100,10;0,2157
26400,10;0,6163
26700,10;0,7466
27000,10;0,7352
27300,10;0,8192
27600,10;0,4546
27900,10;0,8301
28200,10;0,3994
28500,10;0,5237
28800,10;0,9987
29100,10;0,2203
29400,10;0,8172
29700,10;0,5134
30000,10;0,7493
30300,10;0,7218
30600,10;0,6922
30900,10;0,8185
31200,10;0,6513
31500,10;0,8065
31800,10;0,9233
32100,10;0,2547
32400,10;0,5068
32700,10;0,8206
33000,10;0,9991
33300,10;0,5290
33600,10;0,4482
33900,10;0,7604
34200,10;0,9023
34500,10;0,4992
34800,10;0,4235
35100,10;0,9314
35400,10;0,4666
35700,10;0,8807
36000,10;0,9991
36300,10;0,5415
36600,10;0,5912
36900,10;0,3104
37200,10;0,6349
37500,10;0,5305
37800,10;0,5479
38100,10;0,5318
38400,10;0,5947
38700,10;0,6121
39000,10;0,6741
39300,10;0,6204
39600,10;0,4381
39900,10;0,9211
40200,10;0,5144
40500,10;0,5800
40800,10;0,1782
41100,10;0,6613
41400,10;0,6479
41700,10;0,6754
42000,10;0,7218
42300,10;0,7654
42600,10;0,7399
42900,10;0,6936
43200,10;0,7802
43500,10;0,4721
43800,10;0,7574
44100,10;0,6653
44400,10;0,5067
44700,10;0,5941
45000,10;0,6425
45300,10;0,6519
45600,10;0,6022
45900,10;0,7459
46200,10;0,6263
46500,10;0,5901
46800,10;0,6297
47100,10;0,7070
47400,10;0,8541
47700,10;0,3682
48000,10;0,4917
48300,10;0,6409
48600,10;0,6384
48900,10;0,5508
49200,10;0,5024
49500,10;0,5514
49800,10;0,6302
50100,10;0,5182
50400,10;0,6086
50700,10;0,5964
51000,10;0,5815
51300,10;0,5063
51600,10;0,6648
51900,10;0,5655
52200,10;0,5406
52500,10;0,5476
52800,10;0,6411
53100,10;0,5811
53400,10;0,6424
53700,10;0,5962
54000,10;0,6042
54300,10;0,5741
54600,10;0,5736
54900,10;0,6468
55200,10;0,5799
55500,10;0,5248
55800,10;0,4825
56100,10;0,5485
56400,10;0,6092
56700,10;0,5768
57000,10;0,5972
57300,10;0,5353
57600,10;0,7225
57900,10;0,7466
58200,10;0,6211
58500,10;0,5222
58800,10;0,6814
59100,10;0,6366
59400,10;0,5310
59700,10;0,5522
60000,10;0,6298
60300,10;0,5357
60600,10;0,6701
60900,10;0,4925
61200,10;0,4891
61500,10;0,9887
61800,10;0,3634
62100,10;0,5662
62400,10;0,5215
62700,10;0,3403
63000,10;0,6515
63300,10;0,2543
63600,10;0,4036
63900,10;0,9718
64200,10;0,2823
64500,10;0,4850
64800,10;0,9987
65100,10;0,3967
65400,10;0,5521
65700,10;0,5969
66000,10;0,3156
66300,10;0,5361
66600,10;0,5654
66900,10;0,5647
67200,10;0,5527
67500,10;0,5438
67800,10;0,5819
68100,10;0,5946
68400,10;0,4273
68700,10;0,8930
69000,10;0,9991
69300,10;0,2098
69600,10;0,5854
69900,10;0,6197
70200,10;0,7426
70500,10;0,7245
70800,10;0,7211
71100,10;0,7547
71400,10;0,4501
71700,10;0,6956
72000,10;0,6741
72300,10;0,7218
72600,10;0,7540
72900,10;0,6096
73200,10;0,6928
73500,10;0,5961
73800,10;0,7392
74100,10;0,6371
74400,10;0,6445
74700,10;0,7023
75000,10;0,6096
75300,10;0,7029
75600,10;0,6196
75900,10;0,6862
76200,10;0,6801
76500,10;0,7601
76800,10;0,5044
77100,10;0,6270
77400,10;0,6982
77700,10;0,5262
78000,10;0,5417
78300,10;0,6149
78600,10;0,6391
78900,10;0,7063
79200,10;0,7083
79500,10;0,6338
79800,10;0,7130
80100,10;0,6398
80400,10;0,6875
80700,10;0,7668
81000,10;0,7170
81300,10;0,6217
81600,10;0,6828
81900,10;0,5632
82200,10;0,5961
82500,10;0,6290
82800,10;0,6344
83100,10;0,6673
83400,10;0,5739
83700,10;0,6109
84000,10;0,5981
84300,10;0,5155
84600,10;0,6337
84900,10;0,6290
85200,10;0,5934
85500,10;0,5981
85800,10;0,5686
86100,10;0,7758
