migration_time;num_of_mig
300,10;11
600,10;7
900,10;7
1200,10;5
1500,10;6
2100,10;2
2400,10;10
3900,10;1
4200,10;1
6600,10;2
6900,10;10
7200,10;8
7800,10;1
8100,10;1
11700,10;1
12000,10;1
12600,10;7
12900,10;1
13500,10;1
13800,10;1
14100,10;2
14400,10;3
15300,10;4
15900,10;1
16500,10;1
16800,10;2
17100,10;2
17400,10;1
17700,10;3
18300,10;3
18600,10;2
20100,10;1
20400,10;1
25500,10;4
25800,10;4
26100,10;13
27300,10;2
27600,10;1
27900,10;2
28200,10;6
28500,10;7
28800,10;5
29100,10;12
29400,10;1
29700,10;1
31800,10;3
32100,10;6
32400,10;7
33000,10;1
33600,10;1
34200,10;1
34800,10;1
35100,10;1
35400,10;1
36000,10;1
36600,10;1
36900,10;1
39600,10;2
39900,10;1
40500,10;4
40800,10;12
43200,10;1
43500,10;1
47400,10;2
47700,10;8
61200,10;7
61500,10;2
61800,10;1
62400,10;1
62700,10;1
63000,10;2
63300,10;4
63600,10;5
63900,10;2
64200,10;1
64500,10;2
64800,10;2
65100,10;1
65700,10;1
66000,10;1
68400,10;3
69000,10;5
69300,10;12
71100,10;1
71400,10;1
76500,10;1
76800,10;1
86100,10;1
