time;avg_utilisation
0,00;0,0000
300,10;0,0677
600,10;0,1797
900,10;0,2841
1200,10;0,3922
1500,10;0,5094
1800,10;0,4418
2100,10;0,5860
2400,10;0,5498
2700,10;0,5056
3000,10;0,3986
3300,10;0,9987
3600,10;0,1571
3900,10;0,5709
4200,10;0,5160
4500,10;0,5192
4800,10;0,4478
5100,10;0,4826
5400,10;0,5836
5700,10;0,4375
6000,10;0,5869
6300,10;0,4925
6600,10;0,6245
6900,10;0,5691
7200,10;0,4916
7500,10;0,6048
7800,10;0,6541
8100,10;0,5310
8400,10;0,5005
8700,10;0,5141
9000,10;0,5578
9300,10;0,4436
9600,10;0,4751
9900,10;0,3915
10200,10;0,9987
10500,10;0,1815
10800,10;0,5461
11100,10;0,5446
11400,10;0,5306
11700,10;0,5719
12000,10;0,5428
12300,10;0,6188
12600,10;0,4187
12900,10;0,4911
13200,10;0,4986
13500,10;0,5658
13800,10;0,5104
14100,10;0,6780
14400,10;0,3271
14700,10;0,5141
15000,10;0,5878
15300,10;0,2854
15600,10;0,4103
15900,10;0,4742
16200,10;0,5122
16500,10;0,4272
16800,10;0,4704
17100,10;0,5310
17400,10;0,4967
17700,10;0,3609
18000,10;0,8807
18300,10;0,3405
18600,10;0,1769
18900,10;0,4901
19200,10;0,4685
19500,10;0,4591
19800,10;0,4714
20100,10;0,5536
20400,10;0,5042
20700,10;0,5155
21000,10;0,4775
21300,10;0,6287
21600,10;0,5747
21900,10;0,4657
22200,10;0,6043
22500,10;0,5987
22800,10;0,5103
23100,10;0,4967
23400,10;0,4582
23700,10;0,4892
24000,10;0,5183
24300,10;0,4845
24600,10;0,5263
24900,10;0,5085
25200,10;0,5465
25500,10;0,4263
25800,10;0,5155
26100,10;0,4934
26400,10;0,4310
26700,10;0,5221
27000,10;0,5141
27300,10;0,5728
27600,10;0,4808
27900,10;0,5912
28200,10;0,6052
28500,10;0,4451
28800,10;0,6123
29100,10;0,5771
29400,10;0,5714
29700,10;0,5597
30000,10;0,5240
30300,10;0,5047
30600,10;0,4841
30900,10;0,5723
31200,10;0,4554
31500,10;0,5639
31800,10;0,6456
32100,10;0,4643
32400,10;0,4375
32700,10;0,4103
33000,10;0,5240
33300,10;0,5037
33600,10;0,4300
33900,10;0,3802
34200,10;0,9023
34500,10;0,4699
34800,10;0,2682
35100,10;0,4657
35400,10;0,2982
35700,10;0,4403
36000,10;0,4995
36300,10;0,5122
36600,10;0,5629
36900,10;0,2848
37200,10;0,5672
37500,10;0,4779
37800,10;0,4882
38100,10;0,4742
38400,10;0,5310
38700,10;0,5545
39000,10;0,5902
39300,10;0,5577
39600,10;0,3966
39900,10;0,9211
40200,10;0,3274
40500,10;0,5977
40800,10;0,1917
41100,10;0,4624
41400,10;0,4530
41700,10;0,4723
42000,10;0,3365
42300,10;0,5352
42600,10;0,5174
42900,10;0,3233
43200,10;0,5456
43500,10;0,5305
43800,10;0,5296
44100,10;0,4652
44400,10;0,3543
44700,10;0,8308
45000,10;0,4493
45300,10;0,4558
45600,10;0,4211
45900,10;0,5216
46200,10;0,2190
46500,10;0,4126
46800,10;0,4403
47100,10;0,4944
47400,10;0,2986
47700,10;0,2650
48000,10;0,4131
48300,10;0,5724
48600,10;0,5507
48900,10;0,4802
49200,10;0,4098
49500,10;0,4742
49800,10;0,5249
50100,10;0,4319
50400,10;0,5319
50700,10;0,4868
51000,10;0,4817
51300,10;0,4507
51600,10;0,5728
51900,10;0,4803
52200,10;0,4568
52500,10;0,4615
52800,10;0,5319
53100,10;0,4916
53400,10;0,5540
53700,10;0,4925
54000,10;0,4920
54300,10;0,4751
54600,10;0,4911
54900,10;0,5803
55200,10;0,4835
55500,10;0,4549
55800,10;0,4018
56100,10;0,4826
56400,10;0,5080
56700,10;0,4986
57000,10;0,5113
57300,10;0,4559
57600,10;0,5963
57900,10;0,6334
58200,10;0,5249
58500,10;0,4343
58800,10;0,5756
59100,10;0,5263
59400,10;0,4544
59700,10;0,4714
60000,10;0,5277
60300,10;0,4455
60600,10;0,5695
60900,10;0,4173
61200,10;0,4159
61500,10;0,4944
61800,10;0,5150
62100,10;0,5268
62400,10;0,5023
62700,10;0,4690
63000,10;0,5996
63300,10;0,4605
63600,10;0,3680
63900,10;0,9718
64200,10;0,2030
64500,10;0,4418
64800,10;0,5910
65100,10;0,2627
65400,10;0,3243
65700,10;0,5761
66000,10;0,2779
66300,10;0,4634
66600,10;0,4906
66900,10;0,4868
67200,10;0,4840
67500,10;0,4690
67800,10;0,5000
68100,10;0,5117
68400,10;0,3788
68700,10;0,8930
69000,10;0,5912
69300,10;0,1807
69600,10;0,2729
69900,10;0,4333
70200,10;0,5193
70500,10;0,3377
70800,10;0,5042
71100,10;0,5277
71400,10;0,3211
71700,10;0,4864
72000,10;0,3142
72300,10;0,5047
72600,10;0,2636
72900,10;0,4262
73200,10;0,4845
73500,10;0,4169
73800,10;0,5169
74100,10;0,4455
74400,10;0,4507
74700,10;0,4910
75000,10;0,4262
75300,10;0,4915
75600,10;0,4333
75900,10;0,4798
76200,10;0,4756
76500,10;0,5334
76800,10;0,5474
77100,10;0,2923
77400,10;0,4882
77700,10;0,3680
78000,10;0,7576
78300,10;0,8600
78600,10;0,4469
78900,10;0,4939
79200,10;0,2476
79500,10;0,4432
79800,10;0,4986
80100,10;0,4474
80400,10;0,4808
80700,10;0,5362
81000,10;0,3343
81300,10;0,4347
81600,10;0,4774
81900,10;0,3938
82200,10;0,8337
82500,10;0,4399
82800,10;0,4436
83100,10;0,4666
83400,10;0,4013
83700,10;0,4272
84000,10;0,4182
84300,10;0,3605
84600,10;0,8863
84900,10;0,4398
85200,10;0,2766
85500,10;0,4182
85800,10;0,3976
86100,10;0,9987
