time;power
300,00;6,6145
600,00;6,1104
900,00;6,1171
1200,00;6,1164
1500,00;6,1167
1800,00;6,1167
2100,00;6,1174
2400,00;6,1138
2700,00;6,1117
3000,00;6,1084
3300,00;6,1088
3600,00;6,1077
3900,00;6,1086
4200,00;6,1106
4500,00;6,1110
4800,00;6,1081
5100,00;6,1032
5400,00;6,1031
5700,00;6,1036
6000,00;6,1059
6300,00;6,1064
6600,00;6,1030
6900,00;6,1004
7200,00;6,1023
7500,00;6,1066
7800,00;6,1085
8100,00;6,1095
8400,00;6,1064
8700,00;6,1040
9000,00;6,1056
9300,00;6,1087
9600,00;6,1046
9900,00;6,0980
10200,00;6,0990
10500,00;6,0998
10800,00;6,0953
11100,00;6,0946
11400,00;6,1002
11700,00;6,0992
12000,00;6,0994
12300,00;6,0996
12600,00;6,0969
12900,00;6,0946
13200,00;6,0948
13500,00;6,0934
13800,00;6,0954
14100,00;6,0987
14400,00;6,1020
14700,00;6,1018
15000,00;6,0983
15300,00;6,1008
15600,00;6,0982
15900,00;6,0930
16200,00;6,0957
16500,00;6,0986
16800,00;6,1000
17100,00;6,1036
17400,00;6,1035
17700,00;6,1018
18000,00;6,1025
18300,00;6,1012
18600,00;6,1015
18900,00;6,1010
19200,00;6,1024
19500,00;6,1068
19800,00;6,1039
20100,00;6,0996
20400,00;6,0992
20700,00;6,1010
21000,00;6,1045
21300,00;6,1026
21600,00;6,1032
21900,00;6,1001
22200,00;6,0998
22500,00;6,1055
22800,00;6,1073
23100,00;6,1038
23400,00;6,1053
23700,00;6,1051
24000,00;6,1042
24300,00;6,1066
24600,00;6,1051
24900,00;6,1037
25200,00;6,1032
25500,00;6,1013
25800,00;6,1000
26100,00;6,1021
26400,00;6,1031
26700,00;6,1014
27000,00;6,1029
27300,00;6,1047
27600,00;6,1026
27900,00;6,1018
28200,00;6,1106
28500,00;6,1114
28800,00;6,1087
29100,00;6,1037
29400,00;6,1019
29700,00;6,1020
30000,00;6,1036
30300,00;6,1057
30600,00;6,1040
30900,00;6,1019
31200,00;6,1021
31500,00;6,0977
31800,00;6,0993
32100,00;6,1019
32400,00;6,1038
32700,00;6,1061
33000,00;6,1033
33300,00;6,1057
33600,00;6,1065
33900,00;6,1053
34200,00;6,1002
34500,00;6,1005
34800,00;6,1014
35100,00;6,1012
35400,00;6,1021
35700,00;6,1058
36000,00;6,1052
36300,00;6,0997
36600,00;6,1020
36900,00;6,1035
37200,00;6,1045
37500,00;6,1044
37800,00;6,1042
38100,00;6,1039
38400,00;6,1021
38700,00;6,1025
39000,00;6,1030
39300,00;6,1042
39600,00;6,1026
39900,00;6,1009
40200,00;6,1048
40500,00;6,1068
40800,00;6,1050
41100,00;6,1063
41400,00;6,1046
41700,00;6,1060
42000,00;6,1062
42300,00;6,1044
42600,00;6,1026
42900,00;6,1020
43200,00;6,1043
43500,00;6,1039
43800,00;6,1022
44100,00;6,1027
44400,00;6,1019
44700,00;6,1013
45000,00;6,1030
45300,00;6,1061
45600,00;6,1071
45900,00;6,1079
46200,00;6,1032
46500,00;6,1046
46800,00;6,1055
47100,00;6,1046
47400,00;6,1063
47700,00;6,1064
48000,00;6,1070
48300,00;6,1062
48600,00;6,1083
48900,00;6,1054
49200,00;6,1030
49500,00;6,1061
49800,00;6,1062
50100,00;6,1042
50400,00;6,1045
50700,00;6,1032
51000,00;6,1050
51300,00;6,1064
51600,00;6,1059
51900,00;6,1049
52200,00;6,1067
52500,00;6,1051
52800,00;6,1052
53100,00;6,1052
53400,00;6,1038
53700,00;6,1053
54000,00;6,1053
54300,00;6,1044
54600,00;6,1051
54900,00;6,1050
55200,00;6,1049
55500,00;6,1042
55800,00;6,1042
56100,00;6,1050
56400,00;6,1068
56700,00;6,1047
57000,00;6,1025
57300,00;6,1026
57600,00;6,1010
57900,00;6,1038
58200,00;6,1054
58500,00;6,1049
58800,00;6,1035
59100,00;6,1002
59400,00;6,0987
59700,00;6,1005
60000,00;6,1009
60300,00;6,1029
60600,00;6,1058
60900,00;6,1025
61200,00;6,1011
61500,00;6,1008
61800,00;6,1018
62100,00;6,1009
62400,00;6,1016
62700,00;6,1007
63000,00;6,1024
63300,00;6,1010
63600,00;6,0980
63900,00;6,0971
64200,00;6,1007
64500,00;6,1011
64800,00;6,0972
65100,00;6,1000
65400,00;6,1026
65700,00;6,1009
66000,00;6,0999
66300,00;6,1023
66600,00;6,0982
66900,00;6,0909
67200,00;6,0917
67500,00;6,0953
67800,00;6,0962
68100,00;6,0947
68400,00;6,0942
68700,00;6,0945
69000,00;6,0931
69300,00;6,0933
69600,00;6,0918
69900,00;6,0908
70200,00;6,0904
70500,00;6,0940
70800,00;6,0935
71100,00;6,0951
71400,00;6,0942
71700,00;6,0935
72000,00;6,0910
72300,00;6,0903
72600,00;6,0909
72900,00;6,0885
73200,00;6,0912
73500,00;6,0961
73800,00;6,0952
74100,00;6,0921
74400,00;6,0889
74700,00;6,0883
75000,00;6,0885
75300,00;6,0881
75600,00;6,0927
75900,00;6,0901
76200,00;6,0850
