time;power
300,00;6,6150
600,00;6,1108
900,00;6,1131
1200,00;6,1153
1500,00;6,1132
1800,00;6,1164
2100,00;6,1156
2400,00;6,1121
2700,00;6,1094
3000,00;6,1082
3300,00;6,1077
3600,00;6,1071
3900,00;6,1069
4200,00;6,1101
4500,00;6,1090
4800,00;6,1073
5100,00;6,1016
5400,00;6,1012
5700,00;6,1032
6000,00;6,1045
6300,00;6,1058
6600,00;6,1022
6900,00;6,0998
7200,00;6,1006
7500,00;6,1058
7800,00;6,1080
8100,00;6,1093
8400,00;6,1062
8700,00;6,1031
9000,00;6,1034
9300,00;6,1082
9600,00;6,1043
9900,00;6,0966
10200,00;6,0961
10500,00;6,0994
10800,00;6,0943
11100,00;6,0936
11400,00;6,1006
11700,00;6,0992
12000,00;6,0976
12300,00;6,0993
12600,00;6,0962
12900,00;6,0939
13200,00;6,0947
13500,00;6,0933
13800,00;6,0950
14100,00;6,0977
14400,00;6,1012
14700,00;6,1007
15000,00;6,0977
15300,00;6,1007
15600,00;6,0978
15900,00;6,0913
16200,00;6,0951
16500,00;6,0976
16800,00;6,0982
17100,00;6,1025
17400,00;6,1030
17700,00;6,1005
18000,00;6,1014
18300,00;6,1007
18600,00;6,1003
18900,00;6,1000
19200,00;6,1002
19500,00;6,1060
19800,00;6,1029
20100,00;6,0995
20400,00;6,0995
20700,00;6,1001
21000,00;6,1040
21300,00;6,1024
21600,00;6,1024
21900,00;6,1006
22200,00;6,0985
22500,00;6,1054
22800,00;6,1068
23100,00;6,1031
23400,00;6,1046
23700,00;6,1056
24000,00;6,1022
24300,00;6,1069
24600,00;6,1047
24900,00;6,1026
25200,00;6,1022
25500,00;6,1012
25800,00;6,0984
26100,00;6,1008
26400,00;6,1027
26700,00;6,1006
27000,00;6,1025
27300,00;6,1039
27600,00;6,1017
27900,00;6,1005
28200,00;6,1092
28500,00;6,1120
28800,00;6,1072
29100,00;6,1043
29400,00;6,1009
29700,00;6,1012
30000,00;6,1020
30300,00;6,1051
30600,00;6,1031
30900,00;6,1005
31200,00;6,1009
31500,00;6,0966
31800,00;6,0976
32100,00;6,1028
32400,00;6,1030
32700,00;6,1057
33000,00;6,1033
33300,00;6,1049
33600,00;6,1065
33900,00;6,1044
34200,00;6,0996
34500,00;6,0993
34800,00;6,1016
35100,00;6,1001
35400,00;6,1019
35700,00;6,1054
36000,00;6,1054
36300,00;6,0978
36600,00;6,1007
36900,00;6,1033
37200,00;6,1029
37500,00;6,1039
37800,00;6,1037
38100,00;6,1029
38400,00;6,1013
38700,00;6,1018
39000,00;6,1029
39300,00;6,1045
39600,00;6,1023
39900,00;6,1006
40200,00;6,1054
40500,00;6,1062
40800,00;6,1046
41100,00;6,1055
41400,00;6,1043
41700,00;6,1054
42000,00;6,1063
42300,00;6,1037
42600,00;6,1023
42900,00;6,1006
43200,00;6,1045
43500,00;6,1033
43800,00;6,1012
44100,00;6,1021
44400,00;6,1015
44700,00;6,1004
45000,00;6,1023
45300,00;6,1056
45600,00;6,1070
45900,00;6,1075
46200,00;6,1034
46500,00;6,1028
46800,00;6,1058
47100,00;6,1037
47400,00;6,1065
47700,00;6,1060
48000,00;6,1059
48300,00;6,1057
48600,00;6,1081
48900,00;6,1048
49200,00;6,1013
49500,00;6,1056
49800,00;6,1064
50100,00;6,1036
50400,00;6,1034
50700,00;6,1029
51000,00;6,1034
51300,00;6,1062
51600,00;6,1050
51900,00;6,1046
52200,00;6,1061
52500,00;6,1051
52800,00;6,1031
53100,00;6,1049
53400,00;6,1030
53700,00;6,1045
54000,00;6,1043
54300,00;6,1033
54600,00;6,1041
54900,00;6,1039
55200,00;6,1039
55500,00;6,1034
55800,00;6,1033
56100,00;6,1035
56400,00;6,1052
56700,00;6,1034
57000,00;6,1012
57300,00;6,1018
57600,00;6,1002
57900,00;6,1027
58200,00;6,1052
58500,00;6,1041
58800,00;6,1023
59100,00;6,1005
59400,00;6,0986
59700,00;6,0997
60000,00;6,1003
60300,00;6,1019
60600,00;6,1052
60900,00;6,1019
61200,00;6,0995
61500,00;6,1001
61800,00;6,1003
62100,00;6,1006
62400,00;6,1014
62700,00;6,1008
63000,00;6,1005
63300,00;6,1009
63600,00;6,0970
63900,00;6,0971
64200,00;6,1000
64500,00;6,1010
64800,00;6,0968
65100,00;6,1002
65400,00;6,1021
65700,00;6,1005
66000,00;6,0992
66300,00;6,1001
66600,00;6,0969
66900,00;6,0894
67200,00;6,0909
67500,00;6,0956
67800,00;6,0956
68100,00;6,0938
68400,00;6,0931
68700,00;6,0938
69000,00;6,0934
69300,00;6,0912
69600,00;6,0913
69900,00;6,0900
70200,00;6,0894
70500,00;6,0922
70800,00;6,0937
71100,00;6,0925
71400,00;6,0941
71700,00;6,0919
72000,00;6,0910
72300,00;6,0894
72600,00;6,0918
72900,00;6,0884
73200,00;6,0902
73500,00;6,0964
73800,00;6,0946
74100,00;6,0920
74400,00;6,0883
74700,00;6,0871
75000,00;6,0885
75300,00;6,0876
75600,00;6,0906
75900,00;6,0900
76200,00;6,0839
76500,00;6,0810
76800,00;6,0843
77100,00;6,0855
77400,00;6,0839
77700,00;6,0873
78000,00;6,0823
78300,00;6,0811
78600,00;6,0805
78900,00;6,0853
