time;power
30,00;0,1173
60,00;0,0609
90,00;0,0609
120,00;0,0610
150,00;0,0610
180,00;0,0610
210,00;0,0610
240,00;0,0610
270,00;0,0610
300,00;0,0610
330,00;0,0611
360,00;0,0611
390,00;0,0611
420,00;0,0611
450,00;0,0611
480,00;0,0610
510,00;0,0610
540,00;0,0610
570,00;0,0610
600,00;0,0610
630,00;0,0610
660,00;0,0610
690,00;0,0610
720,00;0,0610
750,00;0,0611
780,00;0,0611
810,00;0,0610
840,00;0,0610
870,00;0,0610
900,00;0,0610
930,00;0,0610
960,00;0,0609
990,00;0,0609
1020,00;0,0610
1050,00;0,0609
1080,00;0,0609
1110,00;0,0610
1140,00;0,0610
1170,00;0,0609
1200,00;0,0610
1230,00;0,0609
1260,00;0,0609
1290,00;0,0609
1320,00;0,0609
1350,00;0,0609
1380,00;0,0609
1410,00;0,0610
1440,00;0,0610
1470,00;0,0609
1500,00;0,0610
1530,00;0,0609
1560,00;0,0609
1590,00;0,0609
1620,00;0,0609
1650,00;0,0610
1680,00;0,0610
1710,00;0,0610
1740,00;0,0610
1770,00;0,0610
1800,00;0,0610
1830,00;0,0610
1860,00;0,0610
1890,00;0,0610
1920,00;0,0610
1950,00;0,0610
1980,00;0,0610
2010,00;0,0610
2040,00;0,0610
2070,00;0,0610
2100,00;0,0610
2130,00;0,0610
2160,00;0,0610
2190,00;0,0610
2220,00;0,0610
2250,00;0,0610
2280,00;0,0610
2310,00;0,0610
2340,00;0,0610
2370,00;0,0610
2400,00;0,0610
2430,00;0,0610
2460,00;0,0610
2490,00;0,0610
2520,00;0,0610
2550,00;0,0610
2580,00;0,0610
2610,00;0,0610
2640,00;0,0610
2670,00;0,0610
2700,00;0,0610
2730,00;0,0610
2760,00;0,0610
2790,00;0,0611
2820,00;0,0611
2850,00;0,0610
2880,00;0,0610
2910,00;0,0610
2940,00;0,0610
2970,00;0,0610
3000,00;0,0610
3030,00;0,0610
3060,00;0,0610
3090,00;0,0610
3120,00;0,0609
3150,00;0,0610
3180,00;0,0610
3210,00;0,0610
3240,00;0,0610
3270,00;0,0610
3300,00;0,0610
3330,00;0,0610
3360,00;0,0610
3390,00;0,0610
3420,00;0,0610
3450,00;0,0610
3480,00;0,0610
3510,00;0,0610
3540,00;0,0610
3570,00;0,0610
3600,00;0,0610
3630,00;0,0610
3660,00;0,0610
3690,00;0,0610
3720,00;0,0610
3750,00;0,0610
3780,00;0,0610
3810,00;0,0610
3840,00;0,0610
3870,00;0,0610
3900,00;0,0610
3930,00;0,0610
3960,00;0,0610
3990,00;0,0610
4020,00;0,0610
4050,00;0,0610
4080,00;0,0610
4110,00;0,0610
4140,00;0,0610
4170,00;0,0610
4200,00;0,0610
4230,00;0,0610
4260,00;0,0610
4290,00;0,0610
4320,00;0,0610
4350,00;0,0610
4380,00;0,0610
4410,00;0,0610
4440,00;0,0610
4470,00;0,0610
4500,00;0,0610
4530,00;0,0610
4560,00;0,0610
4590,00;0,0610
4620,00;0,0610
4650,00;0,0610
4680,00;0,0610
4710,00;0,0610
4740,00;0,0610
4770,00;0,0610
4800,00;0,0610
4830,00;0,0610
4860,00;0,0610
4890,00;0,0610
4920,00;0,0610
4950,00;0,0610
4980,00;0,0610
5010,00;0,0610
5040,00;0,0610
5070,00;0,0610
5100,00;0,0610
5130,00;0,0610
5160,00;0,0610
5190,00;0,0610
5220,00;0,0610
5250,00;0,0610
5280,00;0,0610
5310,00;0,0610
5340,00;0,0610
5370,00;0,0610
5400,00;0,0610
5430,00;0,0610
5460,00;0,0610
5490,00;0,0610
5520,00;0,0610
5550,00;0,0610
5580,00;0,0610
5610,00;0,0610
5640,00;0,0610
5670,00;0,0610
5700,00;0,0610
5730,00;0,0610
5760,00;0,0610
5790,00;0,0610
5820,00;0,0610
5850,00;0,0610
5880,00;0,0610
5910,00;0,0610
5940,00;0,0610
5970,00;0,0610
6000,00;0,0610
6030,00;0,0610
6060,00;0,0610
6090,00;0,0610
6120,00;0,0610
6150,00;0,0610
6180,00;0,0610
6210,00;0,0610
6240,00;0,0610
6270,00;0,0610
6300,00;0,0610
6330,00;0,0610
6360,00;0,0609
6390,00;0,0610
