time;power_cum
30,10;0,0607
39,91;0,0806
44,02;0,0890
57,94;0,1174
60,10;0,1217
69,91;0,1417
74,02;0,1501
87,94;0,1785
90,10;0,1829
99,91;0,2029
104,02;0,2113
117,94;0,2397
120,10;0,2441
129,91;0,2641
134,02;0,2725
147,94;0,3009
150,10;0,3053
159,91;0,3253
164,02;0,3337
177,94;0,3621
180,10;0,3665
189,91;0,3865
194,02;0,3949
207,94;0,4233
210,10;0,4277
219,91;0,4477
224,02;0,4561
237,94;0,4844
240,10;0,4888
249,91;0,5088
254,02;0,5172
267,94;0,5456
270,10;0,5500
279,91;0,5700
284,02;0,5784
297,94;0,6067
300,10;0,6111
309,91;0,6311
314,02;0,6395
327,94;0,6678
330,10;0,6722
339,91;0,6922
344,02;0,7006
357,94;0,7290
360,10;0,7333
369,91;0,7533
374,02;0,7617
387,94;0,7901
390,10;0,7945
399,91;0,8145
404,02;0,8228
417,94;0,8512
420,10;0,8556
429,91;0,8756
434,02;0,8840
447,94;0,9123
450,10;0,9167
459,91;0,9367
464,02;0,9451
477,94;0,9734
480,10;0,9778
489,91;0,9978
494,02;1,0062
507,94;1,0345
510,10;1,0389
519,91;1,0589
524,02;1,0672
537,94;1,0955
540,10;1,0999
549,91;1,1199
554,02;1,1283
567,94;1,1566
570,10;1,1610
579,91;1,1810
584,02;1,1893
597,94;1,2177
600,10;1,2221
609,91;1,2421
614,02;1,2504
627,94;1,2788
630,10;1,2832
639,91;1,3031
644,02;1,3115
657,94;1,3398
660,10;1,3442
669,91;1,3642
674,02;1,3726
687,94;1,4009
690,10;1,4053
699,91;1,4252
704,02;1,4336
717,94;1,4619
720,10;1,4663
729,91;1,4863
734,02;1,4947
747,94;1,5230
750,10;1,5274
759,91;1,5474
764,02;1,5558
777,94;1,5841
780,10;1,5885
789,91;1,6085
794,02;1,6169
807,94;1,6452
810,10;1,6496
819,91;1,6696
824,02;1,6780
837,94;1,7063
840,10;1,7107
849,91;1,7307
854,02;1,7390
867,94;1,7674
870,10;1,7718
879,91;1,7917
884,02;1,8001
897,94;1,8284
900,10;1,8328
909,91;1,8528
914,02;1,8612
927,94;1,8895
930,10;1,8939
939,91;1,9139
944,02;1,9223
957,94;1,9506
960,10;1,9550
969,91;1,9750
974,02;1,9833
987,94;2,0116
990,10;2,0160
999,91;2,0360
1004,02;2,0443
1017,94;2,0726
1020,10;2,0770
1029,91;2,0970
1034,02;2,1053
1047,94;2,1336
1050,10;2,1380
1059,91;2,1580
1064,02;2,1663
1077,94;2,1946
1080,10;2,1990
1089,91;2,2189
1094,02;2,2273
1107,94;2,2556
1110,10;2,2600
1119,91;2,2799
1124,02;2,2883
1137,94;2,3166
1140,10;2,3210
1149,91;2,3410
1154,02;2,3493
1167,94;2,3776
1170,10;2,3820
1179,91;2,4020
1184,02;2,4103
1197,94;2,4387
1200,10;2,4431
1209,91;2,4630
1214,02;2,4714
1227,94;2,4997
1230,10;2,5041
1239,91;2,5240
1244,02;2,5324
1257,94;2,5607
1260,10;2,5651
1269,91;2,5850
1274,02;2,5934
1287,94;2,6216
1290,10;2,6260
1299,91;2,6460
1304,02;2,6543
1317,94;2,6826
1320,10;2,6870
1329,91;2,7069
1334,02;2,7153
1347,94;2,7436
1350,10;2,7480
1359,91;2,7679
1364,02;2,7762
1377,94;2,8045
1380,10;2,8089
1389,91;2,8289
1394,02;2,8372
1407,94;2,8655
1410,10;2,8699
1419,91;2,8899
1424,02;2,8983
1437,94;2,9266
1440,10;2,9310
1449,91;2,9509
1454,02;2,9593
1467,94;2,9876
1470,10;2,9920
1479,91;3,0120
1484,02;3,0203
1497,94;3,0486
1500,10;3,0530
1509,91;3,0730
1514,02;3,0813
1527,94;3,1097
1530,10;3,1141
1539,91;3,1340
1544,02;3,1424
1557,94;3,1707
1560,10;3,1751
1569,91;3,1950
1574,02;3,2034
1587,94;3,2316
1590,10;3,2360
1599,91;3,2559
1604,02;3,2643
1617,94;3,2926
1620,10;3,2970
1629,91;3,3169
1634,02;3,3253
1647,94;3,3536
1650,10;3,3580
1659,91;3,3779
1664,02;3,3863
1677,94;3,4146
1680,10;3,4190
1689,91;3,4389
1694,02;3,4473
1707,94;3,4756
1710,10;3,4800
1719,91;3,5000
1724,02;3,5084
1737,94;3,5367
1740,10;3,5411
1749,91;3,5611
1754,02;3,5694
1767,94;3,5977
1770,10;3,6021
1779,91;3,6221
1784,02;3,6305
1797,94;3,6588
1800,10;3,6632
1809,91;3,6831
1814,02;3,6915
1827,94;3,7198
1830,10;3,7242
1839,91;3,7442
1844,02;3,7525
1857,94;3,7808
1860,10;3,7852
1869,91;3,8052
1874,02;3,8136
1887,94;3,8419
1890,10;3,8463
1899,91;3,8662
1904,02;3,8746
1917,94;3,9029
1920,10;3,9073
1929,91;3,9273
1934,02;3,9356
1947,94;3,9640
1950,10;3,9684
1959,91;3,9883
1964,02;3,9967
1977,94;4,0250
1980,10;4,0294
1989,91;4,0494
1994,02;4,0578
2007,94;4,0861
2010,10;4,0905
2019,91;4,1104
2024,02;4,1188
2037,94;4,1471
2040,10;4,1515
2049,91;4,1714
2054,02;4,1798
2067,94;4,2081
2070,10;4,2125
2079,91;4,2325
2084,02;4,2408
2097,94;4,2692
2100,10;4,2736
2109,91;4,2935
2114,02;4,3019
2127,94;4,3302
2130,10;4,3346
2139,91;4,3546
2144,02;4,3629
2157,94;4,3913
2160,10;4,3957
2169,91;4,4156
2174,02;4,4240
2187,94;4,4523
2190,10;4,4567
2199,91;4,4766
2204,02;4,4850
2217,94;4,5133
2220,10;4,5177
2229,91;4,5377
2234,02;4,5460
2247,94;4,5744
2250,10;4,5788
2259,91;4,5987
2264,02;4,6071
2277,94;4,6355
