time;power
300,00;6,6142
600,00;6,0996
900,00;6,1034
1200,00;6,1049
1500,00;6,1083
1800,00;6,1106
2100,00;6,1120
2400,00;6,1100
2700,00;6,1101
3000,00;6,1079
3300,00;6,1094
3600,00;6,1080
3900,00;6,1102
4200,00;6,1118
4500,00;6,1108
4800,00;6,1074
5100,00;6,1041
5400,00;6,1031
5700,00;6,1030
6000,00;6,1063
6300,00;6,1071
6600,00;6,1035
6900,00;6,1019
7200,00;6,1023
7500,00;6,1059
7800,00;6,1086
8100,00;6,1098
8400,00;6,1079
8700,00;6,1050
9000,00;6,1050
9300,00;6,1096
9600,00;6,1037
9900,00;6,0980
10200,00;6,0995
10500,00;6,1019
10800,00;6,0950
11100,00;6,0952
11400,00;6,1026
11700,00;6,1005
12000,00;6,0993
12300,00;6,1003
12600,00;6,0976
12900,00;6,0956
13200,00;6,0950
13500,00;6,0932
13800,00;6,0957
14100,00;6,0993
14400,00;6,1023
14700,00;6,1022
15000,00;6,0979
15300,00;6,1013
15600,00;6,0977
15900,00;6,0927
16200,00;6,0975
16500,00;6,0990
16800,00;6,0999
17100,00;6,1041
17400,00;6,1043
17700,00;6,1018
18000,00;6,1027
18300,00;6,1017
18600,00;6,1026
18900,00;6,1004
19200,00;6,1027
19500,00;6,1083
19800,00;6,1052
20100,00;6,1005
20400,00;6,0996
20700,00;6,1024
21000,00;6,1049
21300,00;6,1014
21600,00;6,1035
21900,00;6,1009
22200,00;6,1009
22500,00;6,1058
22800,00;6,1068
23100,00;6,1025
23400,00;6,1065
23700,00;6,1059
24000,00;6,1038
24300,00;6,1075
24600,00;6,1063
24900,00;6,1037
25200,00;6,1042
25500,00;6,1025
25800,00;6,0998
26100,00;6,1032
26400,00;6,1037
26700,00;6,1015
27000,00;6,1027
27300,00;6,1044
27600,00;6,1014
27900,00;6,1035
28200,00;6,1109
28500,00;6,1115
28800,00;6,1077
29100,00;6,1054
29400,00;6,1033
29700,00;6,1021
30000,00;6,1036
30300,00;6,1055
30600,00;6,1035
30900,00;6,1020
31200,00;6,1026
31500,00;6,0981
31800,00;6,1004
32100,00;6,1019
32400,00;6,1035
32700,00;6,1060
33000,00;6,1046
33300,00;6,1072
33600,00;6,1080
33900,00;6,1053
34200,00;6,1006
34500,00;6,1017
34800,00;6,1012
35100,00;6,1017
35400,00;6,1021
35700,00;6,1065
36000,00;6,1056
36300,00;6,0992
36600,00;6,1021
36900,00;6,1033
37200,00;6,1033
37500,00;6,1031
37800,00;6,1044
38100,00;6,1037
38400,00;6,1019
38700,00;6,1041
39000,00;6,1038
39300,00;6,1044
39600,00;6,1024
39900,00;6,1023
40200,00;6,1064
40500,00;6,1047
40800,00;6,1048
41100,00;6,1070
41400,00;6,1053
41700,00;6,1064
42000,00;6,1070
42300,00;6,1045
42600,00;6,1033
