time;power
300,00;6,6142
600,00;6,1115
900,00;6,1133
1200,00;6,1155
1500,00;6,1160
1800,00;6,1161
2100,00;6,1172
2400,00;6,1139
2700,00;6,1108
3000,00;6,1095
3300,00;6,1086
3600,00;6,1084
3900,00;6,1085
4200,00;6,1111
4500,00;6,1100
4800,00;6,1084
5100,00;6,1035
5400,00;6,1025
5700,00;6,1033
6000,00;6,1057
6300,00;6,1070
6600,00;6,1038
6900,00;6,1006
7200,00;6,1010
7500,00;6,1068
7800,00;6,1090
8100,00;6,1102
8400,00;6,1064
8700,00;6,1040
9000,00;6,1045
9300,00;6,1087
9600,00;6,1042
9900,00;6,0976
10200,00;6,0979
10500,00;6,1001
10800,00;6,0949
11100,00;6,0941
11400,00;6,1008
11700,00;6,0997
12000,00;6,0983
12300,00;6,1001
12600,00;6,0965
12900,00;6,0943
13200,00;6,0944
13500,00;6,0933
13800,00;6,0952
14100,00;6,0983
14400,00;6,1015
14700,00;6,1014
15000,00;6,0981
15300,00;6,0995
15600,00;6,0984
15900,00;6,0921
16200,00;6,0960
16500,00;6,0979
16800,00;6,0988
17100,00;6,1030
17400,00;6,1031
17700,00;6,1016
18000,00;6,1021
18300,00;6,1013
18600,00;6,1005
18900,00;6,1009
19200,00;6,1007
19500,00;6,1073
19800,00;6,1036
20100,00;6,0995
20400,00;6,0998
20700,00;6,1005
21000,00;6,1045
21300,00;6,1020
21600,00;6,1025
21900,00;6,1007
22200,00;6,0983
22500,00;6,1050
22800,00;6,1078
23100,00;6,1037
23400,00;6,1048
23700,00;6,1055
24000,00;6,1021
24300,00;6,1067
24600,00;6,1056
24900,00;6,1031
25200,00;6,1024
25500,00;6,1005
25800,00;6,0994
26100,00;6,1017
26400,00;6,1026
26700,00;6,1010
27000,00;6,1026
27300,00;6,1041
27600,00;6,1023
27900,00;6,1011
28200,00;6,1090
28500,00;6,1123
28800,00;6,1068
29100,00;6,1042
29400,00;6,1007
29700,00;6,1011
30000,00;6,1024
30300,00;6,1054
30600,00;6,1037
30900,00;6,1011
31200,00;6,1016
31500,00;6,0974
31800,00;6,0980
32100,00;6,1026
32400,00;6,1045
32700,00;6,1060
33000,00;6,1031
33300,00;6,1061
33600,00;6,1065
33900,00;6,1047
34200,00;6,1003
34500,00;6,0995
34800,00;6,1022
35100,00;6,1008
35400,00;6,1027
35700,00;6,1055
36000,00;6,1049
36300,00;6,0988
36600,00;6,1008
36900,00;6,1030
37200,00;6,1034
37500,00;6,1045
37800,00;6,1037
38100,00;6,1033
38400,00;6,1020
38700,00;6,1022
39000,00;6,1021
39300,00;6,1049
39600,00;6,1026
39900,00;6,1001
40200,00;6,1049
40500,00;6,1061
40800,00;6,1053
41100,00;6,1063
41400,00;6,1051
41700,00;6,1055
42000,00;6,1065
42300,00;6,1035
42600,00;6,1024
42900,00;6,1015
43200,00;6,1044
43500,00;6,1034
43800,00;6,1016
44100,00;6,1027
44400,00;6,1021
44700,00;6,1008
45000,00;6,1019
45300,00;6,1061
45600,00;6,1071
45900,00;6,1074
46200,00;6,1033
46500,00;6,1027
46800,00;6,1052
47100,00;6,1049
47400,00;6,1069
47700,00;6,1065
48000,00;6,1058
48300,00;6,1058
48600,00;6,1067
48900,00;6,1050
49200,00;6,1020
49500,00;6,1064
49800,00;6,1064
50100,00;6,1033
50400,00;6,1035
50700,00;6,1028
51000,00;6,1037
51300,00;6,1068
51600,00;6,1048
51900,00;6,1043
52200,00;6,1068
52500,00;6,1057
52800,00;6,1046
53100,00;6,1046
53400,00;6,1032
53700,00;6,1048
54000,00;6,1056
54300,00;6,1045
54600,00;6,1048
54900,00;6,1042
55200,00;6,1025
55500,00;6,1030
55800,00;6,1044
56100,00;6,1041
56400,00;6,1064
56700,00;6,1045
57000,00;6,1019
57300,00;6,1020
57600,00;6,1010
57900,00;6,1030
58200,00;6,1059
58500,00;6,1046
58800,00;6,1026
59100,00;6,1004
59400,00;6,0992
59700,00;6,1003
60000,00;6,1001
60300,00;6,1024
60600,00;6,1058
60900,00;6,1021
61200,00;6,0999
61500,00;6,0999
61800,00;6,1005
62100,00;6,1005
62400,00;6,1010
62700,00;6,1006
63000,00;6,1021
63300,00;6,1014
63600,00;6,0963
63900,00;6,0970
64200,00;6,1002
64500,00;6,1013
64800,00;6,0967
65100,00;6,0992
65400,00;6,1027
65700,00;6,1012
66000,00;6,0993
66300,00;6,1000
66600,00;6,0982
66900,00;6,0906
67200,00;6,0907
67500,00;6,0953
